Feature,pc1
no_vehicle_avail_%,1.7433786470821509e-13
below_poverty_level_%,5.5067062021407764e-14
exp_perpupil_USD,8.167300134035206e-09
debt_pervaluation_%,1.3663372245205422e-12
homeless_Shelters_per_1000,2.4395420038519215e-12
median_owner_home_USD,1.937308408039277e-06
median_sale_homes_USD,2.3835522283554077e-06
unemployment_rate,3.806218123346794e-12
race_Wh_%,-1.917314834874609e-12
race_Afam_%,1.9219325072980425e-13
race_Alaska_%,4.295109213831998e-14
race_Asian_%,7.779439985290934e-13
race_Hawaii_%,-6.092030148432091e-15
race_Other_%,6.938854975461886e-14
race_Two_%,8.083331666072834e-14
emp_business_%,4.334523361625736e-13
emp_computer_%,7.456581108971512e-13
emp_legal_%,-2.6851308751302375e-13
emp_healthcare_%,-1.3745982428793356e-13
emp_healthsupport_%,-9.793380460554318e-14
emp_protective_%,-7.750029245085963e-14
emp_foodprepare_%,-1.0259668305092934e-13
emp_clean_%,-1.9360503585563965e-13
emp_personalcare_%,-1.051354234341298e-13
emp_sales_%,2.274672273443651e-13
emp_admin_%,-2.0493154833177984e-13
emp_farm_%,-5.662125670721563e-15
emp_construct_%,-3.618782564726481e-13
emp_repair_%,-1.232817038303024e-13
emp_production_%,-2.846417252772613e-13
emp_transport_%,-1.1951013243027888e-13
emp_material_%,-8.380840907844602e-14
occ_lt0.5_%,-1.0462269579601425e-13
occ_1.01to1.5_%,-3.9510714512863514e-17
occ_1.51to2.0_%,2.140442935681259e-14
occ_gt2.01_%,1.6982196986712773e-14
owner_homes_%,-1.0192402072045256e-12
moved_lastyear_%,-2.5464123670115797e-13
house_nokitchen_%,2.337352247309428e-13
age_lt18_%,6.745079495315274e-13
house_lt1939_%,-2.139820251435369e-13
house_2000to2014_%,5.926743840786125e-13
house_income_gt30_USD_%,2.09607281507033e-13
median_household_income_USD,5.028508306579917e-07
median_earnings_retail_USD,-6.165780839261928e-08
gross_rent_%,2.2182933966047724e-13
comm_car_%,-9.587677554510573e-13
comm_carpool_%,-8.186491831074501e-14
comm_bus_%,6.509857153013875e-13
comm_walk_%,6.660042051786618e-14
comm_cycle_%,8.429669507826592e-14
comm_taxi_%,-1.7810041271314576e-14
comm_wfh_%,1.6985365721876953e-13
gini_index,-6.622810614359485e-14
lep_%,-3.5246685970329994e-13
exemplary_%,2.513011212141513e-12
proficient_%,-7.378976563605478e-12
need_improve_%,-5.009862831153333e-12
unsatis_%,1.0660377694435543e-12
read_write,2.8240715344134254e-10
dropout_%,3.618962925223843e-13
college_%,1.5984351776565285e-12
property_val_USD,0.0
tobbaco_retailers_2019_%,-2.1013262697673345e-13
licensed_nurses_per1000,3.598701846499595e-12
preschool_%,1.0538368132302669e-13
health_insurance_coverage_%,-4.1114754542439436e-14
public_school_%,5.374099716340772e-13
private_school_%,3.28715062739247e-13
liquor_per1000,-1.3969102247311106e-10
dentists_per1000,2.265730304303392e-12
young_females_%,2.296914971818799e-13
pa_provider_density_per10000,6.43752028605468e-13
median_age,-6.034165108592054e-13
lt5years_%,2.7933751008162428e-15
snap_%,2.3175155097761054e-15
pcp_per1000,9.275089367203568e-14
psychiatrist_per1000,1.9439731776911655e-14
psychologist_per1000,6.333818023473683e-14
pharmacist_per1000,8.87527685014031e-13
registerednurses_per1000,1.2892629015345163e-12
population_density,-2.91167756660335e-10
rural_population_%,-3.2754304085822312e-12
costas%income_wmgage_lt20%_%,-1.1159250687664736e-13
costas%income_wmgage_20to25%_%,1.1105324671378096e-13
costas%income_wmgage_25to30%_%,9.709803774497306e-14
costas%income_wmgage_30to35%_%,-1.263409693652899e-13
costas%income_wmgage_gt35%_%,2.842839901103081e-14
costas%income_womgage_lt10%_%,-8.515626621190172e-14
costas%income_womgage_10to15%_%,-2.1743288698245122e-13
costas%income_womgage_15to20%_%,7.903820817829737e-14
costas%income_womgage_20to25%_%,-9.638265986536573e-14
costas%income_womgage_25to30%_%,-3.1555764181326663e-13
costas%income_womgage_30to35%_%,1.8234206947804598e-13
costas%income_womgage_gt35%_%,4.5183256445219443e-13
avg_ela,-1.3297571242219237e-12
avg_math,-7.74197264979763e-13
students_disabilities_%,-1.9173923480780225e-13
students_highneeds_%,5.155143202901359e-12
student_teacher_ratio,2.0380725930781003e-13
print_media_circ_%,9.412812193868105e-15
libraries_%,5.295473152166259e-12
crimes_against_persons_%,-6.022493491335027e-12
crimes_against_society_%,3.1591097846364822e-12
emp_pop_ratio_wh_only,5.198145260548466e-11
emp_pop_ratio_hisp,1.6844739342824672e-10
less_than_highschool_%,-4.9070971456752485e-14
bachelors_degree_%,2.970360308842906e-12
vacant_rentals_%,-4.755627409554044e-13
employed_female_%,1.0534201346637885e-14
