Feature,pc1
no_vehicle_avail_%,1.7433786470820067e-13
below_poverty_level_%,5.5067062021407764e-14
exp_perpupil_USD,8.167300134036174e-09
debt_pervaluation_%,1.3663372245205994e-12
homeless_Shelters_per_1000,2.439542003851565e-12
median_owner_home_USD,1.9373084080393566e-06
median_sale_homes_USD,2.383552228355602e-06
unemployment_rate,3.806218123346799e-12
race_Wh_%,-1.9173148348747287e-12
race_Afam_%,1.9219325072978274e-13
race_Alaska_%,4.2951092138321227e-14
race_Asian_%,7.779439985291033e-13
race_Hawaii_%,-6.092030148434711e-15
race_Other_%,6.938854975460584e-14
race_Two_%,8.083331666070907e-14
emp_business_%,4.3345233616255974e-13
emp_computer_%,7.456581108971385e-13
emp_legal_%,-2.685130875129679e-13
emp_healthcare_%,-1.3745982428793676e-13
emp_healthsupport_%,-9.793380460553843e-14
emp_protective_%,-7.750029245087011e-14
emp_foodprepare_%,-1.0259668305092732e-13
emp_clean_%,-1.9360503585564876e-13
emp_personalcare_%,-1.051354234341323e-13
emp_sales_%,2.2746722734435047e-13
emp_admin_%,-2.0493154833181238e-13
emp_farm_%,-5.66212567072162e-15
emp_construct_%,-3.618782564726914e-13
emp_repair_%,-1.232817038303185e-13
emp_production_%,-2.8464172527728673e-13
emp_transport_%,-1.1951013243030365e-13
emp_material_%,-8.380840907846642e-14
occ_lt0.5_%,-1.0462269579597354e-13
occ_1.01to1.5_%,-3.9510714516687536e-17
occ_1.51to2.0_%,2.1404429356807477e-14
occ_gt2.01_%,1.6982196986715026e-14
owner_homes_%,-1.0192402072045876e-12
moved_lastyear_%,-2.54641236701122e-13
house_nokitchen_%,2.3373522473093536e-13
age_lt18_%,6.745079495315722e-13
house_lt1939_%,-2.139820251434619e-13
house_2000to2014_%,5.926743840785368e-13
house_income_gt30_USD_%,2.0960728150704155e-13
median_household_income_USD,5.028508306579978e-07
median_earnings_retail_USD,-6.165780839261862e-08
gross_rent_%,2.2182933966045947e-13
comm_car_%,-9.587677554510894e-13
comm_carpool_%,-8.186491831075088e-14
comm_bus_%,6.509857153014092e-13
comm_walk_%,6.660042051785444e-14
comm_cycle_%,8.429669507826612e-14
comm_taxi_%,-1.781004127131676e-14
comm_wfh_%,1.6985365721879363e-13
gini_index,-6.622810614364908e-14
lep_%,-3.524668597032944e-13
exemplary_%,2.5130112121414866e-12
proficient_%,-7.378976563605583e-12
need_improve_%,-5.0098628311534675e-12
unsatis_%,1.0660377694435842e-12
read_write,2.8240715344136555e-10
dropout_%,3.618962925223912e-13
college_%,1.5984351776565926e-12
property_val_USD,0.0
tobbaco_retailers_2019_%,-2.1013262697673178e-13
licensed_nurses_per1000,3.5987018464998404e-12
preschool_%,1.0538368132302545e-13
health_insurance_coverage_%,-4.111475454242171e-14
public_school_%,5.374099716340962e-13
private_school_%,3.28715062739298e-13
liquor_per1000,-1.3969102247311065e-10
dentists_per1000,2.265730304303693e-12
young_females_%,2.296914971819229e-13
pa_provider_density_per10000,6.437520286054646e-13
median_age,-6.03416510859181e-13
lt5years_%,2.793375100816322e-15
snap_%,2.3175155097761645e-15
pcp_per1000,9.27508936720394e-14
psychiatrist_per1000,1.9439731776913438e-14
psychologist_per1000,6.333818023475251e-14
pharmacist_per1000,8.875276850140746e-13
registerednurses_per1000,1.289262901534542e-12
population_density,-2.911677566603435e-10
rural_population_%,-3.2754304085824817e-12
costas%income_wmgage_lt20%_%,-1.1159250687663377e-13
costas%income_wmgage_20to25%_%,1.1105324671377143e-13
costas%income_wmgage_25to30%_%,9.709803774495311e-14
costas%income_wmgage_30to35%_%,-1.2634096936530676e-13
costas%income_wmgage_gt35%_%,2.842839901106311e-14
costas%income_womgage_lt10%_%,-8.515626621183234e-14
costas%income_womgage_10to15%_%,-2.1743288698249696e-13
costas%income_womgage_15to20%_%,7.903820817829408e-14
costas%income_womgage_20to25%_%,-9.638265986537892e-14
costas%income_womgage_25to30%_%,-3.155576418132593e-13
costas%income_womgage_30to35%_%,1.8234206947800647e-13
costas%income_womgage_gt35%_%,4.518325644522196e-13
avg_ela,-1.3297571242220154e-12
avg_math,-7.741972649798605e-13
students_disabilities_%,-1.9173923480777605e-13
students_highneeds_%,5.155143202901324e-12
student_teacher_ratio,2.0380725930778307e-13
print_media_circ_%,9.412812193867941e-15
libraries_%,5.295473152166242e-12
crimes_against_persons_%,-6.0224934913367384e-12
crimes_against_society_%,3.1591097846375477e-12
emp_pop_ratio_wh_only,5.198145260548729e-11
emp_pop_ratio_hisp,1.6844739342827223e-10
less_than_highschool_%,-4.907097145681542e-14
bachelors_degree_%,2.9703603088431327e-12
vacant_rentals_%,-4.755627409554331e-13
employed_male_%,-1.0534201346896106e-14
