Feature,pc1
cancer_admissions_AA,0.03349106175439472
Diabetes_admissions_AA,0.005088518951961328
Stroke_admissions_AA,-0.02251173004954156
fruit_consump_%,3.467429270812035e-06
obsese_adults_%,2.1060670560928343e-05
overweight_adults_%,2.71610307450958e-05
diabetic_adults_%,6.145734351855235e-06
heartrate_adult_%,2.0112698500129437e-06
poor_mental_health_%,1.8388832540888687e-05
smoking_rate_%,2.8842606569271654e-05
infant_rate_2014_per1000,-0.0012162466018675086
hiv_density_per1000,-0.0031436090376830406
firearm_deaths_2015_%,1.0589705048875026e-07
live_births_2014_%,-1.1036132503211059e-06
gonorrhea_%,2.75306864411684e-07
nonfatal_opiod_hospitalevents_%,0.0003429245171646073
hypertension_%,1.6391092043144062e-07
diagnosed_depression_%,1.1153789002559213e-07
anyexercise_%,2.132759636819519e-05
suicide_deaths_%,5.775542948092015e-05
risk_per1000,9.024391661861467e-05
smokers_helpline_%,-9.570063330490882e-07
substanceuse_rate_AA,-0.15315623107536908
mentalhealth_hosp_rate,0.0
breast_cancer_sir,-0.013249541702402891
prostrate_cancer_sir,-0.01222308924792615
colorectal_cancer_sir,0.006570007610880356
lung_cancer_sir,0.010610146789198147
cervical_cancer_sir,0.023437129537398953
