\,no_vehicle_avail_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,tobbaco_retailers_2019_%,liquor_per1000,supermarket_per1000,food_est_per1000
no_vehicle_avail_%,0.0,1.360880146677703e-38,1.4857057660372887e-05,1.3449695176051748e-35,8.704488397886649e-28,6.341564467388664e-24,5.708989263010949e-07,0.02561496683201544,0.7313136096838624,0.1478856769882504,0.29785115989630717,0.21341455503490983
comm_car_%,1.360880146677703e-38,0.0,0.17820889790865221,5.156749343331638e-63,3.6597484403062115e-60,6.943927245026142e-35,0.00035888696074781517,1.6208842366094884e-17,0.1321314035469465,0.4606761992200499,0.9358356882151421,0.9446233496604199
comm_carpool_%,1.4857057660372887e-05,0.17820889790865221,0.0,0.7706128171178491,0.7912804462468882,0.8597647226047258,0.0024051339183965986,3.565824883154515e-05,0.01405973541845521,0.091033900475952,0.09076867340299986,0.09963416607943301
comm_bus_%,1.3449695176051748e-35,5.156749343331638e-63,0.7706128171178491,0.0,1.197537118279659e-07,1.0476793772290697e-10,0.5400591741835445,0.2738858102782374,0.021353964026262592,0.14715949314632068,0.6839098920265065,0.3905275350890868
comm_walk_%,8.704488397886649e-28,3.6597484403062115e-60,0.7912804462468882,1.197537118279659e-07,0.0,1.1274947054844882e-28,0.00023255648280872738,0.00019317552736977507,0.565229762668745,0.1507801611846053,0.32795034054193506,0.3271135275759256
comm_cycle_%,6.341564467388664e-24,6.943927245026142e-35,0.8597647226047258,1.0476793772290697e-10,1.1274947054844882e-28,0.0,0.0030735137154679786,0.015949803444897354,0.01334754940899121,0.44140081448964863,0.7354607982853446,0.6508289280667396
comm_taxi_%,5.708989263010949e-07,0.00035888696074781517,0.0024051339183965986,0.5400591741835445,0.00023255648280872738,0.0030735137154679786,0.0,0.529089319214249,0.2254411298841892,0.05962678014577275,0.1444505532394662,0.16988802914443044
comm_wfh_%,0.02561496683201544,1.6208842366094884e-17,3.565824883154515e-05,0.2738858102782374,0.00019317552736977507,0.015949803444897354,0.529089319214249,0.0,0.5740091112686528,0.028920723358188155,0.030056628980066943,0.013676155266593529
tobbaco_retailers_2019_%,0.7313136096838624,0.1321314035469465,0.01405973541845521,0.021353964026262592,0.565229762668745,0.01334754940899121,0.2254411298841892,0.5740091112686528,0.0,5.3957241147992544e-05,2.0527120462840402e-05,1.5926858674376025e-05
liquor_per1000,0.1478856769882504,0.4606761992200499,0.091033900475952,0.14715949314632068,0.1507801611846053,0.44140081448964863,0.05962678014577275,0.028920723358188155,5.3957241147992544e-05,0.0,5.174492444624403e-182,1.4600469554042749e-184
supermarket_per1000,0.29785115989630717,0.9358356882151421,0.09076867340299986,0.6839098920265065,0.32795034054193506,0.7354607982853446,0.1444505532394662,0.030056628980066943,2.0527120462840402e-05,5.174492444624403e-182,0.0,4.1832759971804974e-300
food_est_per1000,0.21341455503490983,0.9446233496604199,0.09963416607943301,0.3905275350890868,0.3271135275759256,0.6508289280667396,0.16988802914443044,0.013676155266593529,1.5926858674376025e-05,1.4600469554042749e-184,4.1832759971804974e-300,0.0
