\,no_vehicle_avail_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Two_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,moved_lastyear_%,age_lt18_%,house_2000to2014_%,house_income_gt30_USD_%,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,exemplary_%,proficient_%,need_improve_%,unsatis_%,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,dentists_per1000,young_females_%,median_age,lt5years_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_hisp,less_than_highschool_%,vacant_rentals_%,Diabetes_admissions_AA,Diabetes_emergencies_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
no_vehicle_avail_%,0.0,0.0418361992085225,0.0014489816314928424,1.9454266808539718e-11,0.9124612507841378,0.3759162910909344,0.0005435781456088523,1.5713364447178018e-15,6.424233948317767e-16,0.7874697232614623,3.8015172670507465e-08,0.010139789783546732,8.00178857951656e-20,0.790577372196144,0.3311420042454043,0.0003000746428662324,0.0075344331467287985,0.12410236154487335,6.093414198012016e-06,5.227133124551093e-05,0.11336900781918939,0.001600161257149421,0.2810415965193971,0.09611082035997778,0.38863694426497053,0.0007401349415438584,0.3399723630475451,0.09673027295464515,0.0002461246627730293,1.0577349732931025e-14,1.069277048404366e-18,0.19509428432247936,3.234404033056293e-16,0.002204981379512496,1.2102701264344618e-05,1.6368871744474597e-09,0.022320328069576612,0.1091717744726638,1.360880146677703e-38,1.4857057660372887e-05,1.3449695176051748e-35,8.704488397886649e-28,6.3415644673888445e-24,5.708989263010949e-07,0.02561496683201544,2.324424775517856e-11,0.22367774445724106,0.5167489626139833,0.6666134877759571,0.4191936620449732,6.533689052521343e-08,0.0007575826399082324,0.3338097791945751,0.2511147717423442,0.08412515589010618,0.044838465627363155,1.156836126695827e-10,0.0160305484869235,3.793491105976341e-07,0.1182761239526227,1.1023674424072507e-14,5.862196708526769e-13,0.00013390134566978388,0.0001855576127025245,0.000808223679002825,0.06651283239331625,3.673159345585314e-05,1.2139185728052148e-66,0.0008434133010929802,5.096628861055988e-05,0.06369300235715884,0.6068021872574025,0.06381584776931817,4.825043161335843e-05,0.585705681753905,0.00872381285473115,0.6610581725134541,0.08557164205943231,0.9675181641168248,0.4855572020745895,0.014218464279905352,0.01928459666476883,0.017098073218533467,0.001608766585274456,0.7265555782068525,0.19742207756762983,0.005192392044636233,2.891814010779407e-08,8.342062860013931e-07,0.8001149743663939,0.9091543667477413,7.514164683450996e-19,5.4089838436352746e-14,0.08149627143202536,0.6573046747664729,0.2798782579852795,0.34875006477551285,0.9104445948434633,0.8093084121130468,0.1848514644812323,0.0021235620251062147,0.045164296408072076,0.32291111466884737,0.9586266025355021,0.00796857055187727,0.25368126643311034,4.287556205753424e-20,0.0011361770919661597,0.6863654591696063,0.5706806592708256,0.0005498931533998435,0.0014158576578365768,3.899574290940683e-18,7.003630565264818e-08,0.3242980246554644,0.0003618636080191897,0.09392527395236056,1.2517701407997564e-06,0.9599890166634308,0.7916134199724086,0.7811819121926973,0.02549712077273171,0.0007103962685591667
exp_perpupil_USD,0.0418361992085225,0.0,0.07077961690494323,0.9518001617315535,1.2037662484413363e-20,1.018456004959367e-13,0.14492125411862167,0.6628519534787523,0.5542510663439988,1.4463810715432708e-08,0.18620782529676363,0.9442304366133476,0.01600560061875066,0.6266001209334278,1.1364652704502002e-07,0.015646133642706915,0.002734357050174086,0.4893096558829496,0.4419822843975485,7.94404514240292e-06,0.439706737341064,0.21160405078914388,6.076253336309727e-06,9.2578256831202e-07,0.03817504526115451,0.003362688844866661,0.0006161870022464619,0.0016429299711420247,0.0033413167140243956,0.013041007372647687,0.6797964240794306,0.011284849946455119,0.4716757502942096,1.9027408142348795e-06,0.03299746186273062,0.005769779653751078,0.41130207410046316,0.003059701375570478,1.4668071062936913e-13,0.16888880197731526,0.06392558531924804,1.0374594453110387e-08,3.186845863512762e-12,0.0016735010273640574,8.052018345476614e-14,1.7967382358771183e-13,0.2582772400203144,0.14360971623300395,0.001967420607006983,0.5931994289488192,0.0008421121253103763,0.03258643119921827,0.3352814528048089,0.9672246547516832,0.16587185298119023,0.6459709664934946,0.12081448429735286,4.866482451857922e-09,0.01091750813220752,0.9669502345221207,0.36331216136288536,8.585467031509754e-08,9.175899463242438e-08,0.3233538764263236,0.00013233504885665003,5.5564446000635084e-05,0.9507637049119936,0.7803455603964216,0.0003537941004548541,0.00016502067056098517,1.083266486161489e-05,0.0019143529491907289,0.7798997780588656,1.6863095022705795e-16,0.0033053246828575137,0.0010300234225251986,0.011478414404406794,0.00044593576124289425,0.37008461305850504,0.2729909555369568,0.00035239462722339254,0.014816953420667812,0.8808850228699754,0.2472845248845087,1.0381979283046681e-38,0.03371579308652302,5.95905741996572e-13,0.9846903956924979,0.3697131745219252,0.10246548792670246,0.09417901808910459,0.052740662297978746,0.16461105568539117,0.3798569707120616,0.6545234718694785,0.012165708166502642,1.1980791094071208e-10,1.2164542159089186e-14,0.8013616808396409,1.9894204731649232e-06,0.15669032184344323,0.6910662265946974,0.11171910031863685,0.07803405867342915,4.2716571274037575e-09,0.009070741503601824,0.0002573398739697613,0.8345726278674339,4.5931456424261e-10,0.00023658576677538772,0.0019083754169158128,1.7261039932843205e-17,0.9580909017627216,0.0322144101072632,0.06218887391233579,0.8495307056795424,0.014421802158702313,0.551104073287627,0.06695354637716863,0.032734352648788295,0.035594292623620384,3.646119626082659e-07,0.0020593461955169417
debt_pervaluation_%,0.0014489816314928424,0.07077961690494323,0.0,0.05048662599714879,0.4226492674228368,0.5466627923785852,0.000197081810194925,4.2737025328857376e-07,0.0005550206001513285,0.8652503992265018,0.010557493259069836,0.301697490919846,0.900069407917081,0.8956064375490391,0.022298383135614254,0.8948304128817658,0.07686280025941185,0.29215224464385564,0.002273777299847541,0.47729814045225283,0.6972151597947193,0.6333319037082304,0.06120189660639942,0.023320138708658747,0.004031983652164394,0.14297661982484544,0.28654190203909774,0.5834408206734234,0.05191579245870881,0.015554767767762814,0.05601316093064265,0.14236043083731673,0.013105668203763193,0.018565814937733183,0.008757851804721098,0.0026561003663470714,0.7023461484892912,0.4379520331234935,0.8490374190961801,0.008682384133517643,0.395278871409081,0.2224986099691442,0.9837937438906993,0.025213352439196663,0.005415775273822255,0.07353750469522642,0.6638269279541369,0.864816149930463,0.6244191562236634,0.8028849402668733,0.07859033406788471,0.6073485579631568,0.196297925533265,0.0006193935594430173,0.0022050757184975418,0.47541423219323875,0.24807349157840655,0.05961715980444817,0.2996233033764243,0.27994454967554017,0.898000197447236,0.00015348677060245144,0.00016031489634647992,0.0024842973294572704,0.6331480830898193,0.8914292040174967,4.92786330530827e-08,0.00026178021195154993,2.7804353832966892e-08,0.16534863575385272,0.17957854834489917,0.5664619064712217,0.7754775594519964,0.85954295295492,0.05308747050595424,0.7015997269717525,0.83549570631907,0.5723606519425495,0.42686353619543416,0.44558321289284664,0.013020781653887011,0.19821808881485278,0.4693358753600829,0.37329097736212125,0.023775852388605887,0.6771978793305787,4.3014034119808834e-06,3.055705075235648e-07,0.0002604423449548244,0.4561855764395798,0.5986892059276796,1.0048350682989135e-05,0.08991327746998856,0.5102440271271691,0.8840375650620093,0.05672660722429979,0.017813565744917745,0.02498157580870033,0.35763691559742294,0.5584766985205314,0.014744099425070545,0.15467030711110588,0.03846222030175898,0.9694457255131158,0.06880359286994181,0.06806363277987217,3.557510402723735e-09,0.432740183706286,0.9550667930972285,0.816901537212644,0.0020208192493245416,2.2111652597984535e-06,0.0006820536685110213,1.8888582682796957e-13,0.08507347721606891,0.10972253222584345,0.017343088639981175,0.003990249424442497,0.01876799017326293,0.004720968899790599,0.008328424179467813,4.64323042634131e-06,1.8599757654893647e-06
homeless_Shelters_per_1000,1.9454266808539718e-11,0.9518001617315535,0.05048662599714879,0.0,0.959907664091581,0.5902916839956919,0.00011021794265654143,2.710779148106356e-05,9.743080782790964e-12,0.8116644852616838,0.026135045515058665,0.8346622871316863,0.014548749616722928,0.8247239126416364,0.9474486696615222,0.07497896299603159,0.0086163921775694,0.8201695527231291,0.0035690932068589104,0.30811991850833975,0.06768024213121394,0.5262328702434733,0.3408852473392351,0.1265175635092122,0.16350892305124215,0.09020822209052512,0.8530263742869537,0.965885812531335,0.09361990795861443,0.030522719964104713,0.01051873312070229,0.19769962699315627,1.94759693215385e-06,0.9466968606241621,0.0012357380802187237,0.003813039501463153,0.3844828725969628,0.4514802107489253,0.00020698022561208723,0.12591849542611935,0.00013364981352401547,0.0012075158940335667,0.01124101287685638,0.018091666001781796,0.25759551744257225,0.003003133122684211,0.647824375825786,0.9243286539040674,0.026013335738687582,0.040363008985261406,0.01372594571090124,0.1470095633572758,0.572505217160056,0.8667292582497508,0.012247360210025024,0.12475586424190993,0.00643476248782939,0.5329894346738054,0.020789558413855932,0.12160927756806003,1.7184743418262733e-10,6.277932782829362e-05,0.024861253916021175,4.516909800915659e-07,0.332873351870712,0.26047706221415967,1.0537685841883708e-05,9.797593945272285e-09,0.002370348200509579,0.1391769760632717,0.8540386158988882,0.6641598448385633,0.49264667685294294,0.16358420088840395,0.027723065757286072,0.8057503022398216,0.5404325072416698,0.530024231297038,0.22868661941377455,0.00017508927066752885,0.2535769611384149,0.23712444180727982,0.44420485159891965,0.4722069535748282,0.1895380225164647,0.23016214759507606,0.008633889739760661,0.003126388347837663,0.033050486225889575,0.7943476605785788,0.318977820595821,5.136142752221085e-05,0.0001962012699800537,0.8916027169401292,0.4839747859279624,0.13830578285035047,0.15859520390869394,0.4446124821730364,0.6480058702224063,0.5074913405853412,0.09759999644810402,0.6733054032952348,0.4157413808556445,0.6359634103770443,0.46022732447752435,0.42722023811585585,1.9391254183027807e-05,0.5936084129800723,0.2635963064099817,0.48184446065642395,0.00019012829642399927,0.052351894448249205,0.00010347197753556124,0.0018467805144601088,0.29808968154549986,0.33461698482840496,0.009384878167125044,0.0015368071984367471,0.6210955158317403,0.19134085809054469,0.2118523523281755,0.07506627697349749,0.0081737147074834
median_owner_home_USD,0.9124612507841378,1.2037662484413363e-20,0.4226492674228368,0.959907664091581,0.0,3.831479219997681e-70,2.61350118595964e-10,4.991892886457299e-07,0.4440478273457218,2.7420457119272127e-09,2.3367315869121777e-10,0.9895829124536664,0.11930247021597958,1.6810996971310228e-11,1.2624179169057333e-06,0.7876430381161981,2.0680798603958988e-18,0.00010907320122149046,1.9623302141229949e-07,1.2670810649412777e-06,5.513075302729745e-07,0.8346596185815974,6.600918675144969e-17,0.3766852313919299,1.8377435326083135e-05,1.4944416285588682e-18,5.696090256865481e-28,2.4019941662977853e-17,5.4432654378575124e-11,0.00016407148627231837,0.7559716051711556,0.005223440034421908,0.7339842301220715,5.878222953458288e-10,0.016509334809355146,0.0017073312465474533,0.003661195765095448,0.48591917416457475,1.2717122377602687e-20,2.7248141774549535e-06,7.478066145672387e-13,0.0014531098128387598,2.5924809600032184e-05,0.5495019007315545,3.5440532790072827e-15,4.56083844856293e-18,0.11708067406025421,0.008855607570623111,0.14422024769781494,0.9082565424350469,0.041361338277060226,2.5957720861979024e-06,0.0013732406368352666,0.0018888278404164717,0.0831969664912339,0.002132727531330147,1.5728535992484842e-06,0.18024304142572,9.10582820908215e-13,0.00030745477394516786,0.9355548307072081,0.6561503345831607,0.7765854721810193,0.000360895803360061,2.2456496472090916e-05,2.901240484726386e-14,0.1375095949837913,0.1270409318009775,0.0010787657865879373,0.49063347153658965,0.029382411167624627,0.022131232890151186,0.09818951819874343,0.0001465537582408018,0.004158496154691468,0.008978431114190928,8.297383891927422e-05,0.0038649419535431682,0.23315505834580993,0.4956568236154524,6.080461158353477e-07,5.928603453756235e-05,0.009244078981809706,0.13927930758247797,0.06820602577335261,0.03537780022704236,0.04634594172549187,3.0279743025234437e-06,3.3080528791666e-07,1.796614288240975e-06,0.7225224670323562,1.7646190057461685e-12,0.7753414710084499,0.043098938455390604,4.2479782775814556e-05,0.009386154698983837,1.7607589684318548e-09,3.948384399379322e-12,0.005559810429207467,0.3088293570364224,0.009369303897299388,1.2349990292356587e-13,3.1623572102097007e-07,0.04600237741377787,0.18233406250979667,0.5003420757799366,0.28695603552951865,0.09444535883018632,3.9052684876389486e-05,0.13265330717957113,7.652205392717983e-05,3.996834858024852e-18,0.6797924706818007,1.4120066325377268e-07,0.006567468820738685,6.164499548556113e-10,8.075894990772774e-05,9.459630045540494e-11,0.0002754687536289261,0.00029699454623514243,0.6597747403840437,4.1255243911770796e-07,0.1326265216864551
median_sale_homes_USD,0.3759162910909344,1.018456004959367e-13,0.5466627923785852,0.5902916839956919,3.831479219997681e-70,0.0,0.0003526321033493698,2.6372416239288226e-05,0.5022885632130005,5.1007367092682005e-06,1.807148735318905e-07,0.32210817430179317,0.3215238454512155,6.913194734443272e-07,0.0002426327710576485,0.46669840217793324,2.672287103063469e-10,0.012624870148339946,0.0035381615236962736,8.173955835078017e-05,2.5364890284538327e-05,0.33906376692706774,5.812311640058069e-10,0.8857849132549784,1.0733172294862356e-05,2.025603725405483e-09,3.03899724991535e-16,3.768890412450918e-11,2.6563928105510413e-08,0.0025530997059257368,0.914393703034839,0.023169335919232786,0.17879225514232008,2.8777232682753095e-06,0.3901023562244721,0.060066551602979676,0.007882237381046528,0.8153080605412267,2.605243004516076e-15,0.00040424324162228635,1.0371229708473028e-09,0.00021643229711136927,8.676958869938526e-05,0.814729496521724,3.395863010756892e-08,5.1242862482757624e-11,0.15862356438920305,0.0027022610404673084,0.23955771409409987,0.33371108390723114,0.0400890733212319,5.116987218414833e-05,0.011674690298740681,0.003178823925826162,0.07553165026395368,0.009533532373963125,7.95538103243896e-05,0.2665141627516858,2.602902145533802e-11,0.026776180550633185,0.7670850604718157,0.6812503276890971,0.8171117082599852,0.00521823417473731,0.0030903178774345334,4.370564971036821e-06,0.09201609393088149,0.04261921610413127,0.00040417493765704054,0.8961488999642656,0.022476715260862905,0.09959284673651742,0.30033084204373717,0.006634051891686113,0.007719955765766606,0.05850643554864658,0.0007961582553483056,0.006859715547764054,0.5621663374510714,0.5604738563361635,0.0006654517404009037,0.006299527336782202,0.017798618403509357,0.7304073210305921,0.13258220404132132,0.00034720063831787006,0.038952935756281705,0.005781637403605944,0.0002605618321470049,0.00012075565889265882,0.6165569029378526,8.104762970934555e-09,0.7328964819796968,0.6546976165745746,0.0019256284249517012,0.005519429777826135,4.496464333228969e-07,8.064455786929591e-08,0.08105259556993405,0.44198835075080245,0.016104243746437236,1.2573914422083515e-08,0.00024463205983221915,0.22316070245673167,0.24062951337337654,0.5599761650550094,0.21435357444147665,0.8248335073771934,0.0029587476899619837,0.30993727336151544,0.006533945754590469,4.697884882478034e-11,0.9734630483570098,9.456301837265206e-05,0.04691278889617523,2.6015412624003807e-07,0.001570261279763266,8.632388937957373e-07,0.0012887500285348997,0.002150715457042975,0.3557395921891925,0.0003998266780645554,0.3298992775277837
unemployment_rate,0.0005435781456088523,0.14492125411862167,0.000197081810194925,0.00011021794265654143,2.61350118595964e-10,0.0003526321033493698,0.0,0.00024155252474943715,2.5962270935454593e-06,0.27248682655187484,0.6158127351263352,0.0034901341924680677,0.02501162453488672,5.284298606437242e-06,5.240716331641877e-07,0.0008773398809969447,4.5728602204031705e-11,0.0008164370665815871,1.5653874336571372e-09,0.020923652611265327,7.85178765788724e-10,0.021314793257283523,4.967691667008285e-07,0.717387495389008,0.09941093491081018,0.0017118730146309365,4.42323677765231e-15,4.4387830405016757e-05,3.7464481854208445e-06,7.860604945345612e-06,0.00022515681390834592,0.011469675528137272,6.594737929799783e-06,0.7188515956656543,0.00032197844572637454,8.607491481788261e-05,0.004526794951163957,0.001327994593789993,0.08279008624336133,1.6576501721078323e-07,0.36848615256363104,0.03753948972589333,0.8800192645958123,0.013237390998577623,1.1312436791342804e-09,0.8905092510587471,0.24480492696555217,0.3758573652537158,0.03940279388624332,0.03838507413224453,1.8675471628601144e-08,9.43415578429722e-05,0.7428120681250848,9.290808275286119e-05,0.011959268119145983,0.45112352533088573,3.3344921522135134e-09,0.004773293645046573,0.0808525983077578,0.958956562727403,0.044297643418905484,5.685505083999963e-06,0.08353988223711464,0.5214509324341841,0.03539557234658661,0.00038348164569069673,0.02218110261710294,0.010519636648328294,0.08755786478185451,0.39514707694602635,0.5944869713712275,0.8050030276682794,0.9789123252479005,0.2981615353397355,0.0006116467443722125,0.27892471748979725,0.03716025092584275,0.11669399715144725,0.7833279546980981,0.07441261931854841,0.948367733899359,0.02878997510905515,0.6289410486641721,0.018390890838116795,0.018631275493075323,0.9923705821623668,0.025414452077140458,1.2884994277471717e-12,6.12569321227383e-10,0.025528220902860107,0.048788814853590594,1.7809790048094076e-25,0.08349693839708129,0.7838621575624323,0.21111345442898152,0.00012233543655788197,1.731881343302584e-05,6.981731777137654e-10,9.27135082203079e-05,0.22623984002793715,3.5375147872099384e-06,1.0746533476848614e-06,1.229146806308462e-13,0.6697116192667207,0.039523218712698586,0.005049998269120867,0.10560057310303725,0.004871456095210902,0.09004156316879305,0.7197050831723364,3.0479699290030165e-11,2.3939261792835154e-07,0.00010837938380778635,6.950647009530408e-11,0.12780229493283654,1.8024806401559573e-10,3.1044997409071695e-07,5.041301741025363e-09,0.5537422790237055,0.8578227199392616,0.04097307587702088,1.3345849640377207e-06,0.00784689717682626
race_Wh_%,1.5713364447178018e-15,0.6628519534787523,4.2737025328857376e-07,2.710779148106356e-05,4.991892886457299e-07,2.6372416239288226e-05,0.00024155252474943715,0.0,4.301648494174412e-30,5.0514854183144865e-06,3.418785491877229e-38,0.34249659735538374,3.957342370530372e-16,1.1237975365445851e-06,0.0035793173607896397,2.1841193676118538e-07,0.3781544155155392,0.03670353263208562,0.09809531162349468,0.28321734235126717,0.707833271191721,0.027202071636104524,5.93146346596297e-06,0.000203013245628006,1.0093422901633391e-12,3.4597772065033345e-06,0.18576007228949362,0.004770342071445672,0.3776883749423514,1.2564172554145919e-15,8.189815674256864e-09,0.07576960912948061,5.884777591216729e-06,5.274931234080216e-31,0.0016632031679175714,9.315409415940247e-06,0.5500602086379756,0.83935130813662,9.074233017979359e-07,3.142643642821437e-06,2.4486552292152293e-21,0.09574925101739903,0.07750365906582621,0.0039621531907812774,2.430046408595897e-06,0.0011683532321207666,0.3182231618526844,0.8787127282256931,0.17983792530996237,0.43012126576149723,9.756895306169281e-05,0.8385194199780732,0.000559491653314391,0.9058348440943693,0.17835719741365388,0.013966466039215234,0.00041614231160067147,7.64223617584653e-17,8.431149067636657e-10,7.230989887224555e-05,5.571073954502657e-05,3.2399618360788515e-32,2.550544656770722e-21,5.67320587905487e-07,0.17059919996161124,0.15967325686877476,1.8890069005481422e-11,1.4202855555674897e-29,6.3925255299359474e-18,0.10003608826008376,0.038118156597499016,0.8521438884090361,0.9429808934499214,0.6026958631095709,0.5503734776077382,0.06901202428852776,0.6247894311603601,0.30139330213165844,0.9275545521576859,0.030624985638873718,0.0031152869723251164,0.6600434387258096,0.2123048269380792,0.4883551891036291,2.3495054423152685e-05,0.05654624713426763,1.510195623141266e-10,0.0038687730371460027,0.06651557611717127,0.033384797731884616,0.03142659383424491,1.7041508819496182e-10,2.54310665432071e-12,0.013125136544201738,0.05412858615607053,0.08433069722231658,0.005807430817042448,0.03856569837883817,0.3581535785476495,0.0010419846529499904,0.0014189077720744648,0.199185383518494,0.2845998787595379,0.662123937173436,0.9584541498499125,0.9617012520158152,4.6443674597682935e-18,0.002232822731097807,0.8767487608034216,0.13795247241879502,5.9826588218036445e-06,0.023566716272354623,1.1338792705333877e-10,0.0007341899454364985,6.41266673792496e-05,0.0245094156255974,0.1782242305925353,0.5015386386037473,0.001374774811574807,0.0018619520970326571,0.012141333132262353,0.00046230512556986845,6.433555931157642e-05
race_Afam_%,6.424233948317767e-16,0.5542510663439988,0.0005550206001513285,9.743080782790964e-12,0.4440478273457218,0.5022885632130005,2.5962270935454593e-06,4.301648494174412e-30,0.0,0.9839814186327782,2.5551098055694878e-08,0.8474922252306105,2.3566047878960176e-08,0.9498768596497354,0.40371101624620775,0.03204302681847724,1.56901426662385e-08,0.5825618323680093,3.892641849189708e-05,0.032967476574891616,0.0005239861695731424,0.2584480546405279,0.005418528093867545,0.11232138001194915,0.019066927116188674,0.025472737468327063,0.7412663956810706,0.17144492488239638,0.001803617289629719,7.799877818062539e-08,1.4635895169436758e-09,0.35764694968439426,2.337847792129035e-13,0.7474914630655349,0.00015466508857691166,0.0037693226320308507,0.13642139816079807,0.07939067924578892,9.91126712636184e-07,4.405056409269513e-05,7.761817210514917e-13,0.00027266890437284506,0.019817589050802182,0.0029185234036430774,0.0001388092413333874,0.0005744410277373216,0.4761302782668483,0.7256185495125256,0.9554801802939021,0.2801505207784212,3.822841352755889e-05,0.08969629682037657,0.340186547603446,0.36727596631906023,0.06544571240645687,0.18638241725177085,2.951555895862118e-07,0.309291126139779,0.00010214931561573815,0.10225310782773046,3.788530243669209e-10,4.282345796955745e-12,0.00026242311545369377,0.0017507381917870894,0.09588445007814274,0.7896891997225498,3.222938932879771e-08,1.431001742868975e-19,2.6685317320368834e-08,0.00227103108467926,0.590613734478596,0.8002243562324438,0.08569383123993242,0.013281484533316698,0.012824913269862438,0.7740972236720055,0.8569995428802644,0.7426668217509453,0.12196362665744225,0.024147666591940065,0.10402566555490544,0.11585748319613505,0.3074471923448518,0.4031611418242672,0.16544574675126347,0.39613034297952654,0.0001468925279672906,2.319928485578015e-05,0.00015247734201423712,0.8215281023289484,0.0587926421585231,6.430475727296947e-16,1.4277668561045838e-05,0.08104296456584169,0.6550377581421145,0.009848605149872819,0.0005188577265419586,0.00259192053306411,0.18651752570950683,0.38919806906943444,0.016520040648065906,0.9895525085492799,0.5670562747276844,0.7366689168088347,0.11000891843968909,0.06650478601933213,2.112193516175755e-15,0.3958046709030968,0.27818216777823873,0.533527384077216,6.503174430567191e-07,2.526799589143077e-06,3.8706267883671654e-08,2.643876774323178e-07,0.16142812576718807,0.028560466832004017,0.007287967588890544,0.007020811994445477,0.09885344998487838,0.06886429954931271,0.011619575560886055,0.0003412498041771286,3.0011859467923754e-06
race_Alaska_%,0.7874697232614623,1.4463810715432708e-08,0.8652503992265018,0.8116644852616838,2.7420457119272127e-09,5.1007367092682005e-06,0.27248682655187484,5.0514854183144865e-06,0.9839814186327782,0.0,0.503650912743125,0.010832957804464914,1.74554601974452e-07,0.07380272937711424,0.3344879490248184,0.008886198405135742,0.6278000645646495,0.8806487381964248,0.006196503663805504,0.0022870859380544556,0.8352129973837149,0.04122016381370599,0.024779492003656423,2.2542354821172566e-06,0.06848144055377944,0.22152711654896698,0.3904141738454683,0.607359321430909,0.7763612896961272,0.46228599052886343,0.7167988944591912,0.7143754617304702,0.3696522588037944,0.00029316287054645,0.04865353917742469,0.1118140649178982,0.16021962525271158,0.2858129885426638,0.12855787659200082,0.2968204264777449,0.6099654598182911,0.03554026141234432,0.9171252788255133,0.8705514563129294,0.41387242265438273,0.014166225266854047,0.34357917224835555,0.7476270885536738,0.3383302238408228,0.8303273303932318,1.7450646175475586e-06,0.013188520957142402,0.5455096950633257,0.5064091591974137,0.3960950316813201,0.06398018546164005,0.03706380062051186,0.3571198158633734,0.4071502548406962,0.6373733766464698,0.81288244769759,0.5013779545067949,0.10169996541095648,0.5043134796170456,0.9761223487054885,0.5522718801886448,0.3164782811647003,0.743189102738453,0.09622535432660768,2.2303869424242976e-06,0.8677242988440279,0.23106917046530642,0.3303814725912867,1.4664250808453562e-05,0.07959420898528438,0.05008391251687701,0.9991329939764754,0.0786281869598495,0.4385728900390097,0.45795861383775605,0.1611727272974599,0.4424579714283504,0.42278910604757125,0.15608575300115454,0.0015187612730500418,0.11393819359891719,0.08882829010033481,0.07785218169516943,0.04405957599827151,0.22092882065562777,0.7248784954923637,0.03176646748425933,0.8137400521597582,0.6449791302743964,0.9355558583836487,0.5349320428767542,0.740646047199671,0.03713241813222256,0.020588832479470763,0.4743499555826761,0.0003788579120765391,0.14987670921114138,0.03222991246502661,0.7180676889872544,0.9432319050085068,0.09309248200372579,0.06474573252282932,0.9160696382791518,9.590861132745816e-19,0.33074560782049345,0.006519440625242915,0.011823557202832404,0.5012965539875673,0.5785215613553625,0.7875956417944106,0.027609780114476467,0.16412797968581527,0.1774300611242661,0.006460436862730813,0.02143275069696291,0.011972415350216281,0.02111964411283281,0.3256689931226481
