\,exp_perpupil_USD,preschool_%,students_disabilities_%,student_teacher_ratio,libraries_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,dropout_%,college_%,avg_ela,avg_math,less_than_highschool_%,public_school_%,private_school_%
exp_perpupil_USD,0.0,0.503528682149992,0.2076697085834491,8.971445196008593e-11,0.2887787806924891,0.7132558928821442,0.7169702903617954,0.4835252778984236,0.6749392472532891,0.021407111635611244,0.9090715401414153,0.41997552868801646,0.5327776184448416,0.05309143298461024,4.6342394574444635e-05,6.921255421534961e-05
preschool_%,0.503528682149992,0.0,0.13452090531811814,0.6441903000169831,0.17108012659312907,0.4966457664526204,0.22223342673362392,0.34537406935894654,0.5419364178481075,0.6198763273352325,0.0013047821586001304,0.5195788230512164,0.8883959178579531,0.520702948629898,0.7212935943434087,0.36650771964633966
students_disabilities_%,0.2076697085834491,0.13452090531811814,0.0,0.00881638153515174,0.04255442990986,0.853497274029322,0.30164063292812215,0.14116433772844025,0.12313775323016028,0.0002245159517594822,7.993548359496882e-09,0.14808249724337086,0.04468786393252322,0.0006982311280191572,0.4806231748974936,0.6231365531011372
student_teacher_ratio,8.971445196008593e-11,0.6441903000169831,0.00881638153515174,0.0,2.228703344369062e-11,0.09303842457781104,0.0024375529680690355,0.5335545915182057,0.031162314552611228,0.25734846022069086,0.2690239186972377,0.06682836683602404,0.27957402369164847,0.3110697653711226,0.00023569079837698642,0.10812359432417916
libraries_%,0.2887787806924891,0.17108012659312907,0.04255442990986,2.228703344369062e-11,0.0,4.0735848292511887e-05,4.246231810829518e-06,0.0009576428690034087,0.12246313856222338,0.3072009694083947,0.08344726504007108,0.46925224927417075,0.5792345543997612,0.13671651042859495,0.0002861137980900528,0.0005505068222692376
exemplary_%,0.7132558928821442,0.4966457664526204,0.853497274029322,0.09303842457781104,4.0735848292511887e-05,0.0,4.875824388229709e-24,0.5130858614445688,4.661751717044579e-15,0.36560690469514556,0.636206868353465,7.255426736461402e-05,0.6259203676756655,0.5230131991897609,0.48829556742545344,0.050798569942622884
proficient_%,0.7169702903617954,0.22223342673362392,0.30164063292812215,0.0024375529680690355,4.246231810829518e-06,4.875824388229709e-24,0.0,1.660398250585801e-39,0.10457942748018183,0.0006109010276499547,0.8224690861851236,0.1439872907573761,0.7821472928536188,0.9652704404246156,0.674154189244203,0.2518209017644698
need_improve_%,0.4835252778984236,0.34537406935894654,0.14116433772844025,0.5335545915182057,0.0009576428690034087,0.5130858614445688,1.660398250585801e-39,0.0,4.000576925086092e-12,0.010790202327846115,0.629939363071492,0.01466793323913917,0.36074302295124205,0.6602804613774144,0.6571156775748381,0.8651628009550988
unsatis_%,0.6749392472532891,0.5419364178481075,0.12313775323016028,0.031162314552611228,0.12246313856222338,4.661751717044579e-15,0.10457942748018183,4.000576925086092e-12,0.0,0.9196356880050246,0.6118554137384844,0.5818797902320152,0.411215081709152,0.2935309361668428,0.8599033907332277,0.7206694279485562
dropout_%,0.021407111635611244,0.6198763273352325,0.0002245159517594822,0.25734846022069086,0.3072009694083947,0.36560690469514556,0.0006109010276499547,0.010790202327846115,0.9196356880050246,0.0,3.9077585891932725e-21,0.003915514874483124,0.001792306945062687,5.128507630139486e-21,0.2151963887100423,0.09759588540287631
college_%,0.9090715401414153,0.0013047821586001304,7.993548359496882e-09,0.2690239186972377,0.08344726504007108,0.636206868353465,0.8224690861851236,0.629939363071492,0.6118554137384844,3.9077585891932725e-21,0.0,0.00010901675504585435,6.7879116985277715e-06,4.540441909866069e-15,0.0015234684293821343,0.0001908579634560873
avg_ela,0.41997552868801646,0.5195788230512164,0.14808249724337086,0.06682836683602404,0.46925224927417075,7.255426736461402e-05,0.1439872907573761,0.01466793323913917,0.5818797902320152,0.003915514874483124,0.00010901675504585435,0.0,4.4171035412607967e-60,0.00017207280479798517,0.38002750173776856,0.1092353461151988
avg_math,0.5327776184448416,0.8883959178579531,0.04468786393252322,0.27957402369164847,0.5792345543997612,0.6259203676756655,0.7821472928536188,0.36074302295124205,0.411215081709152,0.001792306945062687,6.7879116985277715e-06,4.4171035412607967e-60,0.0,4.7846604265733834e-05,0.34415785666757115,0.04471747517001045
less_than_highschool_%,0.05309143298461024,0.520702948629898,0.0006982311280191572,0.3110697653711226,0.13671651042859495,0.5230131991897609,0.9652704404246156,0.6602804613774144,0.2935309361668428,5.128507630139486e-21,4.540441909866069e-15,0.00017207280479798517,4.7846604265733834e-05,0.0,0.46361552228653,0.0035137758237100995
public_school_%,4.6342394574444635e-05,0.7212935943434087,0.4806231748974936,0.00023569079837698642,0.0002861137980900528,0.48829556742545344,0.674154189244203,0.6571156775748381,0.8599033907332277,0.2151963887100423,0.0015234684293821343,0.38002750173776856,0.34415785666757115,0.46361552228653,0.0,0.25700673705867366
private_school_%,6.921255421534961e-05,0.36650771964633966,0.6231365531011372,0.10812359432417916,0.0005505068222692376,0.050798569942622884,0.2518209017644698,0.8651628009550988,0.7206694279485562,0.09759588540287631,0.0001908579634560873,0.1092353461151988,0.04471747517001045,0.0035137758237100995,0.25700673705867366,0.0
