\,licensed_nurses_per1000,dentists_per1000,physician_assisted_%,pa_provider_density_per10000,physicians_per1000,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,advancedprn_per1000,health_insurance_coverage_%
licensed_nurses_per1000,0.0,1.2918524896923533e-13,0.0019343402640980422,6.575893906748264e-06,3.8649461873342045e-05,1.8217750073376194e-12,0.8290090890473503,0.9627784412959911,1.6005397952194553e-07,1.7726127901552613e-12,2.5720626911058e-07,0.00389330458866375
dentists_per1000,1.2918524896923533e-13,0.0,0.09040373013310064,0.0029229323555405914,2.5260144395983377e-06,1.721730691357318e-21,0.17600400017691376,0.011276040134279896,2.744556458117373e-08,7.631216320668432e-06,3.231856021409853e-09,0.6955478970328319
physician_assisted_%,0.0019343402640980422,0.09040373013310064,0.0,1.1055449707267982e-98,1.8584815204676474e-28,1.4572919886618712e-12,0.1410112208748737,0.3219679598852345,2.1930829678850915e-12,1.0738769770567693e-29,2.6585768984497145e-30,0.09181709721647999
pa_provider_density_per10000,6.575893906748264e-06,0.0029229323555405914,1.1055449707267982e-98,0.0,1.2907637954441535e-52,1.5673645905188995e-22,0.03868642534008686,0.16677071014122552,5.039168079414292e-23,3.7298279683698706e-55,6.2071182334966004e-52,0.15852613551981218
physicians_per1000,3.8649461873342045e-05,2.5260144395983377e-06,1.8584815204676474e-28,1.2907637954441535e-52,0.0,1.3579286239830908e-51,1.88111313825311e-21,3.0388880883359176e-16,1.3476324552536234e-30,2.9445979232642526e-88,1.0648833190661708e-86,0.3443759741722726
pcp_per1000,1.8217750073376194e-12,1.721730691357318e-21,1.4572919886618712e-12,1.5673645905188995e-22,1.3579286239830908e-51,0.0,0.0020476821816778133,4.299345393056185e-06,1.0589521592707321e-28,6.888513771103327e-36,2.255216740934085e-45,0.49730593640082443
psychiatrist_per1000,0.8290090890473503,0.17600400017691376,0.1410112208748737,0.03868642534008686,1.88111313825311e-21,0.0020476821816778133,0.0,6.802496500845509e-44,0.17642806227128083,0.00018485296143858147,5.0710987736762e-07,0.999438395216904
psychologist_per1000,0.9627784412959911,0.011276040134279896,0.3219679598852345,0.16677071014122552,3.0388880883359176e-16,4.299345393056185e-06,6.802496500845509e-44,0.0,0.24243916061933116,0.0014632828315455362,4.1180126340232535e-07,0.00014675224912337313
pharmacist_per1000,1.6005397952194553e-07,2.744556458117373e-08,2.1930829678850915e-12,5.039168079414292e-23,1.3476324552536234e-30,1.0589521592707321e-28,0.17642806227128083,0.24243916061933116,0.0,4.997155432049167e-48,2.887238627095421e-37,0.15306964174419777
registerednurses_per1000,1.7726127901552613e-12,7.631216320668432e-06,1.0738769770567693e-29,3.7298279683698706e-55,2.9445979232642526e-88,6.888513771103327e-36,0.00018485296143858147,0.0014632828315455362,4.997155432049167e-48,0.0,4.404888566559769e-98,0.02335382139915587
advancedprn_per1000,2.5720626911058e-07,3.231856021409853e-09,2.6585768984497145e-30,6.2071182334966004e-52,1.0648833190661708e-86,2.255216740934085e-45,5.0710987736762e-07,4.1180126340232535e-07,2.887238627095421e-37,4.404888566559769e-98,0.0,0.2557792067121447
health_insurance_coverage_%,0.00389330458866375,0.6955478970328319,0.09181709721647999,0.15852613551981218,0.3443759741722726,0.49730593640082443,0.999438395216904,0.00014675224912337313,0.15306964174419777,0.02335382139915587,0.2557792067121447,0.0
