\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
house_noplumbing_%,0.0,7.685782164197929e-112,0.3381066554583182,0.0853017094884718,0.08363231541014722,0.3329148508074701,0.08355391351623428,0.0038786293296807616,0.8670210923662403,0.2734992246669762,0.304241984506605,0.00016915332685929374,0.7156524487559757,0.34709400789854006,0.0006125696052912581,0.02319497744018266,0.07686322417735329,0.5421095551501717,0.9621115046444375,0.040472111159365956,0.025247157798646776,0.8021256769667415,0.22707894780232582,0.0035481562120212714,0.02667200723045936,0.03533579304514737,0.07122651842894157,0.6453748616993804,0.30212440812048763,4.453051845247739e-05,0.8181414804338721,0.4064287853069827
house_nokitchen_%,7.685782164197929e-112,0.0,0.748082106274212,0.2021534565458432,0.02292157388326144,0.00500832514011308,0.11287664825809256,0.0005516881726755373,0.4925370915530899,0.45975720296819844,0.0005034515544116998,8.802893066454828e-05,0.8608790897190541,0.38504795528742664,3.4175386406143997e-10,0.0867280165503416,0.0015487656162734085,0.7197960571066838,0.15015374890323577,0.2127396836802985,0.16970682773255094,0.0043524706674300685,0.34300052246323,0.02357661859676292,0.892082749220841,0.1325702485667144,0.8542444529811279,0.5239029948282383,0.8408503392343718,0.00047465587811914054,0.3907518948784844,0.3489188061846127
house_lt1939_%,0.3381066554583182,0.748082106274212,0.0,3.2827410554089857e-149,5.344271856222887e-23,0.009621704983018916,0.2417336495301327,7.487377276149429e-13,0.4938346973307488,0.7876015743242114,0.00539067099918784,0.40717644346630777,0.8145536585052122,0.20715713586891116,0.009937417842900724,0.028984846037479754,0.46346753282012165,0.4342197391885835,0.008000784291273636,0.7304121327944213,0.30651663741562013,0.01701198171192043,0.00017842577711068292,1.996844098658253e-09,4.477106990897e-37,8.815439026864903e-08,5.95469014252691e-35,0.00014489969162328098,0.002343372489671115,6.786707096535234e-08,0.0002000764415911498,0.0514609310165494
house_1940to1999_%,0.0853017094884718,0.2021534565458432,3.2827410554089857e-149,0.0,0.013843755518429542,0.07927113832346555,0.5183887060446442,9.63835133220936e-10,0.9094701574900232,0.6013654856867043,0.0043218146016146845,0.3446535721200983,0.34249197829488154,0.5060247648113002,0.009183015212036969,0.26785407671392164,0.12071626730075322,0.4758726314867803,0.07494298262194103,0.8015862414475688,0.3160783820342428,0.02800001364209655,0.0038483906002926287,6.366706193739049e-06,4.197645024873462e-26,1.928874923725974e-05,2.321995501617956e-24,0.0006558970942543564,0.006587408061777746,7.579262062998508e-07,0.000704479809946764,0.09895640714532132
house_2000to2014_%,0.08363231541014722,0.02292157388326144,5.344271856222887e-23,0.013843755518429542,0.0,0.016509334809355146,0.21884052808528048,3.3622503965127514e-06,0.030620643245899956,0.044601566624953085,0.4893416562582579,0.8654889836806605,0.14615152094793468,0.10081953783347443,0.5323228625193699,0.0006273621667751481,0.10476572855155272,0.7673402145115868,0.002222364288699711,0.7419066362467739,0.7773328921122605,0.16644843024741265,0.0012357380802187237,8.146458996286384e-08,7.248741954407023e-15,1.2691900543461614e-05,1.2839598936154802e-14,0.029894982483708275,0.07267720906472741,0.006117348768893071,0.05796463839998571,0.1977501909644942
median_owner_home_USD,0.3329148508074701,0.00500832514011308,0.009621704983018916,0.07927113832346555,0.016509334809355146,0.0,2.0482609516365128e-71,0.0017073312465474533,0.6154879691287893,0.0013732406368352666,0.49063347153658965,0.029382411167624627,0.022131232890151186,0.09818951819874343,0.0001465537582408018,0.004158496154691468,0.008978431114190928,8.297383891927422e-05,0.0038649419535431682,0.23315505834580993,0.4956568236154524,6.080461158353477e-07,0.959907664091581,0.7339842301220715,0.08486024281575817,0.8303839318606253,0.026642609618308947,2.520190801861097e-06,8.137362425741665e-06,0.00016407148627231837,0.7559716051711556,0.005223440034421908
median_sale_homes_USD,0.08355391351623428,0.11287664825809256,0.2417336495301327,0.5183887060446442,0.21884052808528048,2.0482609516365128e-71,0.0,0.019774381531929015,0.9668985700002125,0.01012574075740152,0.5169993086012545,0.012807092778243198,0.16187475711713065,0.250882899883533,0.001058153233520433,0.006333988263372323,0.13097904956987347,4.898581185319053e-05,0.0026820394068457704,0.543061787541169,0.7619678572736113,0.00032966233070392376,0.5755512130069798,0.12665289781518002,0.5556349571397639,0.5746469338784121,0.5233006322548044,0.005622397125300178,0.014474553151870581,0.001391830759200992,0.8244366571647974,0.023888618960163154
house_income_gt30_USD_%,0.0038786293296807616,0.0005516881726755373,7.487377276149429e-13,9.63835133220936e-10,3.3622503965127514e-06,0.0017073312465474533,0.019774381531929015,0.0,0.06674971744533247,0.41051445805480047,2.6878807463040997e-19,8.784521277668159e-06,0.0008980397752830587,2.1301517368340442e-08,2.0959672020653744e-29,0.003957015766696877,0.3832170223378619,0.9988282952124682,0.5402135991274993,0.12358734926919993,0.7458969972676488,0.04954788368907551,0.003813039501463153,1.7468122848200883e-13,4.47692968716405e-27,4.890673420175037e-07,1.1502355617355384e-26,2.3191409117976517e-07,1.4294551943947946e-06,0.0012379382123810583,5.926754716396968e-06,0.07929735571762554
gross_rent_%,0.8670210923662403,0.4925370915530899,0.4938346973307488,0.9094701574900232,0.030620643245899956,0.6154879691287893,0.9668985700002125,0.06674971744533247,0.0,0.534505186811282,1.0816548652797009e-06,0.06328043432859709,0.5370717263197713,0.0015135606091362661,9.06149424375454e-07,0.3676451921449492,0.6240955862056417,0.86737031835682,0.5025183618624455,0.9195582684920753,0.08991012608520846,0.010694096782846987,0.48114084140743985,0.0035635235429299543,0.08335535995220066,0.4933894818568969,0.03862101837969125,0.24055657373256562,0.12441398361178198,0.32483096818781865,0.04507590990508511,0.4354319513369084
property_val_USD,0.2734992246669762,0.45975720296819844,0.7876015743242114,0.6013654856867043,0.044601566624953085,0.0013732406368352666,0.01012574075740152,0.41051445805480047,0.534505186811282,0.0,0.7956053914997834,0.6675991277960198,0.655773561913463,0.47860695248718144,0.9484310496075672,0.864683235290051,0.5343112462213628,0.7874978673006863,0.6495656206247149,0.11969484304137883,0.26847826595099755,0.16464588065873562,0.572505217160056,0.39010790136685747,0.18170703063499544,0.1384007626572364,0.21445759017835903,0.7964639451578017,0.7839402873501928,0.9994084478108424,0.3985737375954772,0.46163643382451824
