\,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
cancer_admissions_AA,0.0,4.261446974025768e-233,1.321328996215661e-200,0.00013291072832037065,0.017898849610602754,1.3471203275124704e-156,1.285027828716228e-96,8.318570917496243e-36,4.5995949015681634e-32,0.15215512283883542,0.5927393279414466,1.9030221396995456e-07,0.0019243524206981229,1.2244142403072922e-07,0.11292114255276546,0.2553671289400958,0.19390024266103986,0.027316908077502904,1.44256623038872e-22,9.392913436433792e-06,0.9616085056274337,0.4919313742697402,0.9884265994203946,1.9466988221663663e-06,3.1414199644376524e-10,6.379442142349469e-05,0.25229081290462113,0.00012115447272607305,0.0011677612932327447,0.007049195329182179,0.00963622209659896,4.829972764737301e-46,0.24232586994104813,5.565914342546319e-11,1.530149131080003e-12,0.0005316050129361791,2.929846158155696e-06,5.416527876894509e-07
cardio_admissions_AA,4.261446974025768e-233,0.0,3.4518427411349736e-174,0.00039720666848843826,0.05732533920332514,8.292314562194069e-105,2.588343495404758e-131,6.283249263525022e-58,4.518901793477267e-27,0.20949251696311705,0.598130463990392,6.200047861009137e-07,7.295217430415676e-05,1.2975649621037895e-08,0.16612286731708084,0.352895745317813,0.5750585728219031,0.000961318452148247,6.739498582523814e-22,1.7896984063975424e-05,0.9454448128486431,0.39933747365824124,0.9966475480161979,1.3775767151110677e-05,1.3091503801394296e-09,0.0003671973823816258,0.25556678093383484,0.0011797070373917424,0.0019334948738532372,0.002653918735029368,0.004589716696016532,1.144856648713844e-30,0.9732254153399705,1.8289618649664983e-10,6.747331546212186e-12,0.00039851278935892985,3.7667158549376804e-05,1.6088035383696156e-06
cardio_emergencies_AA,1.321328996215661e-200,3.4518427411349736e-174,0.0,0.04657332882834236,0.18977624746069918,2.2994481005440027e-156,1.641579476771212e-107,3.364503726193482e-29,3.799241186523114e-37,0.07719380288727544,0.9400472625507768,6.368791272254985e-07,0.0019583740008272386,4.471024362197681e-09,0.11756354120559032,0.30600930066784054,0.1035906977843836,0.03915562078134279,1.2390113097178241e-20,5.047780342233977e-06,0.9681519123383104,0.6633477338215938,0.6802389094254431,7.76233455045119e-05,1.508463468502809e-10,0.00044866577347547464,0.362646818515975,2.7074158210737607e-05,0.0005751385058005203,0.0007716550107970378,0.001000670361623827,1.2923523508712478e-46,0.36275200550025133,5.227825442689299e-14,5.5859645157250224e-11,0.005654206261839179,9.117308779974278e-08,3.8532957358572076e-08
Diabetes_admissions_AA,0.00013291072832037065,0.00039720666848843826,0.04657332882834236,0.0,1.6352315651165515e-200,0.2601831084249823,0.004468517087882656,8.476822610920855e-21,0.9489544479792256,0.5120811654337789,0.6399284676939287,0.05203240863151824,7.436288754271237e-06,0.5318857958423693,0.5610247983436434,0.15646882903681905,0.9659459628949146,0.2861444915301932,0.35985146942935964,0.486035510643014,0.6981932887494524,0.8453078875097627,0.39562695880364096,0.04419891311584991,0.11635256907154368,0.2139268085539695,0.9781592137345934,0.040420623503647016,0.3712755036929133,0.1568988313742382,0.3925375372253235,0.25399513794822576,0.023036360340446246,0.015563506920488884,0.7661907086768001,0.9922810619837447,0.05077041045721543,0.7893577907825324
Diabetes_emergencies_AA,0.017898849610602754,0.05732533920332514,0.18977624746069918,1.6352315651165515e-200,0.0,0.7515340083468259,0.07758133645025381,7.063798820415808e-14,0.9924784668223835,0.5847728454330496,0.9842480180882666,0.005266113452015496,0.0002600634847986072,0.5979427148016021,0.5418432211915298,0.07683173086046279,0.8521415021193943,0.10390821578386027,0.9325811794759775,0.6041666931780544,0.6847063171378547,0.5798725224099498,0.3127640378044468,0.1950225333740763,0.1316920664175358,0.5005460004565252,0.6312103952928967,0.011857788772061124,0.24625180901128976,0.2623103814218994,0.5437834027221234,0.08892630129532889,0.0053743308733781026,0.004597944221487376,0.904002160154124,0.9411281872829363,0.13150248145689755,0.620741880721341
Mental_admissions_AA,1.3471203275124704e-156,8.292314562194069e-105,2.2994481005440027e-156,0.2601831084249823,0.7515340083468259,0.0,2.901758314276853e-49,7.278546947518026e-09,2.4511367343095265e-37,0.11874605237441402,0.5184289337401975,2.0119468153800555e-07,0.22302966284291614,5.629540858319622e-06,0.08986057690840789,0.2380209238397843,0.08772187690184831,0.6761455770342658,2.3284112096495507e-23,6.300109572361396e-06,0.9865935476857807,0.7855702001981573,0.883463300404558,0.00010243664138442587,2.3750535200648395e-07,0.00022833106749916792,0.5827950546500487,1.859830873755494e-05,0.00041888570136047813,0.01891941605112567,0.015033447842025557,5.230425370866554e-92,8.79689325069181e-05,1.821395574017644e-15,1.4046643354656966e-11,0.001405184205656427,2.4236900447852887e-08,1.4368874720622813e-06
Mental_emergencies_AA,1.285027828716228e-96,2.588343495404758e-131,1.641579476771212e-107,0.004468517087882656,0.07758133645025381,2.901758314276853e-49,0.0,8.659750044160631e-84,1.9043050307282608e-22,0.0990082089809903,0.45866446617416734,0.012719850996915711,1.6122852593483624e-13,3.342970756285809e-11,0.12678806887434863,0.5790736637673484,0.06619779082759616,1.2985002166712676e-11,4.5252714617023915e-11,3.587643075570815e-05,0.9536067604093422,0.22843861396838372,0.8225053507956059,0.0005446509735313729,1.33482940306874e-09,0.015108939356085474,0.3635825404155749,0.007042690586385896,0.010415755279898596,0.0017569719274001185,0.004862783287267833,6.041704365860437e-08,0.010696299758518607,9.838206741492703e-07,1.4371427777103555e-08,0.013220820719395268,0.0004915155514037951,1.9702338802409104e-05
Stroke_admissions_AA,8.318570917496243e-36,6.283249263525022e-58,3.364503726193482e-29,8.476822610920855e-21,7.063798820415808e-14,7.278546947518026e-09,8.659750044160631e-84,0.0,2.9983769599655512e-05,0.5172118617172055,0.6302345039752709,0.31053082701340856,1.5237953024481713e-15,9.165198547272393e-07,0.6822861987604261,0.7944824176185963,0.5763046118653958,1.0692406384890377e-11,1.1432698464075385e-05,0.011832612413051741,0.847184536953197,0.20719307642253457,0.9686250045140288,0.0010079444707053761,5.615836509046948e-07,0.07379712629580008,0.27236259926479933,0.28561216393801303,0.17684367067977327,0.0031801030204069484,0.018852371025417817,0.3177728548194184,5.505663289320882e-05,0.6004329046760001,0.00018382335308239777,0.10957208159592738,0.5618230719209898,0.01223416511549109
fruit_consump_%,4.5995949015681634e-32,4.518901793477267e-27,3.799241186523114e-37,0.9489544479792256,0.9924784668223835,2.4511367343095265e-37,1.9043050307282608e-22,2.9983769599655512e-05,0.0,7.779667708307538e-05,0.00012246281002856538,9.033749563085191e-06,0.01459473463016502,1.897785114062906e-08,0.00390316008439959,0.014615397117913067,0.914894499192354,0.4995409637627456,2.2257456542673035e-15,1.2948862119950617e-07,0.5853344821648292,0.5239328378624325,0.3880156484169577,7.668328160580559e-11,6.253706145932463e-14,9.092508562303447e-07,0.000313662325918476,0.0008058039924811534,0.37322816509228507,0.03557448868414658,0.030747868679962174,7.857780235011936e-32,0.10492011033444991,1.3115864389844936e-05,5.744321991363825e-10,2.5051837301490133e-05,6.218280657524286e-22,1.5418340486846549e-10
obsese_adults_%,0.15215512283883542,0.20949251696311705,0.07719380288727544,0.5120811654337789,0.5847728454330496,0.11874605237441402,0.0990082089809903,0.5172118617172055,7.779667708307538e-05,0.0,0.0024171536311400586,5.43813146816571e-20,0.02979870051312489,2.8937307717998977e-11,1.962388745230369e-30,6.667799728925014e-19,0.02205886415661294,0.6028754718582234,0.00209225011271905,0.0013597621601681706,9.912979963404468e-62,0.9540422286035899,0.9329921102959041,1.5833285388629743e-05,0.0011144410292863688,0.06659385186546928,0.0014088352002762806,0.11619441422556218,1.4108203793779796e-06,0.32068223499844895,0.31778439292182004,0.006952081987602392,0.01653748139816178,0.22539958885052477,0.011018808470888543,0.010764470189628278,1.2778778703577969e-11,0.09449975783867771
