Town,Health Score
Aquinnah,0.0
Weston,0.12
Wellesley,0.24
Chilmark,0.28
Dover,0.29
Rockport,0.3
Winchester,0.33
West Newbury,0.35
Nantucket,0.36
Cambridge,0.39
Brookline,0.46
West Tisbury,0.48
Lynnfield,0.5
Westwood,0.51
Lincoln,0.54
Nahant,0.54
Hamilton,0.55
Manchester-by-the-Sea,0.55
Newton,0.55
Sudbury,0.55
Boxford,0.56
Cohasset,0.56
Medfield,0.56
Sherborn,0.56
Tyringham,0.59
Wenham,0.59
Boxborough,0.6
Concord,0.6
Truro,0.6
Carlisle,0.61
Marblehead,0.61
Belmont,0.64
Harvard,0.64
Burlington,0.65
Andover,0.66
Ashland,0.66
Bedford,0.66
Bolton,0.66
Lexington,0.66
Duxbury,0.67
Gosnold,0.67
Hopkinton,0.67
Norwell,0.67
Wayland,0.67
Edgartown,0.68
Chatham,0.69
Millis,0.69
Needham,0.69
Alford,0.7
Marion,0.7
Provincetown,0.7
Sharon,0.7
Topsfield,0.7
Acton,0.71
Orleans,0.71
Rowley,0.71
Scituate,0.71
Stow,0.71
Arlington,0.72
Essex,0.72
Hingham,0.72
Mattapoisett,0.72
Southborough,0.73
Westford,0.73
North Andover,0.74
Dunstable,0.75
Peabody,0.75
Reading,0.75
Sterling,0.75
Gloucester,0.76
Goshen,0.76
Milton,0.76
Tisbury,0.76
Mansfield,0.77
Middleton,0.77
Newbury,0.77
Sutton,0.77
Waltham,0.77
Chelmsford,0.78
Georgetown,0.78
Granville,0.78
Hanover,0.78
Melrose,0.78
Merrimac,0.78
North Reading,0.78
Seekonk,0.78
Tewksbury,0.78
Tyngsborough,0.78
Watertown,0.78
Amherst,0.79
Berlin,0.79
Danvers,0.79
Framingham,0.79
Marlborough,0.79
Medway,0.79
Mendon,0.79
North Attleborough,0.79
Northborough,0.79
Stoneham,0.79
Upton,0.79
Walpole,0.79
West Bridgewater,0.79
Canton,0.8
Dedham,0.8
Hanson,0.8
Littleton,0.8
Longmeadow,0.8
Marshfield,0.8
Natick,0.8
Somerville,0.8
Southampton,0.8
Westborough,0.8
Beverly,0.81
Franklin,0.81
Groveland,0.81
Holliston,0.81
Ipswich,0.81
Medford,0.81
Quincy,0.81
Townsend,0.81
Avon,0.82
Boston,0.82
Granby,0.82
Groton,0.82
Hopedale,0.82
Plainville,0.82
Wakefield,0.82
Winthrop,0.82
Wrentham,0.82
Bellingham,0.83
Braintree,0.83
Bridgewater,0.83
Deerfield,0.83
Dighton,0.83
Falmouth,0.83
Foxborough,0.83
Lenox,0.83
New Braintree,0.83
Norwood,0.83
Oak Bluffs,0.83
Pelham,0.83
Princeton,0.83
Tolland,0.83
Uxbridge,0.83
Wellfleet,0.83
Woburn,0.83
Billerica,0.84
Brewster,0.84
Eastham,0.84
Leverett,0.84
Malden,0.84
Middleborough,0.84
Monterey,0.84
Norfolk,0.84
Pepperell,0.84
Plympton,0.84
Randolph,0.84
Rehoboth,0.84
Salem,0.84
Sandwich,0.84
Williamstown,0.84
Dracut,0.85
Halifax,0.85
Newburyport,0.85
Plymouth,0.85
Richmond,0.85
Rockland,0.85
Rutland,0.85
Shrewsbury,0.85
Stoughton,0.85
Whitman,0.85
Abington,0.86
Amesbury,0.86
Ashby,0.86
Barre,0.86
Blandford,0.86
Bourne,0.86
Dennis,0.86
Douglas,0.86
Freetown,0.86
Kingston,0.86
Montgomery,0.86
Revere,0.86
Rochester,0.86
Stockbridge,0.86
West Boylston,0.86
Ayer,0.87
Barnstable,0.87
Boylston,0.87
Carver,0.87
Chelsea,0.87
East Bridgewater,0.87
Easton,0.87
Egremont,0.87
Hadley,0.87
Harwich,0.87
