Town,Health Score
Lawrence,0.0
Springfield,0.05
Holyoke,0.08
New Bedford,0.11
Chelsea,0.12
Fall River,0.16
Lynn,0.18
Brockton,0.22
Southbridge,0.22
Lowell,0.23
Fitchburg,0.24
North Adams,0.25
Worcester,0.25
Everett,0.26
Revere,0.28
Webster,0.33
Gardner,0.34
Pittsfield,0.34
Wendell,0.34
Chicopee,0.35
Orange,0.35
Montague,0.37
Taunton,0.37
West Springfield,0.37
Malden,0.38
Ware,0.38
Boston,0.39
Greenfield,0.39
Salem,0.39
Wareham,0.4
Athol,0.41
Haverhill,0.41
Leominster,0.41
Palmer,0.41
Randolph,0.41
Adams,0.43
Warren,0.43
Winchendon,0.43
Charlemont,0.45
Salisbury,0.45
Erving,0.46
Fairhaven,0.47
Heath,0.47
Huntington,0.47
Provincetown,0.47
Spencer,0.47
Wales,0.47
Aquinnah,0.48
Attleboro,0.48
Clarksburg,0.48
Great Barrington,0.48
Methuen,0.48
Peabody,0.48
Westfield,0.48
Avon,0.49
Clinton,0.49
Holbrook,0.49
Marlborough,0.49
Quincy,0.49
Saugus,0.49
Amherst,0.5
Cheshire,0.5
Dalton,0.5
Florida,0.5
Oxford,0.5
Rockland,0.5
Royalston,0.5
Winthrop,0.5
Yarmouth,0.5
Barnstable,0.51
Colrain,0.51
Dennis,0.51
Framingham,0.51
Hardwick,0.51
Monroe,0.51
Phillipston,0.51
Savoy,0.51
Acushnet,0.52
North Brookfield,0.52
Shirley,0.52
Warwick,0.52
Weymouth,0.52
Whitman,0.52
Agawam,0.53
Blandford,0.53
Chester,0.53
Cummington,0.53
Dudley,0.53
Easthampton,0.53
Gloucester,0.53
Ludlow,0.53
Middleborough,0.53
Millbury,0.53
Northbridge,0.53
Somerset,0.53
Abington,0.54
Bourne,0.54
Falmouth,0.54
Lee,0.54
Milford,0.54
Somerville,0.54
Ayer,0.55
Carver,0.55
Halifax,0.55
Otis,0.55
Tisbury,0.55
Wellfleet,0.55
West Brookfield,0.55
Holland,0.56
Hull,0.56
Stoughton,0.56
Sunderland,0.56
Waltham,0.56
Beverly,0.57
Blackstone,0.57
Bridgewater,0.57
Brookfield,0.57
Dartmouth,0.57
Eastham,0.57
Lanesborough,0.57
Millville,0.57
Rowe,0.57
Russell,0.57
Sheffield,0.57
Swansea,0.57
Amesbury,0.58
Dracut,0.58
East Bridgewater,0.58
Mashpee,0.58
Monson,0.58
Oak Bluffs,0.58
Plainfield,0.58
Plymouth,0.58
West Bridgewater,0.58
Woburn,0.58
Buckland,0.59
Chesterfield,0.59
Danvers,0.59
Freetown,0.59
Lancaster,0.59
Leicester,0.59
Medford,0.59
Northampton,0.59
Templeton,0.59
Williamstown,0.59
Bernardston,0.6
East Brookfield,0.6
Hudson,0.6
Norwood,0.6
Peru,0.6
Raynham,0.6
South Hadley,0.6
West Boylston,0.6
Auburn,0.61
Bellingham,0.61
Berkley,0.61
Brimfield,0.61
Nantucket,0.61
North Attleborough,0.61
Plainville,0.61
Sandisfield,0.61
Southwick,0.61
Uxbridge,0.61
Williamsburg,0.61
Braintree,0.62
Charlton,0.62
Dighton,0.62
East Longmeadow,0.62
Gill,0.62
Hinsdale,0.62
Kingston,0.62
New Salem,0.62
Plympton,0.62
Truro,0.62
Barre,0.63
Becket,0.63
Billerica,0.63
Hadley,0.63
Hanson,0.63
Montgomery,0.63
Dedham,0.64
Granville,0.64
Groveland,0.64
Harwich,0.64
Merrimac,0.64
Northfield,0.64
Tewksbury,0.64
Townsend,0.64
Belchertown,0.65
Egremont,0.65
Hopedale,0.65
Hubbardston,0.65
Lakeville,0.65
Middleton,0.65
Orleans,0.65
Pembroke,0.65
Pepperell,0.65
Petersham,0.65
Shelburne,0.65
Stoneham,0.65
Westhampton,0.65
Westport,0.65
Windsor,0.65
Douglas,0.66
Edgartown,0.66
Essex,0.66
Granby,0.66
Hatfield,0.66
Lunenburg,0.66
Marshfield,0.66
Maynard,0.66
Millis,0.66
Norton,0.66
Oakham,0.66
Rowley,0.66
Seekonk,0.66
Wakefield,0.66
Cambridge,0.67
Easton,0.67
Foxborough,0.67
Hampden,0.67
Lenox,0.67
Mattapoisett,0.67
Sandwich,0.67
Southampton,0.67
Sterling,0.67
Sturbridge,0.67
Watertown,0.67
Whately,0.67
Ashburnham,0.68
Chatham,0.68
Chilmark,0.68
Deerfield,0.68
Hancock,0.68
New Braintree,0.68
Rockport,0.68
Wilmington,0.68
Worthington,0.68
Ashby,0.69
Ashfield,0.69
Brewster,0.69
Burlington,0.69
Goshen,0.69
Grafton,0.69
Ipswich,0.69
Mount Washington,0.69
Paxton,0.69
Swampscott,0.69
Tyngsborough,0.69
Wilbraham,0.69
Hanover,0.7
Rehoboth,0.7
Rutland,0.7
West Stockbridge,0.7
Westminster,0.7
Hawley,0.71
Mansfield,0.71
Marion,0.71
Melrose,0.71
Monterey,0.71
Nahant,0.71
New Ashford,0.71
New Marlborough,0.71
Rochester,0.71
Shutesbury,0.71
Tolland,0.71
Canton,0.72
Chelmsford,0.72
Shrewsbury,0.72
Stockbridge,0.72
Sutton,0.72
Franklin,0.73
Newburyport,0.73
North Andover,0.73
Walpole,0.73
Berlin,0.74
Georgetown,0.74
Holden,0.74
Leyden,0.74
Upton,0.74
Westborough,0.74
Wrentham,0.74
Boylston,0.75
Littleton,0.75
Medway,0.75
Mendon,0.75
Northborough,0.75
Arlington,0.76
Ashland,0.76
Natick,0.76
Wenham,0.76
West Tisbury,0.76
Hamilton,0.77
Milton,0.77
North Reading,0.77
Scituate,0.77
Tyringham,0.77
Longmeadow,0.78
Lynnfield,0.78
Pelham,0.78
Reading,0.78
Topsfield,0.78
Washington,0.78
Conway,0.79
Holliston,0.79
Manchester-by-the-Sea,0.79
Newbury,0.79
Brookline,0.8
Leverett,0.8
Marblehead,0.8
Norfolk,0.8
Norwell,0.8
Richmond,0.8
Bedford,0.81
Belmont,0.81
Cohasset,0.81
Duxbury,0.81
Stow,0.81
Boxborough,0.82
Groton,0.82
Hingham,0.82
Southborough,0.82
Acton,0.83
Andover,0.84
Harvard,0.84
Middlefield,0.84
Princeton,0.84
West Newbury,0.84
Boxford,0.85
Dunstable,0.85
Westford,0.85
Newton,0.86
Sharon,0.86
Westwood,0.87
Hopkinton,0.88
Needham,0.88
Bolton,0.89
Concord,0.89
Lincoln,0.89
Alford,0.9
