Town,Health Score
Templeton,0.0
Cheshire,0.02
Florida,0.02
Hawley,0.02
Monroe,0.02
New Salem,0.02
Orange,0.02
Athol,0.03
Clarksburg,0.04
Erving,0.04
Peru,0.04
Savoy,0.04
Springfield,0.04
Wales,0.04
Wendell,0.04
Auburn,0.05
Charlemont,0.05
Chester,0.05
Colrain,0.05
Fitchburg,0.05
North Adams,0.05
Pittsfield,0.05
Rowe,0.05
Royalston,0.05
Russell,0.05
Becket,0.06
Greenfield,0.06
Holyoke,0.06
Northfield,0.06
Phillipston,0.06
Warwick,0.06
Windsor,0.06
Adams,0.07
Ashfield,0.07
Berkley,0.07
Brookfield,0.07
Dalton,0.07
Easthampton,0.07
Fairhaven,0.07
Gill,0.07
Heath,0.07
Holland,0.07
Lanesborough,0.07
Lawrence,0.07
New Bedford,0.07
Norton,0.07
Palmer,0.07
Southbridge,0.07
Spencer,0.07
Ware,0.07
Whately,0.07
Winchendon,0.07
Attleboro,0.08
Brimfield,0.08
Buckland,0.08
Chesterfield,0.08
Chicopee,0.08
Gardner,0.08
Great Barrington,0.08
Hancock,0.08
Hinsdale,0.08
Hubbardston,0.08
Lee,0.08
Ludlow,0.08
Middlefield,0.08
Montague,0.08
Oakham,0.08
Oxford,0.08
Shelburne,0.08
Somerset,0.08
Southwick,0.08
Wareham,0.08
West Brookfield,0.08
West Springfield,0.08
Worcester,0.08
Worthington,0.08
Acushnet,0.09
Agawam,0.09
Blackstone,0.09
Brockton,0.09
Cummington,0.09
Dudley,0.09
East Longmeadow,0.09
Lakeville,0.09
Lancaster,0.09
Leyden,0.09
Millville,0.09
Monson,0.09
Mount Washington,0.09
New Ashford,0.09
New Marlborough,0.09
Plainfield,0.09
Saugus,0.09
Warren,0.09
Westhampton,0.09
Wilbraham,0.09
Conway,0.1
Everett,0.1
Fall River,0.1
Grafton,0.1
Holbrook,0.1
Holden,0.1
Leicester,0.1
Lowell,0.1
North Brookfield,0.1
Otis,0.1
Petersham,0.1
Salisbury,0.1
Sandisfield,0.1
Shirley,0.1
South Hadley,0.1
Swansea,0.1
Ashburnham,0.11
Bernardston,0.11
Charlton,0.11
East Brookfield,0.11
Huntington,0.11
Leominster,0.11
Lunenburg,0.11
Lynn,0.11
Maynard,0.11
Northampton,0.11
Northbridge,0.11
Sturbridge,0.11
Taunton,0.11
Williamsburg,0.11
Yarmouth,0.11
Belchertown,0.12
Boylston,0.12
Carver,0.12
Clinton,0.12
Dartmouth,0.12
Hampden,0.12
Hardwick,0.12
Haverhill,0.12
Milford,0.12
Millbury,0.12
Paxton,0.12
Raynham,0.12
Swampscott,0.12
Westfield,0.12
Westminster,0.12
Westport,0.12
Wilmington,0.12
Ayer,0.13
Barnstable,0.13
Bourne,0.13
Chelsea,0.13
East Bridgewater,0.13
Easton,0.13
Egremont,0.13
Freetown,0.13
Hadley,0.13
Harwich,0.13
Hatfield,0.13
Hudson,0.13
Hull,0.13
Mashpee,0.13
Methuen,0.13
Pembroke,0.13
Sheffield,0.13
Shutesbury,0.13
Sunderland,0.13
Washington,0.13
West Stockbridge,0.13
Weymouth,0.13
Abington,0.14
Amesbury,0.14
Ashby,0.14
Barre,0.14
Blandford,0.14
Douglas,0.14
Kingston,0.14
Montgomery,0.14
Plymouth,0.14
Revere,0.14
Richmond,0.14
Rochester,0.14
Stockbridge,0.14
Stoughton,0.14
Webster,0.14
West Boylston,0.14
Billerica,0.15
Dennis,0.15
Dracut,0.15
Halifax,0.15
Newburyport,0.15
Norfolk,0.15
Rehoboth,0.15
Rockland,0.15
Rutland,0.15
Shrewsbury,0.15
Whitman,0.15
Brewster,0.16
Bridgewater,0.16
Eastham,0.16
Leverett,0.16
Malden,0.16
Middleborough,0.16
Pepperell,0.16
Plympton,0.16
Princeton,0.16
Randolph,0.16
Salem,0.16
Sandwich,0.16
Williamstown,0.16
Bellingham,0.17
Braintree,0.17
Deerfield,0.17
Dighton,0.17
Falmouth,0.17
Foxborough,0.17
Groton,0.17
Lenox,0.17
Monterey,0.17
New Braintree,0.17
Norwood,0.17
Oak Bluffs,0.17
Pelham,0.17
Tolland,0.17
Uxbridge,0.17
Wakefield,0.17
Wellfleet,0.17
Woburn,0.17
Wrentham,0.17
Avon,0.18
Boston,0.18
Franklin,0.18
Granby,0.18
Holliston,0.18
Hopedale,0.18
Ipswich,0.18
Plainville,0.18
Winthrop,0.18
Beverly,0.19
Groveland,0.19
Littleton,0.19
Longmeadow,0.19
Medford,0.19
Natick,0.19
Quincy,0.19
Townsend,0.19
Canton,0.2
Danvers,0.2
Dedham,0.2
Hanson,0.2
Marshfield,0.2
Mendon,0.2
Somerville,0.2
Southampton,0.2
Westborough,0.2
Amherst,0.21
Berlin,0.21
Chelmsford,0.21
Framingham,0.21
Marlborough,0.21
Medway,0.21
North Attleborough,0.21
Northborough,0.21
Stoneham,0.21
Upton,0.21
Walpole,0.21
Watertown,0.21
West Bridgewater,0.21
Georgetown,0.22
Granville,0.22
Hanover,0.22
Melrose,0.22
Merrimac,0.22
North Reading,0.22
Seekonk,0.22
Sutton,0.22
Tewksbury,0.22
Tyngsborough,0.22
Waltham,0.22
Mansfield,0.23
Middleton,0.23
Newbury,0.23
Dunstable,0.24
Gloucester,0.24
Goshen,0.24
Milton,0.24
Reading,0.24
Peabody,0.25
Sterling,0.25
Tisbury,0.25
North Andover,0.26
Southborough,0.26
Westford,0.26
Arlington,0.27
Essex,0.28
Hingham,0.28
Mattapoisett,0.28
Rowley,0.28
Stow,0.28
Acton,0.29
Orleans,0.29
Scituate,0.29
Sharon,0.29
Topsfield,0.29
Alford,0.3
Marion,0.3
Millis,0.3
Needham,0.3
Provincetown,0.3
Chatham,0.31
Duxbury,0.32
Edgartown,0.32
Gosnold,0.32
Hopkinton,0.32
Norwell,0.32
Wayland,0.32
Andover,0.33
Ashland,0.33
Bedford,0.33
Bolton,0.33
Lexington,0.33
Burlington,0.35
Belmont,0.36
Harvard,0.36
Carlisle,0.38
Boxborough,0.39
Concord,0.39
Marblehead,0.39
Truro,0.4
Tyringham,0.4
Wenham,0.41
Boxford,0.43
Cohasset,0.43
Medfield,0.43
Sherborn,0.43
Hamilton,0.44
Manchester-by-the-Sea,0.44
Newton,0.44
Sudbury,0.44
Lincoln,0.45
Nahant,0.46
Westwood,0.48
Lynnfield,0.5
West Tisbury,0.52
Brookline,0.54
Cambridge,0.6
Nantucket,0.64
West Newbury,0.65
Winchester,0.66
Dover,0.69
Rockport,0.7
Chilmark,0.72
Wellesley,0.75
Weston,0.86
Aquinnah,1.0
