Town,Health Score
Middlefield,0.0
Gosnold,0.17
Alford,0.2
Tyringham,0.23
Carlisle,0.24
Leverett,0.24
Weston,0.25
Mount Washington,0.26
Sherborn,0.26
Dover,0.28
Wayland,0.28
New Braintree,0.29
Washington,0.29
Chilmark,0.3
Lexington,0.3
Sudbury,0.3
Lincoln,0.31
Monterey,0.31
Richmond,0.31
Stockbridge,0.31
Dunstable,0.32
Leyden,0.32
West Newbury,0.32
West Tisbury,0.32
Concord,0.33
Conway,0.33
Medfield,0.33
New Ashford,0.33
Pelham,0.33
Princeton,0.33
Petersham,0.34
Tolland,0.34
Wellesley,0.34
Ashfield,0.35
Boxford,0.35
Hancock,0.35
Hawley,0.35
Hopkinton,0.35
New Marlborough,0.35
Shutesbury,0.35
West Stockbridge,0.35
Goshen,0.36
Bolton,0.37
Harvard,0.37
Manchester-by-the-Sea,0.37
Needham,0.37
Newton,0.37
Rowe,0.37
Sandisfield,0.37
Winchester,0.37
Newbury,0.38
Sharon,0.38
Westford,0.38
Andover,0.39
Ashby,0.39
Bedford,0.39
Duxbury,0.39
Groton,0.39
Westwood,0.39
Granville,0.4
Hamilton,0.4
Norfolk,0.41
Rockport,0.41
Stow,0.41
Worthington,0.41
Belmont,0.42
Berlin,0.42
Boylston,0.42
Heath,0.42
Hingham,0.42
Marblehead,0.42
New Salem,0.42
Southborough,0.42
Whately,0.42
Acton,0.43
Boxborough,0.43
Brookline,0.43
Cohasset,0.43
Hatfield,0.43
Lenox,0.43
Longmeadow,0.43
Orleans,0.43
Peru,0.43
Reading,0.43
Rutland,0.43
Scituate,0.43
Shelburne,0.43
Sutton,0.43
Topsfield,0.43
Truro,0.43
Upton,0.43
Westhampton,0.43
Becket,0.44
Deerfield,0.44
Holliston,0.44
Mendon,0.44
Northfield,0.44
Oakham,0.44
Paxton,0.44
Plainfield,0.44
Rehoboth,0.44
Brewster,0.45
Georgetown,0.45
Holden,0.45
Ipswich,0.45
Littleton,0.45
Lynnfield,0.45
Milton,0.45
Nahant,0.45
North Reading,0.45
Northborough,0.45
Savoy,0.45
Seekonk,0.45
Arlington,0.46
Ashburnham,0.46
Chatham,0.46
Gill,0.46
Marion,0.46
Newburyport,0.46
Rochester,0.46
Wenham,0.46
Westminster,0.46
Ashland,0.47
Douglas,0.47
Hinsdale,0.47
Mattapoisett,0.47
Montgomery,0.47
Natick,0.47
North Andover,0.47
Sterling,0.47
Sturbridge,0.47
Wrentham,0.47
Barre,0.48
Edgartown,0.48
Egremont,0.48
Franklin,0.48
Granby,0.48
Hampden,0.48
Monroe,0.48
Rowley,0.48
Sandwich,0.48
Shrewsbury,0.48
Southampton,0.48
West Boylston,0.48
Westport,0.48
Wilbraham,0.48
Windsor,0.48
Buckland,0.49
Canton,0.49
Florida,0.49
Lunenburg,0.49
Medway,0.49
Melrose,0.49
Norwell,0.49
Tyngsborough,0.49
Walpole,0.49
Williamsburg,0.49
Belchertown,0.5
Bernardston,0.5
Brimfield,0.5
Burlington,0.5
Chelmsford,0.5
Colrain,0.5
East Brookfield,0.5
Foxborough,0.5
Hanover,0.5
Hubbardston,0.5
Lakeville,0.5
Mansfield,0.5
Marshfield,0.5
Maynard,0.5
Nantucket,0.5
Southwick,0.5
Swampscott,0.5
Westborough,0.5
Chesterfield,0.51
Grafton,0.51
Norton,0.51
Townsend,0.51
Watertown,0.51
Wellfleet,0.51
Wilmington,0.51
Aquinnah,0.52
Blandford,0.52
Brookfield,0.52
Leicester,0.52
Russell,0.52
Cambridge,0.53
Dighton,0.53
Hadley,0.53
Merrimac,0.53
Sheffield,0.53
South Hadley,0.53
Sunderland,0.53
Uxbridge,0.53
Williamstown,0.53
Berkley,0.54
Chester,0.54
East Longmeadow,0.54
Easton,0.54
Groveland,0.54
Harwich,0.54
Middleton,0.54
North Attleborough,0.54
Pepperell,0.54
Plympton,0.54
Royalston,0.54
Stoneham,0.54
Amherst,0.55
Billerica,0.55
Charlemont,0.55
Cummington,0.55
Eastham,0.55
Essex,0.55
Hanson,0.55
Holland,0.55
Lancaster,0.55
Millville,0.55
Monson,0.55
North Brookfield,0.55
Northampton,0.55
Pembroke,0.55
Plainville,0.55
Templeton,0.55
Wakefield,0.55
Auburn,0.56
Bellingham,0.56
Blackstone,0.56
Charlton,0.56
Dedham,0.56
Hopedale,0.56
Hudson,0.56
Millis,0.56
Otis,0.56
Tewksbury,0.56
Bridgewater,0.57
Easthampton,0.57
Freetown,0.57
Kingston,0.57
Lanesborough,0.57
Lee,0.57
Mashpee,0.57
Norwood,0.57
Oak Bluffs,0.57
Phillipston,0.57
Plymouth,0.57
Swansea,0.57
Wales,0.57
Braintree,0.58
Cheshire,0.58
Clarksburg,0.58
Dartmouth,0.58
East Bridgewater,0.58
Hardwick,0.58
Huntington,0.58
Ludlow,0.58
Raynham,0.58
Shirley,0.58
Beverly,0.59
Dalton,0.59
Danvers,0.59
Dennis,0.59
Dracut,0.59
Erving,0.59
Medford,0.59
Waltham,0.59
Warwick,0.59
West Brookfield,0.59
Woburn,0.59
Amesbury,0.6
Gloucester,0.6
Somerset,0.6
Stoughton,0.6
Tisbury,0.6
Warren,0.6
Agawam,0.61
Ayer,0.61
Dudley,0.61
Oxford,0.61
Spencer,0.61
Acushnet,0.62
Bourne,0.62
Carver,0.62
Falmouth,0.62
Hull,0.62
Middleborough,0.62
Milford,0.62
Northbridge,0.63
Wendell,0.63
West Bridgewater,0.63
Westfield,0.63
Adams,0.64
Barnstable,0.64
Clinton,0.64
Halifax,0.64
Whitman,0.64
Abington,0.65
Athol,0.65
Framingham,0.65
Peabody,0.65
Somerville,0.65
Yarmouth,0.65
Attleboro,0.66
Avon,0.66
Millbury,0.66
Rockland,0.66
Great Barrington,0.67
Methuen,0.67
Provincetown,0.67
Salisbury,0.67
Weymouth,0.67
Winchendon,0.67
Winthrop,0.67
Fairhaven,0.68
Marlborough,0.68
Saugus,0.68
Holbrook,0.69
Montague,0.69
Orange,0.69
Greenfield,0.7
Ware,0.7
Quincy,0.71
Gardner,0.72
Leominster,0.72
Chicopee,0.73
Palmer,0.73
Randolph,0.73
Salem,0.73
Taunton,0.73
Haverhill,0.74
Wareham,0.74
