index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Abington,0.79,0.43,0.32,0.43,0.45,0.06,0.17,0.86,0.44
Acton,0.85,0.47,0.18,0.42,0.64,0.22,0.31,0.89,0.5
Acushnet,0.96,0.65,0.23,0.44,0.48,0.0,0.12,0.88,0.47
Adams,0.94,0.53,0.19,0.45,0.41,0.0,0.1,0.87,0.44
Agawam,0.96,0.5,0.2,0.42,0.62,0.1,0.12,0.88,0.48
Alford,0.78,0.97,0.05,0.67,0.77,0.0,0.27,0.87,0.55
Amesbury,0.92,0.48,0.31,0.43,0.57,0.11,0.17,0.86,0.48
Amherst,0.52,0.41,0.1,0.41,0.11,0.1,0.24,0.88,0.35
Andover,0.84,0.45,0.19,0.44,0.6,0.25,0.35,0.86,0.5
Aquinnah,0.73,0.88,0.12,0.49,0.28,0.07,1.0,0.85,0.55
Arlington,0.55,0.46,0.41,0.44,0.68,0.0,0.3,0.88,0.46
Ashburnham,0.93,0.89,0.13,0.43,0.42,0.14,0.14,0.88,0.5
Ashby,0.95,0.89,0.19,0.86,0.44,0.05,0.17,0.82,0.55
Ashfield,0.89,0.96,0.28,0.09,0.81,0.0,0.11,1.0,0.52
Ashland,0.85,0.47,0.43,0.43,0.69,0.0,0.36,0.89,0.51
Athol,0.94,0.95,0.28,0.43,0.15,0.14,0.07,0.83,0.47
Attleboro,0.87,0.46,0.32,0.42,0.4,0.13,0.11,0.86,0.45
Auburn,0.96,0.5,0.25,0.43,0.47,0.15,0.09,0.84,0.46
Avon,0.85,0.45,0.62,0.46,0.62,0.32,0.17,0.86,0.54
Ayer,0.91,0.48,0.21,0.6,0.61,0.07,0.16,0.85,0.49
Barnstable,0.92,0.5,0.16,0.44,0.53,0.04,0.17,0.8,0.44
Barre,0.92,0.94,0.13,0.58,0.57,0.33,0.18,0.84,0.56
Becket,0.97,0.96,0.27,0.59,0.3,0.05,0.1,0.89,0.52
Bedford,0.89,0.46,0.28,0.44,0.57,0.0,0.36,0.89,0.49
Belchertown,0.96,0.75,0.28,0.42,0.59,0.31,0.15,0.87,0.54
Bellingham,0.92,0.49,0.17,0.42,0.5,0.08,0.2,0.84,0.45
Belmont,0.63,0.45,0.19,0.45,0.6,0.12,0.38,0.89,0.46
Berkley,0.97,0.73,0.15,0.45,0.69,0.32,0.1,0.88,0.54
Berlin,0.95,0.79,0.13,0.49,0.78,0.0,0.26,0.85,0.53
Bernardston,0.96,0.96,0.2,0.52,0.61,0.0,0.15,0.89,0.54
Beverly,0.75,0.47,0.27,0.43,0.52,0.14,0.22,0.88,0.46
Billerica,0.91,0.47,0.26,0.42,0.56,0.24,0.18,0.84,0.49
Blackstone,0.98,0.5,0.48,0.42,0.49,0.15,0.13,0.87,0.5
Blandford,0.93,0.95,0.28,0.0,0.29,0.06,0.17,0.78,0.43
