index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Abington,0.88,0.57,0.21,0.72,0.47,0.74,0.6,0.86,0.63
Acton,0.94,0.43,0.35,0.6,0.86,0.62,0.54,0.89,0.65
Acushnet,0.97,0.69,0.23,0.66,0.34,0.85,0.58,0.88,0.65
Adams,0.92,0.67,0.31,0.65,0.25,0.81,0.64,0.87,0.64
Agawam,0.93,0.64,0.34,0.61,0.37,0.64,0.55,0.88,0.62
Alford,0.78,0.78,0.64,0.84,0.72,0.9,0.18,0.87,0.71
Amesbury,0.87,0.62,0.2,0.61,0.58,0.66,0.62,0.86,0.63
Amherst,0.54,0.54,0.86,0.61,0.33,0.68,1.0,0.88,0.68
Andover,0.87,0.52,0.53,0.56,0.86,0.63,0.35,0.86,0.65
Aquinnah,0.82,0.33,0.77,0.85,0.43,0.81,0.18,0.85,0.63
Arlington,0.65,0.5,0.37,0.62,0.84,0.8,0.49,0.88,0.64
Ashburnham,0.91,0.61,0.17,0.62,0.57,0.81,0.49,0.88,0.63
Ashby,0.98,0.66,0.13,0.27,0.33,0.88,0.2,0.82,0.53
Ashfield,0.89,0.69,0.35,0.69,0.45,0.88,0.53,1.0,0.68
Ashland,0.91,0.53,0.25,0.62,0.73,0.79,0.34,0.89,0.63
Athol,0.9,0.66,0.33,0.74,0.27,0.71,0.53,0.83,0.62
Attleboro,0.88,0.53,0.35,0.73,0.42,0.62,0.55,0.86,0.62
Auburn,0.98,0.66,0.31,0.69,0.53,0.63,0.42,0.84,0.63
Avon,0.93,0.54,0.15,0.56,0.34,0.36,0.61,0.86,0.54
Ayer,0.87,0.55,0.3,0.0,0.65,0.7,0.25,0.85,0.52
Barnstable,0.91,0.65,0.58,0.64,0.33,0.48,0.71,0.8,0.64
Barre,0.91,0.63,0.36,0.57,0.2,0.57,0.31,0.84,0.55
Becket,0.98,0.7,0.26,0.37,0.25,0.84,0.45,0.89,0.59
Bedford,0.89,0.5,0.19,0.54,0.91,0.71,0.45,0.89,0.64
Belchertown,0.92,0.6,0.36,0.69,0.51,0.44,0.33,0.87,0.59
Bellingham,0.92,0.59,0.46,0.67,0.39,0.77,0.41,0.84,0.63
Belmont,0.73,0.48,0.55,0.66,0.89,0.76,0.61,0.89,0.7
Berkley,0.96,0.62,0.22,0.61,0.46,0.78,0.3,0.88,0.6
Berlin,0.92,0.73,0.52,0.5,0.61,0.79,0.39,0.85,0.66
Bernardston,0.88,0.72,0.38,0.33,0.36,0.89,0.51,0.89,0.62
Beverly,0.83,0.64,0.67,0.66,0.51,0.63,0.69,0.88,0.69
