Town,Health Score
Plympton,0.0
Nahant,0.23
Winchendon,0.28
Everett,0.32
West Springfield,0.33
Whitman,0.33
Chatham,0.36
Leicester,0.36
Montague,0.38
Salisbury,0.38
Hampden,0.4
Merrimac,0.4
Brockton,0.42
Berkley,0.43
Freetown,0.43
Lanesborough,0.43
Agawam,0.44
Essex,0.44
Templeton,0.45
Ayer,0.46
Ashby,0.47
Fitchburg,0.48
Holbrook,0.48
Manchester-by-the-Sea,0.48
Millbury,0.48
South Hadley,0.49
Chelsea,0.5
Framingham,0.5
Groveland,0.5
Springfield,0.5
Tewksbury,0.5
Avon,0.51
Braintree,0.51
Brimfield,0.51
Great Barrington,0.51
Malden,0.51
New Bedford,0.51
Holyoke,0.52
Hull,0.53
Stoneham,0.53
Ludlow,0.54
Marlborough,0.54
Middleton,0.54
Millis,0.54
Clinton,0.55
Fall River,0.55
Hanson,0.55
Kingston,0.55
Sunderland,0.55
Warren,0.55
Abington,0.56
Fairhaven,0.56
Lowell,0.56
Lynn,0.56
Pittsfield,0.56
Quincy,0.56
Sutton,0.56
Watertown,0.56
Winthrop,0.56
Woburn,0.56
Middleborough,0.57
Lawrence,0.58
Oak Bluffs,0.58
Princeton,0.58
Taunton,0.58
Westfield,0.58
Worcester,0.58
North Brookfield,0.59
Randolph,0.59
Stoughton,0.59
Granby,0.6
Peabody,0.6
Dracut,0.61
Edgartown,0.61
Greenfield,0.61
Leominster,0.61
Monson,0.61
Southborough,0.61
Bridgewater,0.62
Chicopee,0.62
Swampscott,0.62
Charlton,0.63
Franklin,0.63
Lenox,0.63
Marion,0.63
Methuen,0.63
Raynham,0.63
Rochester,0.63
Boston,0.64
Chelmsford,0.64
Dedham,0.64
Holliston,0.64
Marshfield,0.64
North Andover,0.64
North Reading,0.64
Saugus,0.64
Somerville,0.64
Waltham,0.64
Hopedale,0.65
Hopkinton,0.65
Norwood,0.65
Palmer,0.65
Attleboro,0.66
East Bridgewater,0.66
Wakefield,0.66
Westport,0.66
Wrentham,0.66
Dalton,0.67
Hadley,0.67
Southbridge,0.67
Wareham,0.67
Wendell,0.67
West Bridgewater,0.67
Barnstable,0.68
Dartmouth,0.68
Medford,0.68
Seekonk,0.68
Adams,0.69
Canton,0.69
Eastham,0.69
Hamilton,0.69
Mendon,0.69
North Adams,0.69
Northbridge,0.69
Norton,0.69
Ware,0.69
West Boylston,0.69
Billerica,0.7
Rowley,0.7
Bourne,0.71
Carver,0.71
Chester,0.71
Mashpee,0.71
Milton,0.71
Plainville,0.71
Wales,0.71
Windsor,0.71
Concord,0.72
Grafton,0.72
Milford,0.72
Westwood,0.72
Wilmington,0.72
Clarksburg,0.73
Erving,0.73
Foxborough,0.73
Gloucester,0.73
Hudson,0.73
Mattapoisett,0.73
Northampton,0.73
Revere,0.73
Spencer,0.73
Weymouth,0.73
Acushnet,0.74
Beverly,0.74
Easton,0.74
Georgetown,0.74
Huntington,0.74
Marblehead,0.74
Russell,0.74
Shrewsbury,0.74
Webster,0.74
Ashland,0.75
Groton,0.75
Haverhill,0.75
Hingham,0.75
Lunenburg,0.75
Swansea,0.75
Amesbury,0.76
Amherst,0.76
Cambridge,0.76
Danvers,0.76
Dennis,0.76
Medway,0.76
Newton,0.76
Pembroke,0.76
Plymouth,0.76
Stow,0.76
Sturbridge,0.76
Worthington,0.76
Chesterfield,0.77
Lancaster,0.77
Mansfield,0.77
Melrose,0.77
North Attleborough,0.77
Reading,0.77
Wayland,0.77
Athol,0.78
Egremont,0.78
Lakeville,0.78
Rockland,0.78
Uxbridge,0.78
Belchertown,0.79
Burlington,0.79
Norwell,0.79
Pelham,0.79
Salem,0.79
Winchester,0.79
Acton,0.8
Blandford,0.8
Brookfield,0.8
Cummington,0.8
Falmouth,0.8
Gill,0.8
Sterling,0.8
West Brookfield,0.8
Yarmouth,0.8
Needham,0.81
Phillipston,0.81
Provincetown,0.81
Scituate,0.81
Westborough,0.81
Dudley,0.82
Gardner,0.82
Hardwick,0.82
Shirley,0.82
Townsend,0.82
Tyngsborough,0.82
Warwick,0.82
Westford,0.82
Bellingham,0.83
Dighton,0.83
Easthampton,0.83
Halifax,0.83
Hanover,0.83
Harwich,0.83
Lincoln,0.83
Northborough,0.83
Oxford,0.83
Andover,0.84
Arlington,0.84
Brewster,0.84
Charlemont,0.84
Chilmark,0.84
Lee,0.84
Natick,0.84
Pepperell,0.84
Petersham,0.84
Ashfield,0.85
Becket,0.85
Cheshire,0.85
East Longmeadow,0.85
Lexington,0.85
Maynard,0.85
Tolland,0.85
Whately,0.85
Alford,0.86
Aquinnah,0.86
Auburn,0.86
Barre,0.86
Berlin,0.86
Blackstone,0.86
Colrain,0.86
Duxbury,0.86
Florida,0.86
Goshen,0.86
Gosnold,0.86
Hancock,0.86
Hawley,0.86
Holland,0.86
Ipswich,0.86
Leyden,0.86
Longmeadow,0.86
Lynnfield,0.86
Millville,0.86
Monroe,0.86
Monterey,0.86
Mount Washington,0.86
New Ashford,0.86
New Braintree,0.86
New Salem,0.86
Peru,0.86
Plainfield,0.86
Rehoboth,0.86
Rowe,0.86
Sandisfield,0.86
Savoy,0.86
Southampton,0.86
Tyringham,0.86
Washington,0.86
Wellesley,0.86
Belmont,0.87
Douglas,0.87
Dunstable,0.87
Richmond,0.87
Sheffield,0.87
Somerset,0.87
Southwick,0.87
Topsfield,0.87
Walpole,0.87
Bedford,0.88
Conway,0.88
East Brookfield,0.88
Granville,0.88
Hatfield,0.88
Hinsdale,0.88
Hubbardston,0.88
Middlefield,0.88
Northfield,0.88
Wellfleet,0.88
Holden,0.89
Leverett,0.89
Littleton,0.89
Orange,0.89
Otis,0.89
Rutland,0.89
Shelburne,0.89
Upton,0.89
Ashburnham,0.9
Boxborough,0.9
Brookline,0.9
Buckland,0.9
Harvard,0.9
Newburyport,0.9
Norfolk,0.9
Shutesbury,0.9
Wilbraham,0.9
Deerfield,0.91
New Marlborough,0.91
West Stockbridge,0.91
Westminster,0.91
Weston,0.91
Boylston,0.92
Cohasset,0.92
Nantucket,0.92
Newbury,0.92
Sandwich,0.92
Sharon,0.92
Stockbridge,0.92
Truro,0.92
Williamsburg,0.92
Williamstown,0.92
Dover,0.93
Orleans,0.93
Rockport,0.93
Sherborn,0.93
West Tisbury,0.93
Medfield,0.94
Oakham,0.94
Bolton,0.95
Carlisle,0.95
Paxton,0.95
Wenham,0.95
Bernardston,0.96
Royalston,0.96
Sudbury,0.96
Tisbury,0.97
West Newbury,0.97
Heath,0.98
Boxford,0.99
Westhampton,0.99
Montgomery,1.0
