Town,Health Score
Rowe,0.0
Monterey,0.28
Middlefield,0.3
Sandisfield,0.31
Tyringham,0.33
New Salem,0.36
Florida,0.38
Goshen,0.38
Leyden,0.4
Chilmark,0.41
Aquinnah,0.42
Charlemont,0.45
Monroe,0.45
New Braintree,0.45
Pelham,0.45
Plainfield,0.45
Alford,0.46
New Ashford,0.46
Erving,0.47
Heath,0.47
Richmond,0.47
Conway,0.48
Whately,0.48
Worthington,0.48
Peru,0.49
Shutesbury,0.49
Tolland,0.49
Ashfield,0.5
Savoy,0.5
Stockbridge,0.5
Washington,0.5
Windsor,0.5
Hancock,0.51
East Brookfield,0.52
New Marlborough,0.53
Petersham,0.53
West Tisbury,0.53
Chesterfield,0.54
Cummington,0.54
Carlisle,0.56
Hawley,0.56
Holland,0.56
Mount Washington,0.56
Blandford,0.57
Dover,0.57
Leverett,0.57
Montgomery,0.57
Sherborn,0.57
Harvard,0.58
Becket,0.59
Brookline,0.59
Buckland,0.59
Egremont,0.59
Northfield,0.59
Chester,0.6
Lexington,0.6
Westhampton,0.6
Weston,0.6
Amherst,0.61
Brookfield,0.61
Hinsdale,0.61
Wellesley,0.61
West Newbury,0.61
Winchester,0.61
Acton,0.62
Boxford,0.62
Deerfield,0.62
Nantucket,0.62
Sudbury,0.62
Sunderland,0.62
Wayland,0.62
Wendell,0.62
Westford,0.62
Williamsburg,0.62
Andover,0.63
Ashburnham,0.63
Belmont,0.63
Colrain,0.63
Lanesborough,0.63
Newton,0.63
Phillipston,0.63
Boxborough,0.64
Cheshire,0.64
Clarksburg,0.64
Dunstable,0.64
Granville,0.64
Medfield,0.64
Oakham,0.64
Rockport,0.64
Bolton,0.65
Cohasset,0.65
Concord,0.65
Duxbury,0.65
Gosnold,0.65
Hamilton,0.65
Hardwick,0.65
Hopkinton,0.65
Marblehead,0.65
Newbury,0.65
Seekonk,0.65
Shelburne,0.65
Stow,0.65
Sutton,0.65
Truro,0.65
Upton,0.65
Bedford,0.66
Boylston,0.66
Cambridge,0.66
Douglas,0.66
Hatfield,0.66
Hingham,0.66
Holden,0.66
Hubbardston,0.66
Lincoln,0.66
Longmeadow,0.66
Needham,0.66
Newburyport,0.66
Russell,0.66
Sharon,0.66
Southwick,0.66
West Boylston,0.66
Berlin,0.67
Groton,0.67
Littleton,0.67
Manchester-by-the-Sea,0.67
Maynard,0.67
Natick,0.67
Norfolk,0.67
Northborough,0.67
Orleans,0.67
Reading,0.67
Sandwich,0.67
Southampton,0.67
Tisbury,0.67
Wenham,0.67
Arlington,0.68
Brewster,0.68
Huntington,0.68
Marion,0.68
Norwell,0.68
Otis,0.68
Paxton,0.68
Provincetown,0.68
Rehoboth,0.68
Royalston,0.68
Rutland,0.68
Scituate,0.68
Topsfield,0.68
Ashland,0.69
Burlington,0.69
Georgetown,0.69
Rowley,0.69
Shrewsbury,0.69
Southborough,0.69
Sterling,0.69
Westminster,0.69
Wilbraham,0.69
Williamstown,0.69
Athol,0.7
Barre,0.7
Belchertown,0.7
Bernardston,0.7
Dighton,0.7
Easthampton,0.7
Granby,0.7
Hadley,0.7
Lenox,0.7
Lunenburg,0.7
Mansfield,0.7
Melrose,0.7
Millis,0.7
Milton,0.7
North Andover,0.7
North Brookfield,0.7
North Reading,0.7
Oak Bluffs,0.7
Princeton,0.7
Sturbridge,0.7
Swampscott,0.7
Townsend,0.7
Watertown,0.7
West Stockbridge,0.7
Westborough,0.7
Auburn,0.71
Blackstone,0.71
Franklin,0.71
Hampden,0.71
Ipswich,0.71
Pepperell,0.71
Sheffield,0.71
Tyngsborough,0.71
Wales,0.71
Walpole,0.71
Wellfleet,0.71
Westport,0.71
Brimfield,0.72
Charlton,0.72
Chatham,0.72
Gill,0.72
Holliston,0.72
Lakeville,0.72
Lee,0.72
Lynnfield,0.72
Medway,0.72
Mendon,0.72
Northampton,0.72
Rochester,0.72
Uxbridge,0.72
Westwood,0.72
Chelmsford,0.73
Edgartown,0.73
Essex,0.73
Foxborough,0.73
Ludlow,0.73
Orange,0.73
Somerville,0.73
Adams,0.74
Bellingham,0.74
East Longmeadow,0.74
Kingston,0.74
Leicester,0.74
Mattapoisett,0.74
Monson,0.74
North Attleborough,0.74
Norton,0.74
Spencer,0.74
Warren,0.74
Billerica,0.75
Bridgewater,0.75
Dartmouth,0.75
Dudley,0.75
Easton,0.75
Grafton,0.75
Great Barrington,0.75
Hanover,0.75
Marshfield,0.75
Middleton,0.75
Nahant,0.75
Norwood,0.75
Plymouth,0.75
Shirley,0.75
South Hadley,0.75
Waltham,0.75
Warwick,0.75
Wrentham,0.75
Attleboro,0.76
Framingham,0.76
Gloucester,0.76
Lancaster,0.76
Millville,0.76
West Brookfield,0.76
Westfield,0.76
Wilmington,0.76
Ashby,0.77
Beverly,0.77
Bourne,0.77
Canton,0.77
Dalton,0.77
Danvers,0.77
Eastham,0.77
Greenfield,0.77
Hanson,0.77
Harwich,0.77
Merrimac,0.77
Somerset,0.77
Stoneham,0.77
Stoughton,0.77
Wakefield,0.77
Dedham,0.78
Dennis,0.78
Groveland,0.78
Hudson,0.78
Medford,0.78
Milford,0.78
Montague,0.78
Plainville,0.78
Templeton,0.78
Ware,0.78
Woburn,0.78
Amesbury,0.79
Berkley,0.79
Boston,0.79
Gardner,0.79
Malden,0.79
Mashpee,0.79
Oxford,0.79
Pembroke,0.79
Raynham,0.79
Salem,0.79
Tewksbury,0.79
Braintree,0.8
Clinton,0.8
East Bridgewater,0.8
Falmouth,0.8
Plympton,0.8
Swansea,0.8
Yarmouth,0.8
Acushnet,0.81
Agawam,0.81
Barnstable,0.81
Freetown,0.81
Halifax,0.81
Hopedale,0.81
Hull,0.81
Leominster,0.81
Middleborough,0.81
Northbridge,0.81
Southbridge,0.81
West Bridgewater,0.81
Winchendon,0.81
Avon,0.82
Dracut,0.82
Haverhill,0.82
Marlborough,0.82
Palmer,0.82
Randolph,0.82
Wareham,0.82
West Springfield,0.82
Weymouth,0.82
Chicopee,0.83
Methuen,0.83
Millbury,0.83
Peabody,0.83
Pittsfield,0.83
Winthrop,0.83
Carver,0.84
Rockland,0.84
Salisbury,0.84
Saugus,0.84
Abington,0.85
Quincy,0.85
Chelsea,0.86
Everett,0.86
Fitchburg,0.86
North Adams,0.86
Whitman,0.86
Ayer,0.87
Holbrook,0.87
Webster,0.87
Lowell,0.88
Revere,0.88
Fairhaven,0.89
Taunton,0.89
Worcester,0.89
Springfield,0.9
Lawrence,0.91
Lynn,0.93
Brockton,0.94
Holyoke,0.95
Fall River,0.96
New Bedford,1.0
