Town,Health Score
Hampden,0.0
Tolland,0.03
Sutton,0.1
Hawley,0.11
Mount Washington,0.11
New Salem,0.11
Cheshire,0.12
Florida,0.13
Granby,0.14
Orange,0.14
Athol,0.15
Auburn,0.15
Berkley,0.15
Monroe,0.15
Norton,0.15
Rowe,0.15
Russell,0.15
Swampscott,0.15
Wendell,0.15
Whately,0.15
Windsor,0.15
Charlemont,0.16
Chester,0.16
Clarksburg,0.16
Colrain,0.16
Erving,0.16
Lakeville,0.16
Peru,0.16
Royalston,0.16
Savoy,0.16
Wales,0.16
Worthington,0.16
Ashfield,0.17
Fitchburg,0.17
Greenfield,0.17
Phillipston,0.17
Springfield,0.17
Attleboro,0.18
Becket,0.18
East Bridgewater,0.18
Fairhaven,0.18
Great Barrington,0.18
Heath,0.18
Holyoke,0.18
Hubbardston,0.18
Lancaster,0.18
North Adams,0.18
Oakham,0.18
Pittsfield,0.18
Spencer,0.18
Warwick,0.18
West Brookfield,0.18
Wilbraham,0.18
Brimfield,0.19
Brookfield,0.19
Chesterfield,0.19
Conway,0.19
Cummington,0.19
Dalton,0.19
Easthampton,0.19
Everett,0.19
Gill,0.19
Holland,0.19
Lanesborough,0.19
Lawrence,0.19
Lee,0.19
Leyden,0.19
Maynard,0.19
New Ashford,0.19
New Marlborough,0.19
Palmer,0.19
Salisbury,0.19
Shelburne,0.19
Somerset,0.19
Southbridge,0.19
Southwick,0.19
Sterling,0.19
Wilmington,0.19
Acushnet,0.2
Adams,0.2
Blackstone,0.2
Buckland,0.2
Dudley,0.2
East Longmeadow,0.2
Egremont,0.2
Hancock,0.2
Hinsdale,0.2
Holbrook,0.2
Holden,0.2
Ludlow,0.2
Millville,0.2
New Bedford,0.2
Oxford,0.2
Petersham,0.2
Plainfield,0.2
Sandisfield,0.2
Ware,0.2
Winchendon,0.2
Worcester,0.2
Agawam,0.21
Brockton,0.21
Chicopee,0.21
Douglas,0.21
Easton,0.21
Gardner,0.21
Groton,0.21
Monson,0.21
Montague,0.21
Newburyport,0.21
Northfield,0.21
Stockbridge,0.21
Swansea,0.21
Wareham,0.21
West Springfield,0.21
Westhampton,0.21
Charlton,0.22
Fall River,0.22
Harwich,0.22
Leicester,0.22
Lowell,0.22
Lunenburg,0.22
Lynn,0.22
Middlefield,0.22
Milford,0.22
North Brookfield,0.22
Northbridge,0.22
Oak Bluffs,0.22
Otis,0.22
Paxton,0.22
Pembroke,0.22
Richmond,0.22
South Hadley,0.22
Sturbridge,0.22
Warren,0.22
Westport,0.22
Williamsburg,0.22
Yarmouth,0.22
Ashburnham,0.23
Dartmouth,0.23
Hull,0.23
Kingston,0.23
Mashpee,0.23
Northampton,0.23
Raynham,0.23
Taunton,0.23
West Stockbridge,0.23
Barnstable,0.24
Carver,0.24
Chelsea,0.24
East Brookfield,0.24
Hatfield,0.24
Haverhill,0.24
Leominster,0.24
Methuen,0.24
Pelham,0.24
Rochester,0.24
Shutesbury,0.24
Weymouth,0.24
Abington,0.25
Amesbury,0.25
Avon,0.25
Ayer,0.25
Belchertown,0.25
Bernardston,0.25
Billerica,0.25
Bourne,0.25
Brewster,0.25
Clinton,0.25
Foxborough,0.25
Freetown,0.25
Hardwick,0.25
Huntington,0.25
Ipswich,0.25
Millbury,0.25
Millis,0.25
Norwood,0.25
Plympton,0.25
Princeton,0.25
Rehoboth,0.25
Revere,0.25
Sheffield,0.25
Shrewsbury,0.25
Stoughton,0.25
Sunderland,0.25
Wakefield,0.25
Wellfleet,0.25
Westfield,0.25
Westminster,0.25
Wrentham,0.25
Ashby,0.26
Dennis,0.26
Monterey,0.26
Plymouth,0.26
Salem,0.26
Shirley,0.26
West Boylston,0.26
Woburn,0.26
Braintree,0.27
Bridgewater,0.27
Canton,0.27
Eastham,0.27
Franklin,0.27
Granville,0.27
Halifax,0.27
Holliston,0.27
Leverett,0.27
Littleton,0.27
Malden,0.27
Natick,0.27
Pepperell,0.27
Rockland,0.27
Sandwich,0.27
Somerville,0.27
Whitman,0.27
Blandford,0.28
Boston,0.28
Dracut,0.28
Falmouth,0.28
Groveland,0.28
Medford,0.28
Rutland,0.28
Watertown,0.28
Webster,0.28
Westborough,0.28
Winthrop,0.28
Barre,0.29
Beverly,0.29
Dedham,0.29
Lenox,0.29
Middleborough,0.29
North Reading,0.29
Randolph,0.29
Upton,0.29
Williamstown,0.29
Bellingham,0.3
Danvers,0.3
Dighton,0.3
Georgetown,0.3
Hanover,0.3
Hopedale,0.3
Longmeadow,0.3
Marshfield,0.3
Medway,0.3
Melrose,0.3
Middleton,0.3
New Braintree,0.3
Newbury,0.3
Saugus,0.3
Southborough,0.3
Stoneham,0.3
Templeton,0.3
Uxbridge,0.3
Walpole,0.3
Alford,0.31
Deerfield,0.31
Milton,0.31
Northborough,0.31
Plainville,0.31
Framingham,0.32
Hanson,0.32
Hingham,0.32
Hudson,0.32
Norfolk,0.32
Quincy,0.32
Reading,0.32
Tisbury,0.32
Waltham,0.32
Berlin,0.33
Chelmsford,0.33
Montgomery,0.33
Needham,0.33
Townsend,0.33
Lexington,0.34
Marlborough,0.34
North Andover,0.34
Tyngsborough,0.34
Acton,0.35
Amherst,0.35
Grafton,0.35
Mansfield,0.35
Merrimac,0.35
North Attleborough,0.35
Southampton,0.35
Tewksbury,0.35
Topsfield,0.35
Wayland,0.35
West Bridgewater,0.35
Westford,0.35
Arlington,0.36
Stow,0.36
Boylston,0.37
Gloucester,0.37
Hadley,0.37
Mendon,0.37
Seekonk,0.37
Washington,0.37
Belmont,0.38
Orleans,0.38
Provincetown,0.38
Scituate,0.38
Bolton,0.39
Boxborough,0.39
Duxbury,0.39
Peabody,0.39
Andover,0.4
Edgartown,0.4
Sharon,0.4
Goshen,0.41
Gosnold,0.41
Bedford,0.42
Concord,0.42
Dunstable,0.42
Harvard,0.42
Hopkinton,0.42
Lincoln,0.42
Rowley,0.42
Sherborn,0.42
Chatham,0.43
Mattapoisett,0.43
Norwell,0.43
Marion,0.44
Essex,0.48
Marblehead,0.49
Ashland,0.5
Burlington,0.5
Newton,0.5
Wenham,0.5
Boxford,0.51
Cohasset,0.51
Manchester-by-the-Sea,0.51
Truro,0.55
Medfield,0.58
Carlisle,0.59
Sudbury,0.59
Hamilton,0.6
Tyringham,0.6
Westwood,0.6
Nahant,0.63
Brookline,0.66
Lynnfield,0.66
West Tisbury,0.66
Chilmark,0.68
Nantucket,0.68
Dover,0.73
Cambridge,0.81
Winchester,0.83
Wellesley,0.86
West Newbury,0.88
Weston,0.89
Aquinnah,1.0
Rockport,1.0
