Town,Health Score
Lawrence,0.0
Chelsea,0.08
Springfield,0.08
Holyoke,0.1
New Bedford,0.1
Fall River,0.15
Lynn,0.17
Fitchburg,0.18
Southbridge,0.18
Everett,0.19
Brockton,0.21
Lowell,0.21
North Adams,0.25
Revere,0.25
Monroe,0.26
Chicopee,0.27
Athol,0.31
Webster,0.31
Worcester,0.31
Gardner,0.32
Malden,0.32
Charlemont,0.33
Orange,0.33
Warren,0.33
West Springfield,0.33
Montague,0.34
Randolph,0.34
Adams,0.35
Colrain,0.35
Florida,0.35
Taunton,0.35
Ware,0.36
Winchendon,0.36
Erving,0.37
Leominster,0.38
Pittsfield,0.38
Savoy,0.38
Wareham,0.38
Wendell,0.38
Buckland,0.39
Haverhill,0.39
Palmer,0.39
Salem,0.39
Amherst,0.4
Cheshire,0.4
Russell,0.4
Spencer,0.4
Dennis,0.41
Heath,0.41
Oxford,0.41
Clinton,0.42
Royalston,0.42
Westfield,0.42
Greenfield,0.43
Hardwick,0.43
Peru,0.43
Salisbury,0.43
Somerset,0.43
Wales,0.43
Attleboro,0.44
Dudley,0.44
Halifax,0.44
Holbrook,0.44
North Brookfield,0.44
Northfield,0.44
Saugus,0.44
Shirley,0.44
Winthrop,0.44
Chester,0.45
Dalton,0.45
Easthampton,0.45
Methuen,0.45
Otis,0.45
Whitman,0.45
Avon,0.46
Marlborough,0.46
Phillipston,0.46
Acushnet,0.47
Aquinnah,0.47
Brookfield,0.47
Framingham,0.47
Harwich,0.47
Hawley,0.47
Holland,0.47
Ludlow,0.47
Northbridge,0.47
Quincy,0.47
Sunderland,0.47
Yarmouth,0.47
Agawam,0.48
Blackstone,0.48
Blandford,0.48
Rockland,0.48
Abington,0.49
Charlton,0.49
Dracut,0.49
Fairhaven,0.49
Gloucester,0.49
Granville,0.49
Hinsdale,0.49
Millbury,0.49
Millville,0.49
Bridgewater,0.5
Carver,0.5
Clarksburg,0.5
East Bridgewater,0.5
Lee,0.5
Leicester,0.5
Middleborough,0.5
Peabody,0.5
Stoughton,0.5
Ashby,0.51
Bernardston,0.51
Hull,0.51
Swansea,0.51
Waltham,0.51
Barnstable,0.52
Bellingham,0.52
Bourne,0.52
Freetown,0.52
Monson,0.52
New Salem,0.52
Somerville,0.52
Southwick,0.52
Templeton,0.52
Truro,0.52
Uxbridge,0.52
Boston,0.53
Huntington,0.53
Rowe,0.53
West Brookfield,0.53
Amesbury,0.54
Granby,0.54
Groveland,0.54
Hudson,0.54
Milford,0.54
New Ashford,0.54
Plymouth,0.54
Provincetown,0.54
South Hadley,0.54
Woburn,0.54
Chesterfield,0.55
Dartmouth,0.55
Mashpee,0.55
New Braintree,0.55
North Attleborough,0.55
Pepperell,0.55
Plainfield,0.55
Plainville,0.55
Raynham,0.55
Warwick,0.55
West Bridgewater,0.55
Weymouth,0.55
Ashburnham,0.56
Auburn,0.56
Becket,0.56
Billerica,0.56
Douglas,0.56
Hanson,0.56
Lanesborough,0.56
Medford,0.56
Montgomery,0.56
New Marlborough,0.56
Plympton,0.56
Sandisfield,0.56
Seekonk,0.56
Wellfleet,0.56
Westport,0.56
Berkley,0.57
Brimfield,0.57
East Brookfield,0.57
Falmouth,0.57
Kingston,0.57
Lancaster,0.57
Middlefield,0.57
Oak Bluffs,0.57
Sheffield,0.57
Williamsburg,0.57
Belchertown,0.58
Beverly,0.58
Danvers,0.58
Dighton,0.58
East Longmeadow,0.58
Hampden,0.58
Hubbardston,0.58
Lakeville,0.58
Lunenburg,0.58
Marshfield,0.58
Maynard,0.58
Nantucket,0.58
Oakham,0.58
Pembroke,0.58
Rochester,0.58
Sandwich,0.58
Shutesbury,0.58
Tisbury,0.58
Tolland,0.58
West Boylston,0.58
Braintree,0.59
Chatham,0.59
Cummington,0.59
Great Barrington,0.59
Hatfield,0.59
Leyden,0.59
Middleton,0.59
Petersham,0.59
Shelburne,0.59
Southampton,0.59
Ashfield,0.6
Barre,0.6
Deerfield,0.6
Eastham,0.6
Ipswich,0.6
Mattapoisett,0.6
Monterey,0.6
Norton,0.6
Rehoboth,0.6
Rowley,0.6
Townsend,0.6
Wakefield,0.6
Foxborough,0.61
Goshen,0.61
Millis,0.61
Nahant,0.61
Sturbridge,0.61
Sutton,0.61
Tewksbury,0.61
Tyngsborough,0.61
Ayer,0.62
Easton,0.62
Gill,0.62
Hadley,0.62
Merrimac,0.62
Norwood,0.62
Rockport,0.62
Rutland,0.62
Swampscott,0.62
Washington,0.62
Westminster,0.62
Brewster,0.63
Egremont,0.63
Grafton,0.63
Hancock,0.63
Hopedale,0.63
Marion,0.63
Paxton,0.63
Wilbraham,0.63
Worthington,0.63
Chilmark,0.64
Dedham,0.64
Hanover,0.64
Mansfield,0.64
Northampton,0.64
Stoneham,0.64
Watertown,0.64
Westhampton,0.64
Wilmington,0.64
Windsor,0.64
Edgartown,0.65
Georgetown,0.65
Leverett,0.65
Orleans,0.65
Sterling,0.65
Berlin,0.66
Mount Washington,0.66
Shrewsbury,0.66
Upton,0.66
Walpole,0.66
Canton,0.67
Franklin,0.67
Holden,0.67
Mendon,0.67
Richmond,0.67
Tyringham,0.67
West Stockbridge,0.67
Boylston,0.68
Conway,0.68
Melrose,0.68
Princeton,0.68
Whately,0.68
Wrentham,0.68
Lenox,0.69
Littleton,0.69
North Andover,0.69
North Reading,0.69
Scituate,0.69
Williamstown,0.69
Ashland,0.7
Hamilton,0.7
Stockbridge,0.7
Wenham,0.7
Arlington,0.71
Essex,0.71
Lynnfield,0.71
Medway,0.71
Northborough,0.71
Pelham,0.71
Reading,0.71
West Newbury,0.71
Westborough,0.71
Chelmsford,0.72
Holliston,0.72
Natick,0.72
Stow,0.72
Duxbury,0.73
Longmeadow,0.73
Marblehead,0.73
Newbury,0.73
Cambridge,0.74
Milton,0.74
Boxborough,0.75
Cohasset,0.75
Dunstable,0.75
Newburyport,0.75
Topsfield,0.75
West Tisbury,0.75
Boxford,0.76
Hingham,0.76
Alford,0.77
Andover,0.77
Groton,0.77
Norfolk,0.77
Westford,0.77
Acton,0.78
Belmont,0.79
Manchester-by-the-Sea,0.79
Sharon,0.79
Brookline,0.81
Harvard,0.81
Hopkinton,0.81
Medfield,0.82
Southborough,0.83
Bedford,0.84
Lincoln,0.84
Burlington,0.85
Westwood,0.85
Needham,0.86
Norwell,0.86
Sherborn,0.87
Sudbury,0.88
Newton,0.9
Concord,0.91
Lexington,0.91
Winchester,0.92
Bolton,0.93
Gosnold,0.93
Wayland,0.93
Wellesley,0.97
Carlisle,0.98
Dover,0.99
Weston,1.0
