index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Abington,0.06,0.66,0.22,0.43,0.8,0.09,0.16,0.73,0.39
Acton,0.06,0.62,0.14,0.91,0.7,0.26,0.3,0.78,0.47
Acushnet,0.06,0.75,0.07,0.46,0.52,0.01,0.11,0.72,0.34
Adams,0.06,0.76,0.23,0.35,0.56,0.03,0.09,0.67,0.34
Agawam,0.06,0.73,0.23,0.46,0.61,0.13,0.11,0.62,0.37
Alford,0.1,0.92,0.22,0.68,0.5,0.01,0.37,0.65,0.43
Amesbury,0.05,0.71,0.22,0.54,0.78,0.13,0.16,0.73,0.42
Amherst,0.06,0.64,0.02,0.64,0.25,0.14,0.23,0.8,0.35
Andover,0.05,0.68,0.08,0.65,0.64,0.28,0.34,0.8,0.44
Aquinnah,0.22,0.68,0.11,0.48,0.49,0.07,1.0,0.51,0.44
Arlington,0.05,0.52,0.26,0.67,0.79,0.04,0.29,0.81,0.43
Ashburnham,0.07,0.74,0.43,0.45,0.79,0.15,0.13,0.77,0.44
Ashby,0.09,0.77,0.12,0.56,0.64,0.05,0.16,0.73,0.39
Ashfield,0.14,0.81,0.32,0.51,0.89,0.01,0.09,0.93,0.46
Ashland,0.06,0.67,0.31,0.62,0.92,0.02,0.35,0.8,0.47
Athol,0.08,0.74,0.2,0.36,0.35,0.17,0.05,0.55,0.31
Attleboro,0.05,0.62,0.24,0.46,0.69,0.17,0.1,0.59,0.36
Auburn,0.05,0.76,0.33,0.44,0.54,0.21,0.08,0.63,0.38
Avon,0.07,0.74,0.3,0.29,0.65,0.34,0.13,0.54,0.38
Ayer,0.1,0.73,0.11,0.58,0.79,0.17,0.15,0.67,0.41
Barnstable,0.05,0.76,0.23,0.5,0.52,0.15,0.15,0.59,0.37
Barre,0.08,0.75,0.36,0.48,0.74,0.36,0.16,0.68,0.45
Becket,0.13,0.84,0.24,0.45,0.69,0.05,0.08,0.59,0.38
Bedford,0.06,0.68,0.75,0.62,0.62,0.12,0.35,0.86,0.51
Belchertown,0.07,0.72,0.15,0.53,0.86,0.3,0.14,0.8,0.45
Bellingham,0.06,0.67,0.15,0.4,0.9,0.09,0.18,0.64,0.39
Belmont,0.0,0.55,0.31,0.75,0.69,0.16,0.37,0.83,0.46
Berkley,0.07,0.71,0.19,0.49,0.86,0.3,0.09,0.82,0.44
Berlin,0.07,0.83,0.09,0.57,0.81,0.01,0.19,0.77,0.42
Bernardston,0.12,0.85,0.22,0.47,0.62,0.01,0.13,0.75,0.4
Beverly,0.06,0.69,0.19,0.49,0.66,0.25,0.21,0.83,0.42
Billerica,0.05,0.67,0.2,0.46,0.75,0.24,0.17,0.81,0.42
Blackstone,0.07,0.77,0.16,0.4,0.9,0.14,0.11,0.75,0.41
Blandford,0.07,0.84,0.31,0.4,0.62,0.06,0.16,0.66,0.39
Bolton,1.0,0.64,0.09,1.0,0.89,0.03,0.34,0.77,0.6
Boston,0.05,0.21,0.15,0.28,0.78,0.25,0.2,0.37,0.29
Bourne,0.07,0.74,0.27,0.45,0.51,0.28,0.15,0.62,0.39
Boxborough,0.06,0.76,0.12,0.91,0.69,0.14,0.35,0.79,0.48
Boxford,0.06,0.76,0.21,0.65,0.67,0.12,0.44,0.88,0.47
Boylston,0.11,0.76,0.45,0.57,0.79,0.02,0.13,0.89,0.46
Braintree,0.1,0.64,0.25,0.55,0.61,0.14,0.19,0.7,0.4
Brewster,0.07,0.86,0.11,0.48,0.45,0.33,0.17,0.71,0.4
Bridgewater,0.06,0.7,0.07,0.49,0.67,0.13,0.18,0.79,0.39
Brimfield,0.2,0.84,0.13,0.47,0.63,0.15,0.1,0.8,0.42
Brockton,0.05,0.4,0.17,0.25,0.42,0.11,0.11,0.36,0.23
Brookfield,0.16,0.76,0.34,0.31,0.59,0.14,0.09,0.63,0.38
Brookline,0.06,0.48,0.38,0.75,0.79,0.06,0.55,0.81,0.49
Buckland,0.14,0.77,0.17,0.26,0.61,0.54,0.1,0.53,0.39
Burlington,0.07,0.66,0.2,0.5,0.58,0.33,0.36,0.7,0.42
Cambridge,0.05,0.34,0.11,0.54,0.79,0.37,0.62,0.63,0.43
Canton,0.05,0.69,0.39,0.57,0.65,0.3,0.22,0.76,0.45
Carlisle,0.06,0.82,0.26,0.78,0.63,0.24,0.47,0.87,0.52
Carver,0.07,0.81,0.18,0.46,0.62,0.07,0.14,0.71,0.38
Charlemont,0.08,0.74,0.17,0.32,0.33,0.1,0.07,0.59,0.3
Charlton,0.06,0.75,0.21,0.47,0.68,0.04,0.13,0.74,0.38
Chatham,0.07,0.89,0.1,0.44,0.25,0.03,0.33,0.73,0.36
Chelmsford,0.05,0.68,0.26,0.59,0.67,0.27,0.23,0.76,0.44
Chelsea,0.03,0.0,0.16,0.17,0.42,0.36,0.15,0.3,0.2
Cheshire,0.08,0.83,0.43,0.35,0.42,0.13,0.05,0.56,0.36
Chester,0.09,0.74,0.2,0.39,0.73,0.01,0.07,0.85,0.38
Chesterfield,0.36,0.85,0.26,0.37,0.72,0.02,0.1,0.89,0.45
Chicopee,0.06,0.63,0.22,0.39,0.45,0.04,0.1,0.39,0.28
Chilmark,0.01,0.86,0.0,0.55,0.67,0.12,0.73,0.74,0.46
Clarksburg,0.11,0.76,0.16,0.36,0.6,0.0,0.06,0.94,0.37
Clinton,0.06,0.66,0.16,0.32,0.77,0.04,0.14,0.88,0.38
Cohasset,0.0,0.71,0.19,0.62,0.54,0.15,0.44,0.78,0.43
Colrain,0.12,0.77,0.26,0.28,0.58,0.3,0.07,0.48,0.36
Concord,0.04,0.73,0.26,0.78,0.48,0.16,0.4,0.83,0.46
Conway,0.09,0.84,0.25,0.49,0.89,0.36,0.12,0.93,0.5
Cummington,0.09,0.77,0.19,0.4,0.47,0.04,0.11,0.68,0.34
Dalton,0.08,0.8,0.14,0.22,0.52,0.04,0.09,0.77,0.33
Danvers,0.06,0.72,0.15,0.45,0.62,0.19,0.22,0.64,0.38
Dartmouth,0.06,0.77,0.14,0.48,0.37,0.42,0.14,0.6,0.37
Dedham,0.05,0.68,0.16,0.51,0.59,0.3,0.21,0.78,0.41
Deerfield,0.12,0.72,0.18,0.61,0.68,0.23,0.19,0.69,0.43
Dennis,0.06,0.83,0.2,0.42,0.16,0.18,0.16,0.51,0.31
Dighton,0.06,0.7,0.21,0.49,0.81,0.11,0.19,0.62,0.4
Douglas,0.05,0.72,0.14,0.45,0.93,0.01,0.11,0.77,0.4
Dover,0.07,0.71,1.0,0.79,0.63,0.08,0.7,0.87,0.61
Dracut,0.05,0.68,0.24,0.46,0.73,0.21,0.17,0.75,0.41
Dudley,0.05,0.74,0.14,0.53,0.58,0.12,0.11,0.72,0.37
Dunstable,0.07,0.79,0.04,0.65,0.88,0.03,0.33,0.82,0.45
Duxbury,0.06,0.76,0.25,0.63,0.49,0.03,0.34,0.83,0.42
East Bridgewater,0.05,0.75,0.2,0.36,0.74,0.35,0.03,0.73,0.4
East Brookfield,0.12,0.79,0.2,0.41,0.94,0.05,0.13,0.71,0.42
East Longmeadow,0.05,0.73,0.26,0.49,0.55,0.07,0.11,0.67,0.37
Eastham,0.09,0.89,0.21,0.42,0.22,0.41,0.18,0.75,0.4
Easthampton,0.07,0.74,0.15,0.51,0.66,0.13,0.09,0.72,0.38
Easton,0.05,0.69,0.19,0.53,0.77,0.15,0.15,0.79,0.42
Edgartown,0.11,0.82,0.05,0.43,0.74,0.18,0.34,0.63,0.41
Egremont,0.08,0.87,0.21,0.54,0.65,0.14,0.15,0.85,0.44
Erving,0.07,0.75,0.2,0.47,0.7,0.01,0.06,0.67,0.37
Essex,0.12,0.81,0.21,0.58,0.62,0.01,0.33,0.8,0.44
Everett,0.05,0.28,0.15,0.21,0.61,0.19,0.12,0.68,0.29
Fairhaven,0.09,0.77,0.32,0.5,0.46,0.2,0.09,0.51,0.37
Fall River,0.05,0.58,0.19,0.22,0.31,0.16,0.12,0.36,0.25
Falmouth,0.06,0.82,0.23,0.53,0.37,0.21,0.18,0.49,0.36
Fitchburg,0.07,0.56,0.17,0.18,0.44,0.2,0.08,0.51,0.28
Florida,0.18,0.79,0.3,0.34,0.41,0.18,0.04,0.58,0.35
Foxborough,0.08,0.72,0.29,0.54,0.7,0.09,0.18,0.64,0.4
Framingham,0.05,0.5,0.15,0.53,0.75,0.2,0.22,0.7,0.39
Franklin,0.05,0.67,0.26,0.55,0.79,0.31,0.2,0.87,0.46
Freetown,0.07,0.73,0.35,0.5,0.77,0.22,0.15,0.7,0.44
Gardner,0.06,0.7,0.17,0.32,0.48,0.13,0.1,0.46,0.3
Georgetown,0.06,0.74,0.13,0.59,0.78,0.16,0.23,0.82,0.44
Gill,0.05,0.84,0.18,0.41,0.87,0.04,0.09,0.83,0.41
Gloucester,0.06,0.78,0.13,0.47,0.51,0.14,0.26,0.68,0.38
Goshen,0.08,0.77,0.05,0.43,0.94,0.01,0.25,0.87,0.42
Gosnold,0.07,1.0,0.26,0.75,0.28,0.01,0.54,1.0,0.49
Grafton,0.06,0.63,0.38,0.58,0.78,0.11,0.16,0.81,0.44
Granby,0.07,0.72,0.13,0.47,0.71,0.0,0.13,0.8,0.38
Granville,0.09,0.82,0.34,0.45,0.68,0.01,0.15,0.84,0.42
Great Barrington,0.08,0.75,0.32,0.56,0.39,0.3,0.1,0.69,0.4
Greenfield,0.06,0.69,0.11,0.5,0.58,0.41,0.08,0.52,0.37
Groton,0.06,0.78,0.37,0.65,0.66,0.22,0.19,0.86,0.47
Groveland,0.06,0.8,0.16,0.47,0.66,0.17,0.21,0.87,0.42
Hadley,0.07,0.8,0.13,0.55,0.52,0.47,0.14,0.55,0.4
Halifax,0.06,0.83,0.16,0.45,0.72,0.06,0.16,0.77,0.4
Hamilton,0.06,0.65,0.29,0.6,0.64,0.21,0.46,0.85,0.47
Hampden,0.06,0.84,0.27,0.5,0.54,0.06,0.16,0.8,0.4
Hancock,0.09,0.71,0.15,0.5,0.75,0.0,0.1,0.88,0.4
Hanover,0.06,0.69,0.14,0.45,0.64,0.41,0.24,0.83,0.43
Hanson,0.06,0.75,0.2,0.42,0.79,0.08,0.22,0.76,0.41
Hardwick,0.06,0.79,0.35,0.39,0.36,0.02,0.14,0.49,0.33
Harvard,0.06,0.79,0.2,0.72,0.43,0.18,0.37,0.82,0.45
Harwich,0.07,0.79,0.26,0.38,0.37,0.21,0.14,0.7,0.36
Hatfield,0.09,0.83,0.25,0.51,0.65,0.03,0.15,0.88,0.42
Haverhill,0.06,0.58,0.2,0.46,0.67,0.18,0.14,0.5,0.35
Hawley,0.07,0.86,0.31,0.41,0.5,0.0,0.04,0.74,0.37
Heath,0.06,0.82,0.09,0.49,0.56,0.01,0.09,0.74,0.36
Hingham,0.06,0.69,0.37,0.67,0.52,0.35,0.29,0.78,0.47
Hinsdale,0.08,0.82,0.05,0.37,0.7,0.01,0.1,0.79,0.36
Holbrook,0.06,0.73,0.2,0.34,0.5,0.12,0.12,0.68,0.34
Holden,0.06,0.72,0.28,0.67,0.76,0.18,0.12,0.85,0.46
Holland,0.08,0.81,0.2,0.49,0.69,0.01,0.09,0.76,0.39
Holliston,0.05,0.7,0.26,0.63,0.75,0.1,0.2,0.87,0.45
Holyoke,0.06,0.48,0.16,0.3,0.39,0.31,0.08,0.0,0.22
Hopedale,0.06,0.68,0.08,0.53,0.71,0.03,0.19,0.8,0.38
Hopkinton,0.05,0.64,0.64,0.71,0.8,0.16,0.34,0.85,0.52
Hubbardston,0.07,0.84,0.19,0.44,0.81,0.01,0.1,0.83,0.41
Hudson,0.06,0.67,0.16,0.52,0.72,0.21,0.19,0.82,0.42
Hull,0.06,0.77,0.21,0.49,0.66,0.12,0.15,0.69,0.39
Huntington,0.07,0.68,0.16,0.43,0.74,0.29,0.13,0.6,0.39
Ipswich,0.06,0.81,0.12,0.55,0.66,0.13,0.2,0.82,0.42
Kingston,0.07,0.73,0.1,0.49,0.73,0.09,0.16,0.73,0.39
Lakeville,0.06,0.77,0.27,0.5,0.8,0.18,0.1,0.82,0.44
Lancaster,0.09,0.8,0.27,0.42,0.56,0.21,0.11,0.74,0.4
Lanesborough,0.07,0.82,0.19,0.49,0.75,0.03,0.09,0.69,0.39
Lawrence,0.06,0.14,0.16,0.17,0.23,0.21,0.09,0.13,0.15
Lee,0.07,0.76,0.22,0.53,0.5,0.16,0.1,0.65,0.37
Leicester,0.06,0.75,0.15,0.45,0.74,0.07,0.12,0.71,0.38
Lenox,0.05,0.84,0.21,0.52,0.28,0.2,0.19,0.68,0.37
Leominster,0.06,0.64,0.16,0.45,0.65,0.25,0.13,0.41,0.34
Leverett,0.1,0.82,0.17,0.58,0.64,0.01,0.18,0.86,0.42
Lexington,0.05,0.64,0.29,0.87,0.53,0.49,0.34,0.72,0.49
Leyden,0.08,0.88,0.36,0.42,0.84,0.0,0.11,0.96,0.46
Lincoln,0.01,0.61,0.15,0.75,0.39,0.09,0.46,0.81,0.41
Littleton,0.06,0.73,0.22,0.62,0.67,0.16,0.21,0.79,0.43
Longmeadow,0.06,0.7,0.19,0.67,0.53,0.39,0.21,0.81,0.45
Lowell,0.06,0.36,0.15,0.36,0.53,0.2,0.12,0.49,0.28
Ludlow,0.06,0.72,0.28,0.5,0.55,0.16,0.1,0.71,0.39
Lunenburg,0.04,0.75,0.27,0.55,0.71,0.18,0.13,0.72,0.42
Lynn,0.06,0.31,0.15,0.25,0.47,0.14,0.13,0.54,0.26
Lynnfield,0.05,0.76,0.26,0.56,0.61,0.25,0.51,0.82,0.48
