index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Abington,0.2,0.44,0.22,0.42,0.8,0.06,0.17,0.51,0.35
Acton,0.2,0.47,0.14,0.92,0.7,0.23,0.31,0.56,0.44
Acushnet,0.2,0.65,0.07,0.51,0.53,0.01,0.12,0.51,0.33
Adams,0.2,0.54,0.23,0.35,0.56,0.01,0.1,0.48,0.31
Agawam,0.2,0.5,0.23,0.47,0.61,0.12,0.12,0.46,0.34
Alford,0.25,0.97,0.22,0.78,0.5,0.01,0.27,0.42,0.43
Amesbury,0.19,0.49,0.22,0.54,0.78,0.12,0.17,0.5,0.38
Amherst,0.2,0.41,0.02,0.63,0.26,0.13,0.24,0.56,0.31
Andover,0.19,0.46,0.08,0.65,0.64,0.25,0.35,0.57,0.4
Aquinnah,0.34,0.88,0.11,0.39,0.5,0.08,1.0,0.17,0.43
Arlington,0.19,0.47,0.26,0.67,0.79,0.02,0.3,0.57,0.41
Ashburnham,0.13,0.89,0.43,0.45,0.79,0.16,0.14,0.56,0.44
Ashby,0.2,0.89,0.12,0.3,0.65,0.06,0.17,0.6,0.37
Ashfield,0.27,0.96,0.32,0.45,0.89,0.01,0.11,0.55,0.44
Ashland,0.2,0.47,0.31,0.63,0.91,0.01,0.36,0.57,0.43
Athol,0.22,0.95,0.2,0.35,0.36,0.15,0.07,0.39,0.34
Attleboro,0.19,0.47,0.24,0.46,0.69,0.15,0.11,0.4,0.34
Auburn,0.19,0.5,0.33,0.44,0.54,0.19,0.09,0.5,0.35
Avon,0.2,0.46,0.3,0.28,0.65,0.34,0.17,0.28,0.34
Ayer,0.23,0.49,0.11,0.73,0.79,0.13,0.16,0.47,0.39
Barnstable,0.19,0.51,0.23,0.5,0.52,0.1,0.17,0.39,0.33
Barre,0.2,0.94,0.36,0.26,0.74,0.37,0.18,0.7,0.47
Becket,0.26,0.95,0.24,0.95,0.7,0.06,0.1,0.52,0.47
Bedford,0.2,0.47,0.75,0.62,0.62,0.03,0.36,0.61,0.46
Belchertown,0.2,0.75,0.15,0.53,0.86,0.32,0.15,0.56,0.44
Bellingham,0.2,0.49,0.15,0.4,0.91,0.09,0.2,0.5,0.37
Belmont,0.31,0.46,0.31,0.76,0.69,0.14,0.38,0.6,0.46
Berkley,0.2,0.74,0.19,0.56,0.86,0.33,0.1,0.56,0.44
Berlin,0.27,0.8,0.09,0.58,0.81,0.01,0.26,0.59,0.43
Bernardston,0.25,0.96,0.22,0.32,0.62,0.01,0.15,0.59,0.39
Beverly,0.2,0.48,0.19,0.48,0.67,0.19,0.22,0.6,0.38
Billerica,0.19,0.47,0.2,0.46,0.75,0.25,0.18,0.58,0.38
Blackstone,0.21,0.51,0.16,0.4,0.9,0.15,0.13,0.52,0.37
Blandford,0.19,0.96,0.31,0.25,0.62,0.07,0.17,0.53,0.39
Bolton,1.0,0.91,0.09,0.9,0.89,0.03,0.35,0.58,0.59
Boston,0.19,0.0,0.15,0.29,0.78,0.16,0.21,0.68,0.31
Bourne,0.21,0.52,0.27,0.45,0.51,0.29,0.17,0.45,0.36
Boxborough,0.23,0.45,0.12,0.92,0.69,0.15,0.35,0.53,0.43
Boxford,0.28,0.74,0.21,0.65,0.68,0.13,0.45,0.63,0.47
Boylston,0.24,0.68,0.45,0.58,0.79,0.01,0.26,0.63,0.45
Braintree,0.31,0.46,0.25,0.56,0.61,0.11,0.2,0.51,0.38
Brewster,0.21,0.59,0.11,0.57,0.44,0.35,0.19,0.49,0.37
Bridgewater,0.13,0.48,0.07,0.49,0.67,0.13,0.19,0.55,0.34
Brimfield,0.31,0.95,0.13,0.56,0.63,0.15,0.11,0.54,0.42
Brockton,0.19,0.4,0.17,0.24,0.43,0.06,0.12,0.21,0.23
Brookfield,0.28,0.95,0.34,0.74,0.59,0.15,0.1,0.17,0.42
Brookline,0.22,0.44,0.38,0.76,0.78,0.02,0.55,0.59,0.47
Buckland,0.27,0.95,0.17,0.34,0.61,0.59,0.12,0.21,0.41
Burlington,0.21,0.46,0.2,0.5,0.58,0.24,0.37,0.54,0.39
Cambridge,0.19,0.42,0.11,0.54,0.79,0.33,0.62,0.47,0.43
Canton,0.17,0.47,0.4,0.57,0.65,0.28,0.23,0.53,0.41
Carlisle,0.2,0.86,0.26,0.79,0.63,0.27,0.54,1.0,0.57
