index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Abington,0.87,0.83,0.8,0.68,0.65,0.91,0.52,0.72,0.75
Acton,0.89,0.74,0.86,0.7,0.88,0.85,0.61,0.76,0.79
Acushnet,0.95,0.85,0.77,0.57,0.49,0.99,0.58,0.71,0.74
Adams,0.91,0.9,0.59,0.7,0.49,0.93,0.6,0.66,0.72
Agawam,0.91,0.84,0.69,0.66,0.61,0.89,0.64,0.6,0.73
Alford,0.77,0.93,0.85,0.77,0.79,0.87,0.86,0.91,0.84
Amesbury,0.87,0.86,0.79,0.67,0.72,0.9,0.55,0.72,0.76
Amherst,0.52,0.77,0.46,0.73,0.47,0.86,0.27,0.79,0.61
Andover,0.84,0.78,0.83,0.89,0.87,0.84,0.71,0.78,0.82
Aquinnah,0.82,0.81,0.58,0.47,0.6,0.98,0.77,0.71,0.72
Arlington,0.63,0.69,0.82,0.88,0.93,0.9,0.57,0.79,0.78
Ashburnham,0.9,0.89,0.9,0.67,0.75,0.92,0.65,0.75,0.8
Ashby,0.95,0.88,0.77,0.62,0.48,0.99,0.74,0.73,0.77
Ashfield,0.88,0.91,0.78,0.81,0.62,0.96,0.64,0.92,0.82
Ashland,0.89,0.79,0.86,0.81,0.83,0.94,0.72,0.79,0.83
Athol,0.9,0.86,0.52,0.49,0.46,0.89,0.63,0.55,0.66
Attleboro,0.86,0.78,0.65,0.6,0.62,0.82,0.56,0.59,0.68
Auburn,0.95,0.87,0.83,0.77,0.66,0.78,0.72,0.59,0.77
Avon,0.91,0.78,0.71,0.63,0.55,0.85,0.6,0.65,0.71
Ayer,0.87,0.83,0.63,0.57,0.75,0.7,0.65,0.67,0.71
Barnstable,0.9,0.83,0.68,0.62,0.51,0.64,0.6,0.6,0.67
Barre,0.91,0.88,0.83,0.6,0.52,0.82,0.66,0.64,0.73
Becket,0.96,0.9,0.72,0.52,0.49,0.98,0.74,0.76,0.76
Bedford,0.87,0.79,0.92,0.86,0.89,0.68,0.63,0.85,0.81
Belchertown,0.93,0.87,0.76,0.73,0.7,0.85,0.68,0.79,0.79
Bellingham,0.9,0.84,0.8,0.69,0.58,0.96,0.71,0.61,0.76
Belmont,0.7,0.71,0.83,0.91,0.9,0.75,0.55,0.8,0.77
Berkley,0.93,0.89,0.83,0.73,0.63,0.96,0.73,0.81,0.81
Berlin,0.9,0.94,0.85,0.78,0.75,0.96,0.69,0.74,0.83
Bernardston,0.88,0.92,0.69,0.61,0.59,0.98,0.72,0.71,0.76
Beverly,0.8,0.84,0.68,0.7,0.67,0.66,0.49,0.81,0.71
Billerica,0.91,0.8,0.83,0.69,0.57,0.91,0.65,0.79,0.77
Blackstone,0.96,0.89,0.78,0.49,0.63,0.96,0.64,0.75,0.76
Blandford,0.9,0.93,0.74,0.46,0.36,0.99,0.8,0.63,0.73
Bolton,1.0,0.83,0.91,0.75,0.87,0.91,0.78,0.73,0.85
Boston,0.25,0.09,0.41,0.39,0.63,0.41,0.22,0.98,0.42
Bourne,0.92,0.86,0.76,0.68,0.59,0.88,0.61,0.6,0.74
Boxborough,0.86,0.81,0.86,0.9,0.76,0.96,0.79,0.79,0.84
Boxford,0.92,0.88,0.88,0.87,0.73,0.94,0.87,0.85,0.87
Boylston,0.92,0.88,0.89,0.83,0.78,0.96,0.69,0.88,0.85
