Town,Health Score
Brockton,0.0
Abington,0.01
Barnstable,0.01
Dennis,0.01
Fall River,0.01
Falmouth,0.01
New Bedford,0.01
Provincetown,0.01
Rockland,0.01
Taunton,0.01
Yarmouth,0.01
Carver,0.02
East Bridgewater,0.02
Everett,0.02
Holbrook,0.02
Holyoke,0.02
Hull,0.02
Salisbury,0.02
Weymouth,0.02
Worcester,0.02
Blackstone,0.03
Bourne,0.03
Chelsea,0.03
Clinton,0.03
Fitchburg,0.03
Gloucester,0.03
Groveland,0.03
Haverhill,0.03
Lawrence,0.03
Lowell,0.03
Lynn,0.03
Marshfield,0.03
Mashpee,0.03
Medfield,0.03
Middleborough,0.03
Millbury,0.03
Peabody,0.03
Pembroke,0.03
Pittsfield,0.03
Quincy,0.03
Revere,0.03
Saugus,0.03
Wareham,0.03
Webster,0.03
Whitman,0.03
Athol,0.04
Avon,0.04
Ayer,0.04
Boston,0.04
Braintree,0.04
Brewster,0.04
Dedham,0.04
Dunstable,0.04
Eastham,0.04
Fairhaven,0.04
Freetown,0.04
Gardner,0.04
Halifax,0.04
Hampden,0.04
Hanover,0.04
Hanson,0.04
Harwich,0.04
Lakeville,0.04
Leominster,0.04
Malden,0.04
Methuen,0.04
Northbridge,0.04
Norwood,0.04
Pepperell,0.04
Plymouth,0.04
Plympton,0.04
Raynham,0.04
Salem,0.04
Southbridge,0.04
Springfield,0.04
Stoughton,0.04
Swansea,0.04
Tewksbury,0.04
Uxbridge,0.04
Wakefield,0.04
Wellfleet,0.04
West Bridgewater,0.04
Westfield,0.04
Wilmington,0.04
Winchendon,0.04
Acushnet,0.05
Agawam,0.05
Amesbury,0.05
Ashby,0.05
Attleboro,0.05
Auburn,0.05
Barre,0.05
Berkley,0.05
Beverly,0.05
Billerica,0.05
Bridgewater,0.05
Cambridge,0.05
Chicopee,0.05
Concord,0.05
Danvers,0.05
Dartmouth,0.05
Dracut,0.05
Dudley,0.05
Easton,0.05
Framingham,0.05
Franklin,0.05
Grafton,0.05
Greenfield,0.05
Hopedale,0.05
Hudson,0.05
Ipswich,0.05
Kingston,0.05
Lee,0.05
Leicester,0.05
Marlborough,0.05
Mattapoisett,0.05
Medford,0.05
Melrose,0.05
Milford,0.05
North Adams,0.05
North Andover,0.05
North Reading,0.05
Norton,0.05
Norwell,0.05
Orange,0.05
Orleans,0.05
Palmer,0.05
Paxton,0.05
Plainville,0.05
Randolph,0.05
Reading,0.05
Sandwich,0.05
Scituate,0.05
Shrewsbury,0.05
Somerset,0.05
Somerville,0.05
Southborough,0.05
Spencer,0.05
Sterling,0.05
Stoneham,0.05
Stow,0.05
Templeton,0.05
Waltham,0.05
Ware,0.05
Watertown,0.05
Wenham,0.05
West Springfield,0.05
Westport,0.05
Winthrop,0.05
Woburn,0.05
Wrentham,0.05
Acton,0.06
Adams,0.06
Arlington,0.06
Ashland,0.06
Belchertown,0.06
Bellingham,0.06
Bolton,0.06
Boxford,0.06
Boylston,0.06
Burlington,0.06
Canton,0.06
Charlton,0.06
Chelmsford,0.06
Clarksburg,0.06
Cohasset,0.06
Dalton,0.06
Dighton,0.06
Douglas,0.06
Duxbury,0.06
Easthampton,0.06
Essex,0.06
Foxborough,0.06
Georgetown,0.06
Great Barrington,0.06
Groton,0.06
Hadley,0.06
Hingham,0.06
Holden,0.06
Holliston,0.06
Hopkinton,0.06
Hubbardston,0.06
Lancaster,0.06
Leverett,0.06
Lexington,0.06
Ludlow,0.06
Lunenburg,0.06
Lynnfield,0.06
Mansfield,0.06
Marblehead,0.06
Maynard,0.06
Medway,0.06
Merrimac,0.06
Middleton,0.06
Milton,0.06
Monson,0.06
Montague,0.06
Nantucket,0.06
Natick,0.06
Needham,0.06
Newbury,0.06
Newburyport,0.06
Newton,0.06
North Attleborough,0.06
Northampton,0.06
Oak Bluffs,0.06
Oxford,0.06
Princeton,0.06
Rochester,0.06
Rowley,0.06
South Hadley,0.06
Southwick,0.06
Sturbridge,0.06
Sudbury,0.06
Sunderland,0.06
Sutton,0.06
Swampscott,0.06
Topsfield,0.06
Townsend,0.06
Walpole,0.06
