Town,Health Score
New Bedford,0.0
Holyoke,0.01
Fall River,0.02
Lynn,0.02
Brockton,0.04
Springfield,0.06
Worcester,0.06
Lawrence,0.07
Taunton,0.07
Chelsea,0.08
Lowell,0.08
Revere,0.08
Webster,0.08
Ayer,0.09
Everett,0.09
Holbrook,0.09
North Adams,0.09
Quincy,0.09
Whitman,0.09
Fairhaven,0.1
Fitchburg,0.1
Abington,0.11
Gosnold,0.11
Rockland,0.11
Pittsfield,0.12
Carver,0.13
Dracut,0.13
Haverhill,0.13
Marlborough,0.13
Methuen,0.13
Millbury,0.13
Saugus,0.13
Southbridge,0.13
West Springfield,0.13
Weymouth,0.13
Avon,0.14
Chicopee,0.14
Leominster,0.14
Northbridge,0.14
Palmer,0.14
Peabody,0.14
Randolph,0.14
Salisbury,0.14
Wareham,0.14
West Bridgewater,0.14
Winthrop,0.14
Agawam,0.15
Barnstable,0.15
Clinton,0.15
Hopedale,0.15
Malden,0.15
Middleborough,0.15
Winchendon,0.15
Acushnet,0.16
Amesbury,0.16
Boston,0.16
Braintree,0.16
Dedham,0.16
East Bridgewater,0.16
Freetown,0.16
Halifax,0.16
Hull,0.16
Milford,0.16
Raynham,0.16
Salem,0.16
Tewksbury,0.16
Woburn,0.16
Yarmouth,0.16
Gardner,0.17
Hudson,0.17
Mashpee,0.17
Medford,0.17
Oxford,0.17
Pembroke,0.17
Plympton,0.17
Swansea,0.17
Attleboro,0.18
Berkley,0.18
Beverly,0.18
Canton,0.18
Falmouth,0.18
Framingham,0.18
Greenfield,0.18
Groveland,0.18
Montague,0.18
Stoneham,0.18
Stoughton,0.18
Templeton,0.18
Wakefield,0.18
Ware,0.18
Ashby,0.19
Danvers,0.19
Dennis,0.19
Merrimac,0.19
Millville,0.19
Norwood,0.19
Plainville,0.19
Shirley,0.19
Waltham,0.19
Westfield,0.19
Wilmington,0.19
Billerica,0.2
Bridgewater,0.2
Gloucester,0.2
Grafton,0.2
Hanson,0.2
Lancaster,0.2
Marshfield,0.2
Plymouth,0.2
Somerset,0.2
Adams,0.21
Bellingham,0.21
Dalton,0.21
Eastham,0.21
Easton,0.21
Great Barrington,0.21
Hanover,0.21
Harwich,0.21
Middleton,0.21
South Hadley,0.21
Spencer,0.21
West Brookfield,0.21
Charlton,0.22
Dartmouth,0.22
Dudley,0.22
East Longmeadow,0.22
Edgartown,0.22
Essex,0.22
Foxborough,0.22
Kingston,0.22
North Attleborough,0.22
Norton,0.22
Orange,0.22
Somerville,0.22
Warren,0.22
Warwick,0.22
Wrentham,0.22
Blackstone,0.23
Chelmsford,0.23
Holliston,0.23
Leicester,0.23
Ludlow,0.23
Mattapoisett,0.23
Medway,0.23
Melrose,0.23
Monson,0.23
Nahant,0.23
Tyngsborough,0.23
Uxbridge,0.23
Walpole,0.23
Watertown,0.23
Auburn,0.24
Bourne,0.24
Franklin,0.24
Lakeville,0.24
Lee,0.24
Lynnfield,0.24
Mendon,0.24
Milton,0.24
North Reading,0.24
Rochester,0.24
Wales,0.24
Westborough,0.24
Westwood,0.24
Arlington,0.25
Ashland,0.25
Belchertown,0.25
Bernardston,0.25
Brimfield,0.25
Burlington,0.25
Dighton,0.25
Easthampton,0.25
Gill,0.25
Hampden,0.25
Ipswich,0.25
Lunenburg,0.25
Mansfield,0.25
North Brookfield,0.25
Northampton,0.25
Pepperell,0.25
Sheffield,0.25
Townsend,0.25
West Stockbridge,0.25
Westport,0.25
Athol,0.26
Barre,0.26
Chatham,0.26
Georgetown,0.26
Granby,0.26
Millis,0.26
Natick,0.26
North Andover,0.26
Oak Bluffs,0.26
Princeton,0.26
Shrewsbury,0.26
Sturbridge,0.26
Swampscott,0.26
Wellfleet,0.26
Westminster,0.26
Hadley,0.27
Lincoln,0.27
Maynard,0.27
Norfolk,0.27
Norwell,0.27
Rehoboth,0.27
Rowley,0.27
Rutland,0.27
Scituate,0.27
Southborough,0.27
Sterling,0.27
Wilbraham,0.27
Bedford,0.28
Huntington,0.28
Lenox,0.28
Northborough,0.28
Paxton,0.28
Reading,0.28
Southampton,0.28
Topsfield,0.28
Williamstown,0.28
Berlin,0.29
Bolton,0.29
Cambridge,0.29
Douglas,0.29
Groton,0.29
Hamilton,0.29
Hingham,0.29
Holden,0.29
Hubbardston,0.29
Littleton,0.29
Marion,0.29
Needham,0.29
Otis,0.29
Provincetown,0.29
Royalston,0.29
Sandwich,0.29
Sharon,0.29
Sutton,0.29
West Boylston,0.29
Belmont,0.3
Boylston,0.3
Brewster,0.3
Cohasset,0.3
Colrain,0.3
Concord,0.3
Dunstable,0.3
Hatfield,0.3
Hopkinton,0.3
Manchester-by-the-Sea,0.3
Newburyport,0.3
Russell,0.3
Southwick,0.3
Stow,0.3
Tisbury,0.3
Wenham,0.3
Andover,0.31
Duxbury,0.31
Hardwick,0.31
Longmeadow,0.31
Marblehead,0.31
Medfield,0.31
Nantucket,0.31
Newbury,0.31
Newton,0.31
Orleans,0.31
Phillipston,0.31
Seekonk,0.31
Upton,0.31
Oakham,0.32
Acton,0.33
Ashburnham,0.33
Boxborough,0.33
Boxford,0.33
Cheshire,0.33
Clarksburg,0.33
Granville,0.33
Lanesborough,0.33
Rockport,0.33
Sudbury,0.33
Wayland,0.33
Westford,0.33
Winchester,0.33
Brookline,0.34
Chester,0.34
Sunderland,0.34
Truro,0.34
Wellesley,0.34
Wendell,0.34
Amherst,0.35
Deerfield,0.35
Hinsdale,0.35
West Newbury,0.35
Williamsburg,0.35
Buckland,0.36
Lexington,0.36
Shelburne,0.36
Egremont,0.37
Harvard,0.37
Northfield,0.37
Weston,0.37
Becket,0.38
Dover,0.38
Holland,0.38
Leverett,0.38
Westhampton,0.38
Blandford,0.39
Brookfield,0.39
Sherborn,0.39
Cummington,0.4
Hawley,0.4
Montgomery,0.4
West Tisbury,0.4
Carlisle,0.41
Chesterfield,0.42
New Marlborough,0.42
Petersham,0.43
East Brookfield,0.44
Mount Washington,0.44
Shutesbury,0.44
Washington,0.44
Tolland,0.45
Conway,0.46
Hancock,0.46
Savoy,0.46
Stockbridge,0.46
Windsor,0.46
Worthington,0.46
Ashfield,0.47
Erving,0.47
New Ashford,0.47
Peru,0.47
Whately,0.47
Charlemont,0.48
Heath,0.49
Alford,0.5
Plainfield,0.5
Pelham,0.51
Richmond,0.51
Monroe,0.52
New Braintree,0.53
Goshen,0.55
Leyden,0.55
Aquinnah,0.57
New Salem,0.59
Sandisfield,0.62
Tyringham,0.62
Florida,0.63
Middlefield,0.64
Chilmark,0.65
Monterey,0.69
Rowe,1.0
