Feature,Eigen value (%)
no_vehicle_avail_%,1.0
below_poverty_level_%,1.3908642611230945e-19
exp_perpupil_USD,1.7561791888638827e-21
debt_pervaluation_%,3.0893535610643864e-23
homeless_Shelters_per_1000,1.5075009507912422e-24
median_owner_home_USD,1.1972444016812942e-25
median_sale_homes_USD,9.498341176254307e-27
unemployment_rate,4.19501296882544e-29
race_Wh_%,2.5694514271661887e-30
race_Afam_%,1.4994684133734635e-30
race_Alaska_%,9.243463047027093e-31
race_Asian_%,6.133229799646611e-31
race_Hawaii_%,5.717498121208607e-32
race_Other_%,5.638289045143596e-32
race_Two_%,1.0842714319212146e-32
race_Hisp_%,9.984020827418878e-33
labor_force_rate,9.984020827418878e-33
emp_rate,9.984020827418878e-33
emp_business_%,9.984020827418878e-33
emp_computer_%,9.984020827418878e-33
emp_legal_%,9.984020827418878e-33
emp_healthcare_%,9.984020827418878e-33
emp_healthsupport_%,9.984020827418878e-33
emp_protective_%,9.984020827418878e-33
emp_foodprepare_%,9.984020827418878e-33
emp_clean_%,9.984020827418878e-33
emp_personalcare_%,9.984020827418878e-33
emp_sales_%,9.984020827418878e-33
emp_admin_%,9.984020827418878e-33
emp_farm_%,9.984020827418878e-33
emp_construct_%,9.984020827418878e-33
emp_repair_%,9.984020827418878e-33
emp_production_%,9.984020827418878e-33
emp_transport_%,9.984020827418878e-33
emp_material_%,9.984020827418878e-33
occ_lt0.5_%,9.984020827418878e-33
occ_0.5to1.0_%,9.984020827418878e-33
occ_1.01to1.5_%,9.984020827418878e-33
occ_1.51to2.0_%,9.984020827418878e-33
occ_gt2.01_%,9.984020827418878e-33
owner_homes_%,9.984020827418878e-33
moved_lastyear_%,9.984020827418878e-33
house_noplumbing_%,9.984020827418878e-33
house_nokitchen_%,9.984020827418878e-33
age_lt18_%,9.984020827418878e-33
house_lt1939_%,9.984020827418878e-33
house_1940to1999_%,9.984020827418878e-33
house_2000to2014_%,9.984020827418878e-33
poverty_child_%,9.984020827418878e-33
house_income_gt30_USD_%,9.984020827418878e-33
median_household_income_USD,9.984020827418878e-33
median_earnings_retail_USD,9.984020827418878e-33
gross_rent_%,9.984020827418878e-33
comm_car_%,9.984020827418878e-33
comm_carpool_%,9.984020827418878e-33
comm_bus_%,9.984020827418878e-33
comm_walk_%,9.984020827418878e-33
comm_cycle_%,9.984020827418878e-33
comm_taxi_%,9.984020827418878e-33
comm_wfh_%,9.984020827418878e-33
income_capita_USD,9.984020827418878e-33
households_recfoodstamps_%,9.984020827418878e-33
gini_index,9.984020827418878e-33
lep_%,9.984020827418878e-33
exemplary_%,9.984020827418878e-33
proficient_%,9.984020827418878e-33
need_improve_%,9.984020827418878e-33
unsatis_%,9.984020827418878e-33
read_write,9.984020827418878e-33
math,9.984020827418878e-33
dropout_%,9.984020827418878e-33
college_%,9.984020827418878e-33
property_val_USD,9.984020827418878e-33
tobbaco_retailers_2019_%,9.984020827418878e-33
licensed_nurses_per1000,9.984020827418878e-33
preschool_%,9.984020827418878e-33
health_insurance_coverage_%,9.984020827418878e-33
public_school_%,9.984020827418878e-33
private_school_%,9.984020827418878e-33
liquor_per1000,9.984020827418878e-33
supermarket_per1000,9.984020827418878e-33
food_est_per1000,9.984020827418878e-33
dentists_per1000,9.984020827418878e-33
young_females_%,9.984020827418878e-33
physician_assisted_%,9.984020827418878e-33
pa_provider_density_per10000,9.984020827418878e-33
median_age,9.984020827418878e-33
lt5years_%,9.984020827418878e-33
renter_occupied_%,9.984020827418878e-33
english_verywell_%,9.984020827418878e-33
snap_%,9.984020827418878e-33
physicians_per1000,9.984020827418878e-33
pcp_per1000,9.984020827418878e-33
psychiatrist_per1000,9.984020827418878e-33
psychologist_per1000,9.984020827418878e-33
pharmacist_per1000,9.984020827418878e-33
registerednurses_per1000,9.984020827418878e-33
advancedprn_per1000,9.984020827418878e-33
population_density,9.984020827418878e-33
rural_population_%,9.984020827418878e-33
costas%income_wmgage_lt20%_%,9.984020827418878e-33
costas%income_wmgage_20to25%_%,9.984020827418878e-33
costas%income_wmgage_25to30%_%,9.984020827418878e-33
costas%income_wmgage_30to35%_%,9.984020827418878e-33
costas%income_wmgage_gt35%_%,9.984020827418878e-33
costas%income_womgage_lt10%_%,9.984020827418878e-33
costas%income_womgage_10to15%_%,9.984020827418878e-33
costas%income_womgage_15to20%_%,9.984020827418878e-33
costas%income_womgage_20to25%_%,9.984020827418878e-33
costas%income_womgage_25to30%_%,9.984020827418878e-33
costas%income_womgage_30to35%_%,9.984020827418878e-33
costas%income_womgage_gt35%_%,9.984020827418878e-33
avg_ela,9.984020827418878e-33
avg_math,9.984020827418878e-33
students_disabilities_%,9.984020827418878e-33
students_highneeds_%,9.984020827418878e-33
students_econodisadv_%,9.984020827418878e-33
student_teacher_ratio,9.984020827418878e-33
print_media_circ_%,9.984020827418878e-33
libraries_%,9.984020827418878e-33
crimes_against_persons_%,9.984020827418878e-33
crimes_against_property_%,9.984020827418878e-33
crimes_against_society_%,9.984020827418878e-33
emp_pop_ratio_wh_only,9.984020827418878e-33
emp_pop_ratio_hisp,9.984020827418878e-33
less_than_highschool_%,9.984020827418878e-33
highschool_grad_%,9.984020827418878e-33
associates_degree_%,9.984020827418878e-33
bachelors_degree_%,9.984020827418878e-33
vacant_rentals_%,9.984020827418878e-33
employed_male_%,9.984020827418878e-33
employed_female_%,9.984020827418878e-33
cancer_admissions_AA,9.984020827418878e-33
cardio_admissions_AA,9.984020827418878e-33
cardio_emergencies_AA,9.984020827418878e-33
Diabetes_admissions_AA,9.984020827418878e-33
Diabetes_emergencies_AA,9.984020827418878e-33
Mental_admissions_AA,9.984020827418878e-33
Mental_emergencies_AA,9.984020827418878e-33
Stroke_admissions_AA,9.984020827418878e-33
fruit_consump_%,9.984020827418878e-33
obsese_adults_%,9.984020827418878e-33
overweight_adults_%,9.984020827418878e-33
diabetic_adults_%,9.984020827418878e-33
heartrate_adult_%,9.984020827418878e-33
poor_mental_health_%,9.984020827418878e-33
smoking_rate_%,9.984020827418878e-33
smoking_pregnant_%,9.984020827418878e-33
infant_rate_2014_per1000,9.984020827418878e-33
hiv_density_per1000,9.984020827418878e-33
firearm_deaths_2015_%,9.984020827418878e-33
live_births_2014_%,9.984020827418878e-33
chlamydia_%,9.984020827418878e-33
gonorrhea_%,9.984020827418878e-33
syphillis_%,9.984020827418878e-33
nonfatal_opiod_hospitalevents_%,9.984020827418878e-33
hypertension_%,9.984020827418878e-33
diagnosed_depression_%,9.984020827418878e-33
anyexercise_%,9.984020827418878e-33
suicide_deaths_%,9.984020827418878e-33
risk_per1000,9.984020827418878e-33
smokers_quitworks_%,9.984020827418878e-33
smokers_helpline_%,9.984020827418878e-33
substanceuse_rate_AA,9.984020827418878e-33
mentalhealth_hosp_rate,9.984020827418878e-33
breast_cancer_sir,9.984020827418878e-33
prostrate_cancer_sir,9.984020827418878e-33
colorectal_cancer_sir,9.984020827418878e-33
lung_cancer_sir,2.7200246943450758e-33
cervical_cancer_sir,4.327762492767549e-41
