Feature,Eigen value (%)
race_Wh_%,0.9999999356028613
race_Afam_%,6.167762659805575e-08
race_Alaska_%,2.5087608236135198e-09
race_Asian_%,1.759824494157591e-10
race_Hawaii_%,2.0140178318243217e-11
race_Other_%,8.425334455702955e-12
race_Two_%,4.188819035701386e-12
race_Hisp_%,1.6126390411345568e-12
age_lt18_%,2.539131552544227e-13
young_females_%,1.1003608629270068e-13
median_age,2.5583345537861054e-14
lt5years_%,1.2346701995738797e-14
population_density,1.841324225876199e-17
rural_population_%,6.358024135870188e-20
english_verywell_%,2.275214619898687e-21
print_media_circ_%,1.191839734732859e-43
