Feature,Eigen value (%)
no_vehicle_avail_%,1.0
below_poverty_level_%,1.4838649849476965e-19
exp_perpupil_USD,1.7198532250445127e-21
debt_pervaluation_%,2.976021269884936e-23
homeless_Shelters_per_1000,1.4730765395616294e-24
median_owner_home_USD,1.1738692104958204e-25
median_sale_homes_USD,5.931110216755743e-27
unemployment_rate,9.420508515474195e-31
race_Wh_%,8.232236924404616e-31
race_Afam_%,2.9629057494212885e-31
race_Alaska_%,1.970319494638748e-31
race_Asian_%,1.5822799158775736e-31
race_Hawaii_%,1.0650969201433185e-31
race_Other_%,5.06513637891078e-32
race_Two_%,9.98402082690145e-33
race_Hisp_%,9.98402082690145e-33
labor_force_rate,9.98402082690145e-33
emp_rate,9.98402082690145e-33
emp_business_%,9.98402082690145e-33
emp_computer_%,9.98402082690145e-33
emp_legal_%,9.98402082690145e-33
emp_healthcare_%,9.98402082690145e-33
emp_healthsupport_%,9.98402082690145e-33
emp_protective_%,9.98402082690145e-33
emp_foodprepare_%,9.98402082690145e-33
emp_clean_%,9.98402082690145e-33
emp_personalcare_%,9.98402082690145e-33
emp_sales_%,9.98402082690145e-33
emp_admin_%,9.98402082690145e-33
emp_farm_%,9.98402082690145e-33
emp_construct_%,9.98402082690145e-33
emp_repair_%,9.98402082690145e-33
emp_production_%,9.98402082690145e-33
emp_transport_%,9.98402082690145e-33
emp_material_%,9.98402082690145e-33
occ_lt0.5_%,9.98402082690145e-33
occ_0.5to1.0_%,9.98402082690145e-33
occ_1.01to1.5_%,9.98402082690145e-33
occ_1.51to2.0_%,9.98402082690145e-33
occ_gt2.01_%,9.98402082690145e-33
owner_homes_%,9.98402082690145e-33
moved_lastyear_%,9.98402082690145e-33
house_noplumbing_%,9.98402082690145e-33
house_nokitchen_%,9.98402082690145e-33
age_lt18_%,9.98402082690145e-33
house_lt1939_%,9.98402082690145e-33
house_1940to1999_%,9.98402082690145e-33
house_2000to2014_%,9.98402082690145e-33
poverty_child_%,9.98402082690145e-33
house_income_gt30_USD_%,9.98402082690145e-33
median_household_income_USD,9.98402082690145e-33
median_earnings_retail_USD,9.98402082690145e-33
gross_rent_%,9.98402082690145e-33
comm_car_%,9.98402082690145e-33
comm_carpool_%,9.98402082690145e-33
comm_bus_%,9.98402082690145e-33
comm_walk_%,9.98402082690145e-33
comm_cycle_%,9.98402082690145e-33
comm_taxi_%,9.98402082690145e-33
comm_wfh_%,9.98402082690145e-33
income_capita_USD,9.98402082690145e-33
households_recfoodstamps_%,9.98402082690145e-33
gini_index,9.98402082690145e-33
lep_%,9.98402082690145e-33
exemplary_%,9.98402082690145e-33
proficient_%,9.98402082690145e-33
need_improve_%,9.98402082690145e-33
unsatis_%,9.98402082690145e-33
read_write,9.98402082690145e-33
math,9.98402082690145e-33
dropout_%,9.98402082690145e-33
college_%,9.98402082690145e-33
property_val_USD,9.98402082690145e-33
tobbaco_retailers_2019_%,9.98402082690145e-33
licensed_nurses_per1000,9.98402082690145e-33
preschool_%,9.98402082690145e-33
health_insurance_coverage_%,9.98402082690145e-33
public_school_%,9.98402082690145e-33
private_school_%,9.98402082690145e-33
liquor_per1000,9.98402082690145e-33
supermarket_per1000,9.98402082690145e-33
food_est_per1000,9.98402082690145e-33
dentists_per1000,9.98402082690145e-33
young_females_%,9.98402082690145e-33
physician_assisted_%,9.98402082690145e-33
pa_provider_density_per10000,9.98402082690145e-33
median_age,9.98402082690145e-33
lt5years_%,9.98402082690145e-33
renter_occupied_%,9.98402082690145e-33
english_verywell_%,9.98402082690145e-33
snap_%,9.98402082690145e-33
physicians_per1000,9.98402082690145e-33
pcp_per1000,9.98402082690145e-33
psychiatrist_per1000,9.98402082690145e-33
psychologist_per1000,9.98402082690145e-33
pharmacist_per1000,9.98402082690145e-33
registerednurses_per1000,9.98402082690145e-33
advancedprn_per1000,9.98402082690145e-33
population_density,9.98402082690145e-33
rural_population_%,9.98402082690145e-33
costas%income_wmgage_lt20%_%,9.98402082690145e-33
costas%income_wmgage_20to25%_%,9.98402082690145e-33
costas%income_wmgage_25to30%_%,9.98402082690145e-33
costas%income_wmgage_30to35%_%,9.98402082690145e-33
costas%income_wmgage_gt35%_%,9.98402082690145e-33
costas%income_womgage_lt10%_%,9.98402082690145e-33
costas%income_womgage_10to15%_%,9.98402082690145e-33
costas%income_womgage_15to20%_%,9.98402082690145e-33
costas%income_womgage_20to25%_%,9.98402082690145e-33
costas%income_womgage_25to30%_%,9.98402082690145e-33
costas%income_womgage_30to35%_%,9.98402082690145e-33
costas%income_womgage_gt35%_%,9.98402082690145e-33
avg_ela,9.98402082690145e-33
avg_math,9.98402082690145e-33
students_disabilities_%,9.98402082690145e-33
students_highneeds_%,9.98402082690145e-33
students_econodisadv_%,9.98402082690145e-33
student_teacher_ratio,9.98402082690145e-33
print_media_circ_%,9.98402082690145e-33
libraries_%,9.98402082690145e-33
crimes_against_persons_%,9.98402082690145e-33
crimes_against_property_%,9.98402082690145e-33
crimes_against_society_%,9.98402082690145e-33
emp_pop_ratio_wh_only,9.98402082690145e-33
emp_pop_ratio_hisp,9.98402082690145e-33
less_than_highschool_%,9.98402082690145e-33
highschool_grad_%,9.98402082690145e-33
associates_degree_%,9.98402082690145e-33
bachelors_degree_%,9.98402082690145e-33
vacant_rentals_%,3.501371754235137e-33
employed_male_%,2.3618915613256916e-33
employed_female_%,4.3196532291534324e-41
