Feature,Eigen value (%)
no_vehicle_avail_%,0.4972878348613499
below_poverty_level_%,0.23549013778257608
exp_perpupil_USD,0.0771429355332496
debt_pervaluation_%,0.028222370297376002
homeless_Shelters_per_1000,0.019387270348529242
median_owner_home_USD,0.01663017558167676
median_sale_homes_USD,0.01207707601582385
unemployment_rate,0.010310120691867314
race_Wh_%,0.00866211624816453
race_Afam_%,0.008153181243785904
race_Alaska_%,0.007543595380077858
race_Asian_%,0.006505736736678139
race_Hawaii_%,0.005211555157266741
race_Other_%,0.004592453086766663
race_Two_%,0.004153023369541247
race_Hisp_%,0.0039628539772484815
labor_force_rate,0.0036269631188902115
emp_rate,0.0033070135476821693
emp_business_%,0.003073462654494279
emp_computer_%,0.0026158975662604524
emp_legal_%,0.002561508203527536
emp_healthcare_%,0.0021945011575453693
emp_healthsupport_%,0.0020129146400308623
emp_protective_%,0.001989622905989407
emp_foodprepare_%,0.0018683048670140592
emp_clean_%,0.0016991086865044212
emp_personalcare_%,0.0016440167511494641
emp_sales_%,0.0015125485071084907
emp_admin_%,0.0014970787434484452
emp_farm_%,0.0013804663098906495
emp_construct_%,0.0012963887503525554
emp_repair_%,0.0012605020056812104
emp_production_%,0.001215556620728107
emp_transport_%,0.0011616193522989194
emp_material_%,0.001101551076295256
occ_lt0.5_%,0.0010471852752017019
occ_0.5to1.0_%,0.0009269637997927917
occ_1.01to1.5_%,0.0009056211315226265
occ_1.51to2.0_%,0.0008774005528697996
occ_gt2.01_%,0.0008598745167129717
owner_homes_%,0.0007707550608578855
moved_lastyear_%,0.0007440742850155938
house_noplumbing_%,0.0006779537413725749
house_nokitchen_%,0.0006524585736997451
age_lt18_%,0.0006167990668725117
house_lt1939_%,0.0005961857691941574
house_1940to1999_%,0.0005494599719080769
house_2000to2014_%,0.0005089345181651041
poverty_child_%,0.0005027004239024631
house_income_gt30_USD_%,0.0004663588894204737
median_household_income_USD,0.0004445309014000716
median_earnings_retail_USD,0.0004410978789241174
gross_rent_%,0.0003878524262238659
comm_car_%,0.0003813624461389407
comm_carpool_%,0.00036333868364240635
comm_bus_%,0.00034371638711618865
comm_walk_%,0.00031267612689699634
comm_cycle_%,0.00029854825600467307
comm_taxi_%,0.00027168519189195835
comm_wfh_%,0.00025471151187046184
income_capita_USD,0.00023693050586008477
households_recfoodstamps_%,0.00022528678172723527
gini_index,0.00020453262766309714
lep_%,0.00019913994033498688
exemplary_%,0.0001825478034480536
proficient_%,0.00017130044847355041
need_improve_%,0.00016168170933939316
unsatis_%,0.00014971908823619622
read_write,0.00014563458722455987
math,0.00014270092054790768
dropout_%,0.00012801630059171087
college_%,0.00011622767094556591
property_val_USD,0.00011211637220321414
tobbaco_retailers_2019_%,0.00010489671604708024
licensed_nurses_per1000,0.00010196373195348938
preschool_%,9.009198422516341e-05
health_insurance_coverage_%,8.325044310642394e-05
public_school_%,8.046238228638736e-05
private_school_%,7.305710219758025e-05
liquor_per1000,7.00869236050346e-05
supermarket_per1000,6.127130919670545e-05
food_est_per1000,6.048431919713843e-05
dentists_per1000,5.245911212494452e-05
young_females_%,4.9696577861563464e-05
physician_assisted_%,4.43478248395821e-05
pa_provider_density_per10000,3.919014919345871e-05
median_age,3.8332255583216685e-05
lt5years_%,3.1219549102452676e-05
renter_occupied_%,2.884176795819965e-05
english_verywell_%,2.6175144874666404e-05
snap_%,2.603342296927565e-05
physicians_per1000,2.2987645405063796e-05
pcp_per1000,2.1982709595467042e-05
psychiatrist_per1000,1.9924138123903056e-05
psychologist_per1000,1.8893070298025942e-05
pharmacist_per1000,1.60549244018946e-05
registerednurses_per1000,1.5765029073431104e-05
advancedprn_per1000,1.272013689629898e-05
population_density,1.1784078884981688e-05
rural_population_%,1.0289392736162423e-05
costas%income_wmgage_lt20%_%,8.318735431747741e-06
costas%income_wmgage_20to25%_%,7.753103881129983e-06
costas%income_wmgage_25to30%_%,6.585061507803195e-06
costas%income_wmgage_30to35%_%,6.176363042405706e-06
costas%income_wmgage_gt35%_%,5.417883471987046e-06
costas%income_womgage_lt10%_%,4.035141667918396e-06
costas%income_womgage_10to15%_%,3.444665569597703e-06
costas%income_womgage_15to20%_%,3.2077636191152976e-06
costas%income_womgage_20to25%_%,2.4723819880334867e-06
costas%income_womgage_25to30%_%,1.953849407962949e-06
costas%income_womgage_30to35%_%,1.8526976047100193e-06
costas%income_womgage_gt35%_%,1.5148985962081934e-06
avg_ela,1.2242220899803092e-06
avg_math,1.2002557947166878e-06
students_disabilities_%,8.44064722838739e-07
students_highneeds_%,6.931124648292134e-07
students_econodisadv_%,6.120305059773459e-07
student_teacher_ratio,3.3408778786964287e-07
print_media_circ_%,2.4630155126536043e-07
libraries_%,1.6441747179128462e-07
crimes_against_persons_%,9.340331052324646e-08
crimes_against_property_%,3.015350985566712e-08
crimes_against_society_%,1.8637123154441433e-08
emp_pop_ratio_wh_only,2.5186926167576114e-09
emp_pop_ratio_hisp,4.862871688437451e-10
less_than_highschool_%,5.339704682612436e-13
highschool_grad_%,3.985656818076044e-13
associates_degree_%,1.2486485278021006e-13
bachelors_degree_%,2.0067368446930913e-14
vacant_rentals_%,9.807273289103038e-32
employed_male_%,3.675036248958168e-33
employed_female_%,3.675036248958168e-33
