Feature,Eigen value (%)
exp_perpupil_USD,0.9999998962439932
preschool_%,1.0348614203648591e-07
students_disabilities_%,2.698625699184853e-10
students_highneeds_%,1.0375548245556175e-15
student_teacher_ratio,6.461901856964094e-16
libraries_%,1.450646113402336e-16
exemplary_%,1.290417806153012e-16
proficient_%,1.1481674448379778e-16
need_improve_%,2.2176563755097863e-17
unsatis_%,5.677553436291634e-18
read_write,2.080621985122443e-18
math,8.3418411140231e-19
dropout_%,6.0521347714510945e-19
college_%,5.355633963182057e-20
avg_ela,2.9614433080403855e-20
avg_math,2.776190960098706e-20
less_than_highschool_%,1.3937039422244636e-20
highschool_grad_%,1.1905928416007382e-20
associates_degree_%,7.116311223681102e-21
bachelors_degree_%,2.412629189323309e-21
public_school_%,9.164828694076138e-22
private_school_%,6.805290758630712e-22
lep_%,1.8238515198558017e-22
students_econodisadv_%,1.0154657356087981e-42
