Feature,Eigen value (%)
unemployment_rate,0.9967833393796514
labor_force_rate,0.0031774619550550783
emp_rate,3.919859431055988e-05
emp_business_%,3.68408976730602e-11
emp_computer_%,2.12597982034634e-11
emp_legal_%,5.502144729491361e-12
emp_healthcare_%,2.6816134054188366e-12
emp_healthsupport_%,1.6153509444643544e-12
emp_protective_%,8.73114107632784e-13
emp_foodprepare_%,7.202231470364703e-13
emp_clean_%,4.625001742570209e-13
emp_personalcare_%,3.8434929657866267e-13
emp_sales_%,2.357652134787999e-13
emp_admin_%,1.288594244027511e-13
emp_farm_%,8.887196836173603e-14
emp_construct_%,6.963666463933986e-14
emp_repair_%,4.4994538547019505e-14
emp_production_%,2.5273608225783682e-14
emp_transport_%,2.3375422511684438e-14
emp_material_%,1.850666387178388e-14
emp_pop_ratio_wh_only,6.458867263383296e-15
emp_pop_ratio_hisp,9.295756741013097e-16
employed_male_%,3.306732924086757e-16
employed_female_%,3.8663924047334664e-42
