Feature,Eigen value (%)
unemployment_rate,0.5016794699856748
labor_force_rate,0.162045626019252
emp_rate,0.09790917773640952
emp_business_%,0.05940999131141043
emp_computer_%,0.03229751915456156
emp_legal_%,0.025106965404650166
emp_healthcare_%,0.02176751232216134
emp_healthsupport_%,0.01838019431548668
emp_protective_%,0.01493972639313311
emp_foodprepare_%,0.013555507466843525
emp_clean_%,0.009157461530275832
emp_personalcare_%,0.00881776454359546
emp_sales_%,0.008109220645361404
emp_admin_%,0.0055956710294274735
emp_farm_%,0.005219809248837015
emp_construct_%,0.004659080897333996
emp_repair_%,0.003964816176681952
emp_production_%,0.0033740748586277834
emp_transport_%,0.0020873121277950302
emp_material_%,0.0018326980669455986
emp_pop_ratio_wh_only,7.112317296815894e-05
emp_pop_ratio_hisp,1.9119847753544384e-05
employed_male_%,1.5774481350436659e-07
employed_female_%,4.75073878063607e-36
