Feature,Eigen value (%)
licensed_nurses_per1000,0.9943318446968163
dentists_per1000,0.0041375571629937175
physician_assisted_%,0.0015291391091254072
pa_provider_density_per10000,1.300148925815282e-06
physicians_per1000,1.4578261532287007e-07
pcp_per1000,5.917207917371779e-09
psychiatrist_per1000,4.0306131510053816e-09
psychologist_per1000,2.6477615530685427e-09
pharmacist_per1000,4.204264747813507e-10
registerednurses_per1000,7.29326853307124e-11
advancedprn_per1000,1.058206035937221e-11
health_insurance_coverage_%,1.0343340056767059e-38
