Feature,Eigen value (%)
licensed_nurses_per1000,0.5671489604984086
dentists_per1000,0.18596617267931936
physician_assisted_%,0.12044629777598927
pa_provider_density_per10000,0.05475736324061421
physicians_per1000,0.031020499230619974
pcp_per1000,0.01947486637212729
psychiatrist_per1000,0.009332644104571191
psychologist_per1000,0.007848992527389615
pharmacist_per1000,0.002119104352384507
registerednurses_per1000,0.0012038051662958855
advancedprn_per1000,0.0006812940522800907
health_insurance_coverage_%,5.603623960028342e-34
