Feature,Eigen value (%)
house_noplumbing_%,1.0
house_nokitchen_%,1.4205603000614025e-19
house_lt1939_%,1.624901753476507e-21
house_1940to1999_%,9.984020824918528e-33
house_2000to2014_%,9.984020824918528e-33
median_owner_home_USD,9.984020824918528e-33
median_sale_homes_USD,9.984020824918528e-33
house_income_gt30_USD_%,9.984020824918528e-33
gross_rent_%,9.984020824918528e-33
property_val_USD,9.984020824918528e-33
costas%income_wmgage_lt20%_%,9.984020824918528e-33
costas%income_wmgage_20to25%_%,9.984020824918528e-33
costas%income_wmgage_25to30%_%,9.984020824918528e-33
costas%income_wmgage_30to35%_%,9.984020824918528e-33
costas%income_wmgage_gt35%_%,9.984020824918528e-33
costas%income_womgage_lt10%_%,9.984020824918528e-33
costas%income_womgage_10to15%_%,9.984020824918528e-33
costas%income_womgage_15to20%_%,9.984020824918528e-33
costas%income_womgage_20to25%_%,9.984020824918528e-33
costas%income_womgage_25to30%_%,9.984020824918528e-33
costas%income_womgage_30to35%_%,9.984020824918528e-33
costas%income_womgage_gt35%_%,9.984020824918528e-33
homeless_Shelters_per_1000,9.984020824918528e-33
moved_lastyear_%,9.984020824918528e-33
renter_occupied_%,9.984020824918528e-33
vacant_rentals_%,9.984020824918528e-33
owner_homes_%,9.984020824918528e-33
occ_lt0.5_%,9.984020824918528e-33
occ_0.5to1.0_%,9.984020824918528e-33
occ_1.01to1.5_%,9.984020824918528e-33
occ_1.51to2.0_%,9.984020824918528e-33
occ_gt2.01_%,2.1525256592525046e-45
