Feature,Eigen value (%)
house_noplumbing_%,0.4521977136920437
house_nokitchen_%,0.13317402900384204
house_lt1939_%,0.0773118061459503
house_1940to1999_%,0.064758206468686
house_2000to2014_%,0.04675653271324496
median_owner_home_USD,0.028614150895593552
median_sale_homes_USD,0.024331547444749874
house_income_gt30_USD_%,0.022501259601931455
gross_rent_%,0.020721381631585097
property_val_USD,0.017253123920349656
costas%income_wmgage_lt20%_%,0.015396181015184725
costas%income_wmgage_20to25%_%,0.015160531681437479
costas%income_wmgage_25to30%_%,0.013624681536236423
costas%income_wmgage_30to35%_%,0.011428488761288233
costas%income_wmgage_gt35%_%,0.00947645330875025
costas%income_womgage_lt10%_%,0.008749160814355195
costas%income_womgage_10to15%_%,0.007885179383229968
costas%income_womgage_15to20%_%,0.006284446778394626
costas%income_womgage_20to25%_%,0.006144687989839427
costas%income_womgage_25to30%_%,0.005322115907211225
costas%income_womgage_30to35%_%,0.004230128683010203
costas%income_womgage_gt35%_%,0.0035020849577593076
homeless_Shelters_per_1000,0.0030620447819754903
moved_lastyear_%,0.0013923094777905135
renter_occupied_%,0.0005692413871079798
vacant_rentals_%,7.723608893770496e-05
owner_homes_%,5.627228672913171e-05
occ_lt0.5_%,1.899097182725973e-05
occ_0.5to1.0_%,1.2657054405956079e-08
occ_1.01to1.5_%,1.2012804306891333e-11
occ_1.51to2.0_%,1.8910600186982075e-12
occ_gt2.01_%,2.618445101007321e-33
