Feature,Eigen value (%)
cancer_admissions_AA,0.9136890080936372
cardio_admissions_AA,0.07583092303142333
cardio_emergencies_AA,0.010233103582105498
Diabetes_admissions_AA,0.00016675632743510597
Diabetes_emergencies_AA,3.9986743796959875e-05
Mental_admissions_AA,2.43754952552226e-05
Mental_emergencies_AA,7.497392319399987e-06
Stroke_admissions_AA,4.95087869620978e-06
fruit_consump_%,1.324356770372465e-06
obsese_adults_%,1.1146069464032428e-06
overweight_adults_%,5.222246972226849e-07
diabetic_adults_%,3.9813991217170474e-07
heartrate_adult_%,3.2786494508560837e-08
poor_mental_health_%,3.5022829841597007e-09
smoking_rate_%,2.44225872581699e-09
smoking_pregnant_%,3.4246299254014263e-10
infant_rate_2014_per1000,5.308436991248914e-11
hiv_density_per1000,2.790700244492569e-13
firearm_deaths_2015_%,1.384568510901508e-13
live_births_2014_%,3.654158363353493e-15
chlamydia_%,1.1119845207158692e-16
gonorrhea_%,3.228415619657436e-17
syphillis_%,1.4002031707063997e-17
nonfatal_opiod_hospitalevents_%,1.6762814350347434e-18
hypertension_%,1.1703465750491582e-18
diagnosed_depression_%,8.184018256973764e-19
anyexercise_%,5.7384498726813625e-19
suicide_deaths_%,3.4138958049229346e-19
risk_per1000,2.0252677652198834e-19
smokers_quitworks_%,1.224569754540239e-19
smokers_helpline_%,4.640607565480341e-20
substanceuse_rate_AA,2.4603204883899108e-21
mentalhealth_hosp_rate,4.298066874409985e-22
breast_cancer_sir,1.55665789224225e-23
prostrate_cancer_sir,6.92145133114824e-24
colorectal_cancer_sir,5.337853032769788e-26
lung_cancer_sir,9.020775221098729e-27
cervical_cancer_sir,1.8019226175435766e-31
